negatives
"('P27986', 'O95886')"
"('P30874', 'P27986')"
"('P28222', 'P08908')"
"('Q15427', 'Q15637')"
"('O14757', 'Q86UE8')"
"('P18077', 'Q15843')"
"('P27824', 'Q92597')"
"('Q9NT62', 'Q5T0N5')"
"('P28749', 'O15047')"
"('Q05513', 'Q8TEW0')"
"('Q8TAD8', 'O75533')"
"('P51668', 'Q06587')"
"('Q15291', 'Q9UPS6')"
"('P32881', 'P48357')"
"('Q13085', 'P23508')"
"('P21246', 'Q14974')"
"('Q86WN2', 'P31785')"
"('O00217', 'O14561')"
"('P63279', 'P07910')"
"('P47898', 'P04899')"
"('P00519', 'P51587')"
"('Q6P1J9', 'O75150')"
"('Q9H1J7', 'Q9NPG1')"
"('P43360', 'P42704')"
"('P42336', 'Q8IUC6')"
"('P54727', 'Q16531')"
"('Q04771', 'O00212')"
"('P62993', 'Q9NZQ3')"
"('P31483', 'Q14296')"
"('P61981', 'Q9Y2U5')"
"('P07437', 'Q07157')"
"('P78552', 'P52333')"
"('Q13387', 'Q96AC6')"
"('Q6WCQ1', 'P58107')"
"('P84103', 'O60508')"
"('Q9ULH7', 'Q969V6')"
"('P55795', 'Q00839')"
"('Q99459', 'Q9ULW0')"
"('Q9NWA0', 'Q9ULK4')"
"('Q8N5Z5', 'Q8N456')"
"('P25786', 'P19532')"
"('P29353', 'Q92835')"
"('Q9H2U1', 'Q15399')"
"('Q9BY41', 'Q8N257')"
"('P26012', 'P23229')"
"('Q5T3J3', 'P09429')"
"('Q8WYH8', 'P38936')"
"('P30556', 'P20339')"
"('Q13257', 'O43684')"
"('P22626', 'Q01081')"
"('P20340', 'P01889')"
"('P36956', 'Q02363')"
"('P08865', 'P62241')"
"('Q8IYF1', 'O14641')"
"('P49407', 'Q03431')"
"('P20248', 'Q9H211')"
"('P15391', 'O00459')"
"('P08069', 'O95467')"
"('Q8WY91', 'Q16186')"
"('O95405', 'Q14192')"
"('Q13535', 'Q9P2K6')"
"('P28482', 'Q13480')"
"('Q9Y3C7', 'P42858')"
"('P19784', 'P67870')"
"('Q9Y448', 'Q9NZW5')"
"('P52565', 'P14923')"
"('Q16630', 'Q13177')"
"('P78509', 'Q9UKX5')"
"('Q6PD62', 'P62487')"
"('P30559', 'Q9NY47')"
"('Q9H422', 'P16220')"
"('Q13315', 'Q9NQV6')"
"('P17252', 'P63215')"
"('Q8WXA3', 'Q9BVJ7')"
"('P36543', 'P11171')"
"('Q8NHZ8', 'P51955')"
"('Q9C040', 'Q96LR5')"
"('Q01780', 'O77932')"
"('Q16236', 'O14980')"
"('Q9H0R8', 'Q04759')"
"('P01568', 'P26992')"
"('Q7Z3T8', 'Q13485')"
"('P61970', 'P62826')"
"('P32456', 'Q12972')"
"('P19338', 'P05455')"
"('P18146', 'Q8IYK4')"
"('P40763', 'P51692')"
"('P42704', 'P06730')"
"('Q00013', 'Q9Y2J4')"
"('Q99963', 'P04629')"
"('P49716', 'Q8N264')"
"('Q12906', 'Q92878')"
"('P17535', 'P17275')"
"('Q9UHX1', 'Q9HCE1')"
"('O75554', 'O43172')"
"('Q16659', 'O43524')"
"('Q96C10', 'Q7Z434')"
"('Q13191', 'P48736')"
"('P01574', 'P78552')"
"('P01574', 'P42702')"
"('P01106', 'P08575')"
"('P41279', 'P11021')"
"('P42229', 'P16471')"
"('Q2NL82', 'P63104')"
"('Q96AQ9', 'Q96EY1')"
"('P03891', 'O95139')"
"('P25942', 'Q99558')"
"('O60921', 'P12004')"
"('Q03060', 'P04141')"
"('P35626', 'P47893')"
"('Q8IYB3', 'Q8IX12')"
"('Q00005', 'P68104')"
"('P11274', 'O96018')"
"('Q9NY30', 'Q4VXU2')"
"('P63104', 'Q16827')"
"('Q7L2E3', 'P12757')"
"('P78423', 'P49238')"
"('Q9NYF0', 'P67870')"
"('Q15008', 'Q16401')"
"('Q9Y6K1', 'P61244')"
"('O00341', 'Q13424')"
"('Q9NV56', 'Q15014')"
"('P12236', 'Q92597')"
"('P12830', 'Q15475')"
"('P49841', 'Q9BZV1')"
"('P45983', 'P48594')"
"('Q9Y272', 'P17612')"
"('P31152', 'P19419')"
"('O96017', 'P30307')"
"('Q05519', 'P51003')"
"('P98082', 'P06241')"
"('B1A4H9', 'P32927')"
"('Q13489', 'Q13490')"
"('P62993', 'Q9Y2H0')"
"('P67809', 'Q9C0C9')"
"('Q9BVA1', 'Q13409')"
"('P40145', 'P51817')"
"('Q14161', 'Q9NXL2')"
"('O15111', 'P14373')"
"('O00255', 'Q13950')"
"('Q00005', 'P49756')"
"('P29692', 'O75815')"
"('Q7Z3K3', 'Q13573')"
"('Q9Y272', 'Q9UK08')"
"('O75928', 'Q99607')"
"('P63167', 'Q00005')"
"('P55347', 'P14859')"
