negatives
"('Q8NEV4', 'P35579')"
"('Q15185', 'P01889')"
"('Q9H492', 'P51784')"
"('P10828', 'Q93074')"
"('Q9UM73', 'P21709')"
"('P30408', 'P31689')"
"('Q01094', 'P99999')"
"('P35998', 'P29372')"
"('Q01955', 'P31431')"
"('Q9UBN7', 'P04908')"
"('Q16630', 'Q92989')"
"('Q96HC4', 'Q5VTD9')"
"('Q13573', 'P49792')"
"('Q96RN5', 'Q96F44')"
"('P25786', 'Q13137')"
"('Q86YF9', 'Q16537')"
"('P46109', 'Q05397')"
"('Q99879', 'P0C0S5')"
"('P62945', 'P05388')"
"('Q16891', 'Q5UIP0')"
"('O96013', 'Q9H1R3')"
"('P08107', 'Q8TF46')"
"('Q14814', 'Q12968')"
"('Q07890', 'P36542')"
"('P51991', 'Q92620')"
"('P42345', 'Q8TCU6')"
"('P60709', 'B0I1T2')"
"('Q969D9', 'P17181')"
"('P11047', 'P06756')"
"('Q01130', 'P38159')"
"('Q13554', 'P42262')"
"('Q7Z5J4', 'Q96BS2')"
"('Q13546', 'P04083')"
"('P62258', 'Q13111')"
"('Q96EP1', 'P53350')"
"('P62987', 'Q7LG56')"
"('P35227', 'Q99496')"
"('Q8TB52', 'Q04771')"
"('Q9HC98', 'P63167')"
"('O75438', 'O95167')"
"('P04637', '406937')"
"('O43318', 'Q92831')"
"('P85037', 'Q92560')"
"('Q99558', 'P46781')"
"('Q9UQ80', 'Q02539')"
"('Q15464', 'P52333')"
"('P29590', 'P22736')"
"('P52926', 'Q99873')"
"('Q9UQ03', 'Q15714')"
"('Q8TAD8', 'Q9NS56')"
"('P04629', 'Q05209')"
"('P06865', 'P16104')"
"('P35222', 'P10275')"
"('P16144', 'Q14315')"
"('P36873', 'Q6UN15')"
"('Q9NPF7', 'Q969J5')"
"('Q9NRR5', 'Q8NEM7')"
"('P62993', 'P62736')"
"('O14744', 'Q9Y6K1')"
"('P50570', 'P29597')"
"('P52630', 'O60244')"
"('Q9H6S1', 'Q92844')"
"('Q8TAP4', 'Q8N187')"
"('P30939', 'P50151')"
"('Q9GZS3', 'P62487')"
"('P29622', 'P22736')"
"('Q15843', 'P68104')"
"('P22694', 'P61586')"
"('P51843', 'P10275')"
"('P08908', 'P16520')"
"('P13612', 'P35609')"
"('P51617', 'Q8NI60')"
"('Q8IX90', 'Q66LE6')"
"('P09622', 'P62993')"
"('P01106', 'Q16514')"
"('Q13951', 'Q13761')"
"('Q9UBN7', 'Q9H853')"
"('P45974', 'O14641')"
"('Q07021', 'Q12929')"
"('P32238', 'P30679')"
"('P41279', 'Q00610')"
"('Q07954', 'P02746')"
"('O43187', 'P49810')"
"('P48730', 'O14640')"
"('P54257', 'P13805')"
"('O43172', 'Q01081')"
"('P14770', 'P27986')"
"('O43676', 'O96000')"
"('Q3KQU3', 'Q96AW1')"
"('Q13214', 'O14786')"
"('P37802', 'P30480')"
"('Q8IXJ6', 'Q92831')"
"('P04637', 'P19338')"
"('Q07020', 'P05386')"
"('Q96B02', 'Q96GF1')"
"('Q13315', 'Q9Y2X9')"
"('Q03164', 'Q13363')"
"('Q02388', 'Q8IWR0')"
"('Q15047', 'Q96HS1')"
"('Q14164', 'P43487')"
"('P25054', 'Q92793')"
"('O00401', 'O15511')"
"('P07910', 'Q9HCK5')"
"('P26196', 'Q8IZD4')"
"('P68366', 'P43403')"
"('P21802', 'Q92529')"
"('O60508', 'P67809')"
"('O60603', 'P54652')"
"('Q8N668', 'Q92830')"
"('Q9UHA4', 'Q9NQL2')"
"('Q9H1Y0', 'P29401')"
"('Q00987', 'Q9H832')"
"('Q92621', 'Q5TCY1')"
"('Q9Y5W5', 'Q93098')"
"('Q96B36', 'Q13541')"
"('O14920', 'P06737')"
