negatives
"('Q99684', 'P62314')"
"('P51692', 'Q9UGK3')"
"('P05386', 'P39023')"
"('P46940', 'P25054')"
"('Q15303', 'Q9Y2D9')"
"('Q14164', 'P20290')"
"('P05106', 'P63261')"
"('P60763', 'Q13177')"
"('O15467', 'P51686')"
"('O15198', 'Q9H173')"
"('Q5VVX9', 'O94972')"
"('P46531', 'Q04864')"
"('P04637', '26765')"
"('P11171', 'P22234')"
"('Q13748', 'Q9Y4K3')"
"('Q9H0E2', 'O43251')"
"('Q07890', 'P10398')"
"('O15392', 'Q13490')"
"('P01106', 'Q9UHD8')"
"('P30939', 'P16520')"
"('Q9Y600', 'P04083')"
"('Q13315', 'Q5VTL8')"
"('Q9HCK5', 'P08238')"
"('P09936', 'P0CG48')"
"('Q07020', 'P62891')"
"('Q9UM73', 'Q08881')"
"('O75369', 'Q9UKX5')"
"('P23467', 'P19022')"
"('O60477', 'Q9BUV8')"
"('Q96HA7', 'P12956')"
"('P28072', 'Q00987')"
"('Q9HA38', 'Q08211')"
"('Q13094', 'P62834')"
"('Q96LZ3', 'Q92934')"
"('Q9BQE3', 'Q9BUF5')"
"('Q96Q05', 'Q9BUH8')"
"('P24941', 'P38398')"
"('P28074', 'Q15008')"
"('Q96MF7', 'Q9BSI4')"
"('Q13535', 'Q14683')"
"('Q9UNN5', 'P25445')"
"('P60520', 'Q8WVZ9')"
"('Q9UPP1', 'P28749')"
"('P47914', 'Q12873')"
"('Q8WTQ7', 'P49407')"
"('P36897', 'Q9H5K3')"
"('P13569', 'Q02817')"
"('P51460', 'Q07666')"
"('P28482', 'Q99941')"
"('Q13625', 'Q13564')"
"('P16035', 'O76070')"
"('P01871', 'Q6PD62')"
"('Q9HCE1', 'P19525')"
"('P35626', 'Q8NH54')"
"('O60229', 'Q9GZM8')"
"('P05455', 'P63104')"
"('Q86YC2', 'O14867')"
"('Q9Y4K3', 'P61247')"
"('Q15653', 'P05109')"
"('P46108', 'P31995')"
"('P30307', 'Q13526')"
"('P16220', 'Q9HCK8')"
"('Q14164', 'Q9HB71')"
"('Q99880', 'Q13547')"
"('Q14943', 'P18146')"
"('P20337', 'P36897')"
"('Q01780', 'O95777')"
"('P15248', 'Q9UHF4')"
"('Q13077', 'Q9NP84')"
"('P31942', 'P17844')"
"('P13984', 'P16220')"
"('P62993', 'P27361')"
"('Q92599', 'P01023')"
"('P27540', 'A9YTQ3')"
