#tail	head	KSP index
SRC	P04234	1
SRC	P07766	2
SRC	P09693	3
SRC	Q96P31	4
SRC	Q9HD43	5
SRC	Q12913	6
SRC	P04435	7
P04234	P07766	8
P04234	P27986	9
P04234	O00459	10
P07766	P16333	11
P07766	P04234	12
P07766	P43403	13
P07766	P06239	14
P07766	P09693	15
P07766	O00459	16
P07766	P27986	17
P09693	P27986	18
P09693	P07766	19
P09693	P43403	20
P09693	O00459	21
Q96P31	P43403	22
Q12913	P49023	23
Q12913	P22681	24
Q12913	P06239	25
Q12913	P28482	26
Q12913	P19174	27
Q12913	P35222	28
P49023	P00519	29
P49023	Q12913	30
P49023	P35222	31
P22681	P16333	32
P22681	Q9H6Q3	33
P22681	P43403	34
P22681	P18146	35
P22681	P27986	36
P22681	P19174	37
P22681	P35222	38
P22681	O00459	39
P22681	Q07666	40
P22681	P06239	41
P22681	Q12913	42
P06239	P07766	43
P06239	P27986	44
P06239	Q12913	45
P06239	P43403	46
P06239	P28482	47
P06239	Q07666	48
P06239	P35222	49
P06239	O00459	50
P06239	P00519	51
P28482	P01100	52
P28482	P16220	53
P28482	P18146	54
P28482	P15336	55
P28482	Q12913	56
P28482	P05412	57
P28482	Q04206	58
P28482	P06239	59
P19174	P43403	60
P19174	Q07666	61
P19174	P00519	62
P19174	P22681	63
P35222	O14920	64
P35222	P49023	65
P35222	P27986	66
P35222	Q12913	67
P35222	Q04206	68
P35222	P00519	69
P35222	P01100	70
P35222	SNK	71
O14920	P25963	72
O14920	P35222	73
O14920	Q04206	74
O14920	SNK	75
P27986	O00459	76
P27986	P25963	77
P27986	P42229	78
P27986	Q07666	79
P27986	P35222	80
P27986	P19174	81
P27986	P00519	82
Q04206	P25963	83
Q04206	P18146	84
Q04206	P15336	85
Q04206	P05412	86
Q04206	P01100	87
Q04206	P35222	88
Q04206	SNK	89
P00519	P16333	90
P00519	P25963	91
P00519	P18146	92
P00519	P49023	93
P00519	P27986	94
P00519	P05412	95
P00519	P42229	96
P00519	P43403	97
P00519	P19174	98
P00519	P35222	99
P00519	P22681	100
P00519	P51692	101
P00519	SNK	102
P01100	Q04206	103
P01100	P35222	104
P01100	P05412	105
P01100	P16220	106
P01100	P15336	107
P01100	SNK	108
P05412	P01100	109
P05412	P16220	110
P05412	P18146	111
P05412	P15336	112
P05412	P35222	113
P05412	Q04206	114
P05412	SNK	115
P16220	P18146	116
P16220	P15336	117
P16220	P05412	118
P16220	P01100	119
P16220	SNK	120
P15336	Q04206	121
P15336	P01100	122
P15336	P25963	123
P15336	P05412	124
P15336	P16220	125
P15336	SNK	126
P25963	P15336	127
P25963	P27986	128
P25963	Q04206	129
P25963	SNK	130
P18146	P16220	131
P18146	P22681	132
P18146	P05412	133
P18146	P00519	134
P18146	SNK	135
P16333	P07766	136
P16333	P00519	137
P16333	P22681	138
P42229	P51692	139
P42229	O00459	140
P42229	P27986	141
P42229	SNK	142
P43403	Q9H6Q3	143
P43403	Q96P31	144
P43403	P00519	145
P43403	P07766	146
P43403	P09693	147
P43403	P19174	148
P43403	O00459	149
P43403	P27986	150
P51692	P42229	151
P51692	SNK	152
O00459	P42229	153
O00459	P27986	154
O00459	P19174	155
Q07666	P22681	156
Q07666	P06239	157
Q07666	P19174	158
Q07666	P27986	159
Q07666	SNK	160
Q9H6Q3	P22681	161
Q9H6Q3	P43403	162
Q9H6Q3	SNK	163
