negatives
"('P57735', 'Q9Y664')"
"('P57721', 'P78537')"
"('Q9H3D4', 'Q9UPW6')"
"('O00567', 'P01106')"
"('Q9UGJ1', 'Q9Y6D9')"
"('P40305', 'P11802')"
"('P11831', 'Q13469')"
"('Q15907', 'P11171')"
"('Q96L91', 'Q92993')"
"('O00303', 'Q8IWF7')"
"('P62993', 'Q86UX6')"
"('P51610', 'A0JLT2')"
"('Q9HCK5', 'P19474')"
"('Q15257', 'P10415')"
"('P21580', 'Q9Y4K3')"
"('Q92793', 'Q9UJU2')"
"('O43318', 'P11021')"
"('P68371', 'Q9NRI5')"
"('P51160', 'P16499')"
"('Q14686', 'P10827')"
"('Q9H244', 'P04899')"
"('Q15078', 'Q00535')"
"('P15018', 'Q14626')"
"('P11047', 'P30101')"
"('Q9UQF2', 'P05107')"
"('Q9H832', 'Q8TBB1')"
"('P05556', 'P08195')"
"('Q86UR5', 'P20336')"
"('Q9NRX3', 'Q99613')"
"('P63261', 'P16144')"
"('P02751', 'P01857')"
"('Q9Y2I6', 'Q6UWE0')"
"('Q9H0M0', 'P12757')"
"('P22415', 'P15407')"
"('Q13501', 'Q16620')"
"('P03901', 'O14561')"
"('Q96ES7', 'O75478')"
"('P61968', 'Q13363')"
"('P51531', 'P04637')"
"('P21802', 'Q9H201')"
"('Q05513', 'P04049')"
"('O60353', 'Q9NQ66')"
"('P10398', 'Q07890')"
"('P62805', 'O75367')"
"('Q9Y3S1', 'P00519')"
"('O60583', 'P50750')"
"('P49767', 'P04626')"
"('Q8WXH5', 'Q9Y4H2')"
"('P12830', 'Q92688')"
"('Q9Y478', 'Q96S59')"
"('P08922', 'P18031')"
"('P09455', 'Q13547')"
"('Q92905', 'Q9H9Q2')"
"('Q9NVP2', 'P51965')"
"('O75940', 'O43395')"
"('Q9Y6Q6', 'Q13191')"
"('O95872', 'O95197')"
"('P10966', 'P01892')"
"('P35225', 'P19235')"
"('O60563', 'Q9UHB7')"
"('P01579', 'Q9UHF4')"
"('P63167', 'Q14204')"
"('Q13368', 'Q15393')"
"('P22694', 'Q68CJ9')"
"('P61289', 'P23508')"
"('Q8N3E9', 'P12757')"
"('Q9UNM6', 'Q13200')"
"('Q16526', 'O15162')"
"('O95817', 'O14641')"
"('P07333', 'P42338')"
"('Q9Y376', 'Q9C0K7')"
"('Q92932', 'Q14008')"
"('P54725', 'P13639')"
"('P01137', 'Q8TEU8')"
"('Q13233', 'Q93008')"
"('Q14565', 'O60684')"
"('O75396', 'Q13190')"
"('Q15645', 'Q13228')"
"('Q04760', 'Q14164')"
"('Q00610', 'O43318')"
"('Q9NRI5', 'P12110')"
"('P12931', 'P98077')"
"('Q15113', 'P13497')"
"('Q9Y6M9', 'P03923')"
"('P78509', 'P26006')"
"('O75925', 'Q9P1Z2')"
"('P16619', 'P46092')"
"('O14874', 'O00442')"
"('P63104', 'Q9Y2A7')"
"('O75508', 'C9JDP6')"
"('Q9UQK1', 'P15735')"
"('P50876', 'O14933')"
"('Q99962', 'P08069')"
"('Q13555', 'Q8NEB9')"
"('P01008', 'P00742')"
"('O15126', 'Q15811')"
"('Q96F07', 'Q9NYB9')"
"('Q9H4E5', 'Q13485')"
