#tail	head	KSP index	path cost
P00533	P10275	1	7.50000e-01
P00533	P03372	2	7.50000e-01
P00533	P35222	3	7.50000e-01
P00533	P40763	4	7.50000e-01
P40189	P10275	5	7.50000e-01
P40189	P40763	6	7.50000e-01
P00533	O60674	7	5.62500e-01
O60674	P03372	7	5.62500e-01
O00206	P05412	8	5.62500e-01
P00533	O00206	8	5.62500e-01
O60603	P05412	9	5.62500e-01
P00533	O60603	9	5.62500e-01
O60674	P38398	10	5.62500e-01
O60674	P40763	11	5.62500e-01
P00533	P00519	12	5.62500e-01
P00519	P05412	12	5.62500e-01
P00519	P06400	13	5.62500e-01
P00519	P08047	14	5.62500e-01
P00519	P35222	15	5.62500e-01
P00519	P38398	16	5.62500e-01
P00519	Q09472	17	5.62500e-01
P00533	P04406	18	5.62500e-01
P04406	P10275	18	5.62500e-01
P00533	P12931	19	5.62500e-01
P12931	P08047	19	5.62500e-01
P12931	P10275	20	5.62500e-01
P12931	P35222	21	5.62500e-01
P12931	P40763	22	5.62500e-01
P16333	P08047	23	5.62500e-01
P00533	P16333	23	5.62500e-01
P16333	P38398	24	5.62500e-01
P18031	O75925	25	5.62500e-01
P00533	P18031	25	5.62500e-01
P18031	P03372	26	5.62500e-01
P18031	P35222	27	5.62500e-01
P18031	P40763	28	5.62500e-01
P00533	P24385	29	5.62500e-01
P24385	P06400	29	5.62500e-01
P24385	P10275	30	5.62500e-01
P24385	P14859	31	5.62500e-01
P24385	Q13547	32	5.62500e-01
P27361	P03372	33	5.62500e-01
P00533	P27361	33	5.62500e-01
P27361	P05412	34	5.62500e-01
P27361	P15336	35	5.62500e-01
P27361	P16220	36	5.62500e-01
P27361	P40763	37	5.62500e-01
P27361	P84022	38	5.62500e-01
P27361	Q12778	39	5.62500e-01
P27986	P03372	40	5.62500e-01
P00533	P27986	40	5.62500e-01
P27986	P38398	41	5.62500e-01
P27986	P40763	42	5.62500e-01
P00533	P28482	43	5.62500e-01
P28482	P03372	43	5.62500e-01
P28482	P05412	44	5.62500e-01
P28482	P15336	45	5.62500e-01
P28482	P16220	46	5.62500e-01
P28482	P40763	47	5.62500e-01
P28482	P84022	48	5.62500e-01
P28482	Q12778	49	5.62500e-01
P00533	P29350	50	5.62500e-01
P29350	P03372	50	5.62500e-01
P31749	P05412	51	5.62500e-01
P00533	P31749	51	5.62500e-01
P31749	P10275	52	5.62500e-01
P31749	P15336	53	5.62500e-01
P31749	P16220	54	5.62500e-01
P31749	P35222	55	5.62500e-01
P31749	Q09472	56	5.62500e-01
P31749	Q12778	57	5.62500e-01
P31749	Q92922	58	5.62500e-01
P00533	P31947	59	5.62500e-01
P31947	P04150	59	5.62500e-01
P04626	P35222	60	5.62500e-01
P00533	P04626	60	5.62500e-01
P04626	P40763	61	5.62500e-01
P08575	P35222	62	5.62500e-01
P00533	P08575	62	5.62500e-01
P00533	P12830	63	5.62500e-01
P12830	P35222	63	5.62500e-01
P00533	P17252	64	5.62500e-01
P17252	P35222	64	5.62500e-01
P00533	P21860	65	5.62500e-01
P21860	P35222	65	5.62500e-01
P00533	P22681	66	5.62500e-01
P22681	P35222	66	5.62500e-01
P23467	P35222	67	5.62500e-01
P00533	P23467	67	5.62500e-01
P23458	P38398	68	5.62500e-01
P00533	P23458	68	5.62500e-01
P00533	O00329	69	5.62500e-01
O00329	P40763	69	5.62500e-01
P00533	O00459	70	5.62500e-01
O00459	P40763	70	5.62500e-01
O14543	P40763	71	5.62500e-01
P00533	O14543	71	5.62500e-01
O15524	P40763	72	5.62500e-01
P00533	O15524	72	5.62500e-01
P23458	P40763	73	5.62500e-01
P00533	P42224	74	5.62500e-01
P42224	P38398	74	5.62500e-01
P42224	P40763	75	5.62500e-01
P42224	Q13547	76	5.62500e-01
P42224	Q92793	77	5.62500e-01
P00533	P42229	78	5.62500e-01
P42229	P03372	78	5.62500e-01
P42229	P14859	79	5.62500e-01
P42229	P40763	80	5.62500e-01
P42229	Q92793	81	5.62500e-01
