#tail	head	KSP index	path cost
Q4KMG0	P00519	1	5.62500e-01
P00519	P35222	1	5.62500e-01
Q99835	Q9UMX1	2	5.36564e-01
P01137	P37173	3	4.21875e-01
P34741	P01137	3	4.21875e-01
P37173	P35222	3	4.21875e-01
P01137	P45983	4	4.21875e-01
P45983	P35222	4	4.21875e-01
P01137	P84022	5	4.21875e-01
P84022	P12755	5	4.21875e-01
P84022	P35222	6	4.21875e-01
P84022	Q15797	7	4.21875e-01
P84022	Q92793	8	4.21875e-01
P01137	Q15796	9	4.21875e-01
Q15796	O75586	9	4.21875e-01
Q15796	P12755	10	4.21875e-01
Q15796	P35222	11	4.21875e-01
Q15796	Q15797	12	4.21875e-01
Q03167	P37173	13	4.21875e-01
P34741	Q03167	13	4.21875e-01
P25098	P00533	14	4.21875e-01
Q13635	P25098	14	4.21875e-01
P00533	P35222	14	4.21875e-01
Q13635	P14635	15	4.21875e-01
P14635	Q08050	15	4.21875e-01
Q08050	Q92793	15	4.21875e-01
P31946	O00422	16	4.21875e-01
P00519	P31946	16	4.21875e-01
P00519	P00533	17	4.21875e-01
P04626	P35222	18	4.21875e-01
P00519	P04626	18	4.21875e-01
P05412	P35222	19	4.21875e-01
P00519	P05412	19	4.21875e-01
P05412	Q92793	20	4.21875e-01
P00519	P06241	21	4.21875e-01
P06241	P35222	21	4.21875e-01
P15941	P35222	22	4.21875e-01
P00519	P15941	22	4.21875e-01
P18031	P35222	23	4.21875e-01
P00519	P18031	23	4.21875e-01
P21860	P35222	24	4.21875e-01
P00519	P21860	24	4.21875e-01
P22681	P35222	25	4.21875e-01
P00519	P22681	25	4.21875e-01
P61981	O00422	26	4.21875e-01
P00519	P61981	26	4.21875e-01
P00519	P62258	27	4.21875e-01
P62258	P08151	27	4.21875e-01
P62258	P10070	28	4.21875e-01
P62258	P10071	29	4.21875e-01
P63104	P35222	30	4.21875e-01
P00519	P63104	30	4.21875e-01
P98161	P35222	31	4.21875e-01
P00519	P98161	31	4.21875e-01
Q09472	P12755	32	4.21875e-01
P00519	Q09472	32	4.21875e-01
Q09472	P35222	33	4.21875e-01
Q09472	Q15797	34	4.21875e-01
Q13191	P35222	35	4.21875e-01
P00519	Q13191	35	4.21875e-01
Q15303	P35222	36	4.21875e-01
P00519	Q15303	36	4.21875e-01
P04637	Q92793	37	4.21875e-01
P00519	P04637	37	4.21875e-01
P04637	Q96ST3	38	4.21875e-01
P42229	Q92793	39	4.21875e-01
P00519	P42229	39	4.21875e-01
P51692	Q92793	40	4.21875e-01
P00519	P51692	40	4.21875e-01
Q9ULV8	P35222	41	4.21875e-01
P00519	Q9ULV8	41	4.21875e-01
Q9ULV1	P35222	42	4.21875e-01
P32121	Q9ULV1	42	4.21875e-01
Q99835	P32121	42	4.21875e-01
P21359	P63165	43	4.03483e-01
P34741	P21359	43	4.03483e-01
P63165	Q96ST3	43	4.03483e-01
Q9NRP7	P08151	44	4.02423e-01
Q99835	Q9NRP7	44	4.02423e-01
Q9NRP7	P10070	45	4.02423e-01
Q9NRP7	P10071	46	4.02423e-01
Q9NRP7	Q9UMX1	47	4.02423e-01
P01137	P45984	48	3.89508e-01
P45984	P35222	48	3.89508e-01
P27361	Q15797	49	3.17928e-01
P34741	P18827	49	3.17928e-01
P18827	P27361	49	3.17928e-01
