negatives
"('P42166', 'P06400')"
"('O15524', 'P40238')"
"('P21796', 'O43353')"
"('P14136', 'Q8NEV4')"
"('Q9NZN5', 'Q8IXI1')"
"('P01569', 'Q08334')"
"('O15084', 'O75170')"
"('Q5JWF2', 'Q08462')"
"('O15534', 'Q99743')"
"('P01106', 'O15403')"
"('P10828', 'Q92569')"
"('Q86WN2', 'Q14626')"
"('Q16186', 'Q9Y5L4')"
"('Q15843', 'P62829')"
"('Q12972', 'Q9Y243')"
"('Q96NW7', 'Q8WXI2')"
"('P35240', 'P16070')"
"('Q13642', 'O75398')"
"('P22694', 'P10070')"
"('O14775', 'Q8TCU6')"
"('P62266', 'P46777')"
"('P06241', 'Q15036')"
"('P11586', 'P24941')"
"('Q8IY92', 'Q96HN2')"
"('O60508', 'Q16629')"
"('P62633', 'Q9H171')"
"('P19086', 'P47712')"
"('O60282', 'P68400')"
"('Q99759', 'O43819')"
"('Q8NFW9', 'P16220')"
"('Q8NEV8', 'O15198')"
"('Q9H1B4', 'Q13769')"
"('Q53QZ3', 'P08134')"
"('P13489', 'P09874')"
"('P62081', 'P67870')"
"('Q13315', 'Q2KHR3')"
"('Q13813', 'Q14164')"
"('P00533', 'Q14974')"
"('Q86X29', 'P61981')"
"('Q99758', 'P27824')"
"('Q13522', 'P06400')"
"('Q96ES7', 'O75528')"
"('Q01130', 'P38159')"
"('O95295', 'Q5JY77')"
"('Q13322', 'P09619')"
"('Q9NYV9', 'A8MTJ3')"
"('Q9NRN7', 'P30480')"
"('Q15172', 'P28749')"
"('P05015', 'P40238')"
"('P78527', 'Q8IY67')"
"('P32121', 'Q96JQ0')"
"('P42226', 'Q16695')"
"('P31947', 'Q9UK53')"
"('Q8N1F7', 'P62330')"
"('P52701', 'P54277')"
"('O75369', 'P05556')"
"('O75159', 'Q15369')"
"('Q9UH99', 'O94817')"
"('P32239', 'P16333')"
"('P27986', 'O15360')"
"('442901', 'Q9UNQ0')"
"('Q12933', 'Q9NR28')"
"('Q92922', 'Q68CP9')"
"('P36542', 'Q00013')"
"('P05496', 'P03928')"
"('Q9NX70', 'A0JLT2')"
"('Q06124', 'O43561')"
"('Q12906', 'P04818')"
"('P04080', 'P40337')"
"('Q15834', 'Q9P0W2')"
"('P17676', 'Q9NR97')"
"('O15145', 'Q14247')"
"('P48059', 'Q99708')"
"('P62330', 'O75821')"
"('P19525', 'P56537')"
"('P01106', 'P10809')"
"('Q08043', 'P23229')"
"('P22234', 'P16035')"
"('407026', 'P39059')"
"('Q13315', 'Q6UX07')"
"('Q14141', 'Q6PKG0')"
"('Q14197', 'Q7Z7H8')"
"('P43250', 'O95084')"
"('Q99759', 'P08754')"
"('P62330', 'Q9BXR0')"
"('P49810', 'Q99828')"
"('Q15788', 'Q96RI1')"
"('P13473', 'P37840')"
"('O75367', 'P62807')"
"('Q99962', 'Q13444')"
"('P17931', 'P05771')"
"('P29374', 'Q92769')"
"('P62487', 'P36954')"
"('O43237', 'Q9BVA1')"
"('406947', 'P24385')"
"('Q2TAY7', 'Q04695')"
"('O95602', '100008588')"
"('Q13228', 'Q5UIP0')"
"('P26373', 'P63173')"
"('P56537', 'Q9BZE4')"
"('O15264', 'Q14765')"
"('Q96AE7', 'Q9HCE7')"
"('Q8WWF5', 'P51965')"
"('Q9HBW0', 'P48736')"
"('Q8N149', 'P08637')"
"('Q9UHD2', 'P40227')"
"('P40425', 'O75935')"
"('Q14258', 'O75800')"
