negatives
"('Q06413', 'Q14135')"
"('P31749', 'P98177')"
"('Q9UL15', 'Q13233')"
"('Q8N392', 'Q8IXI1')"
"('P16144', 'P26006')"
"('P22415', 'P36956')"
"('Q9H8S9', 'P52948')"
"('P01574', 'O75626')"
"('P32121', 'Q8NH43')"
"('Q7Z2E3', 'P09874')"
"('P62316', 'P62312')"
"('O15145', 'Q99873')"
"('P42766', 'Q9UL18')"
"('P18146', 'P48506')"
"('Q8TCU6', 'Q8N122')"
"('Q8N726', 'Q01094')"
"('P10600', 'P53779')"
"('P24723', 'Q9HBA0')"
"('P61201', 'Q9H160')"
"('P04637', 'Q05397')"
"('Q9NR30', 'P01241')"
"('P67870', 'Q96RK0')"
"('P55060', 'P61981')"
"('Q15111', 'P48169')"
"('Q14164', 'P61966')"
"('Q9Y5S8', 'P19438')"
"('Q16637', 'Q09028')"
"('O60427', 'Q9UBM7')"
"('Q96AH8', 'Q9H1Y0')"
"('P28702', 'P10827')"
"('Q96QB1', 'Q68CZ2')"
"('Q12879', 'P12814')"
"('P07359', 'O00459')"
"('Q14209', 'Q9H211')"
"('Q6VY07', 'Q9NZ52')"
"('P46734', 'P45984')"
"('P62136', 'Q6UN15')"
"('Q99558', 'O76021')"
"('Q13418', 'Q15404')"
"('Q7L591', 'Q92835')"
"('Q9NSI5', 'P57087')"
"('Q8NBV4', 'P54259')"
"('P27986', 'P50570')"
"('O43707', 'Q15942')"
"('Q16659', 'P01225')"
"('Q68EM7', 'P84095')"
"('O43156', 'Q13315')"
"('P25490', 'Q9H981')"
"('P23141', 'Q15139')"
"('P11021', 'P62993')"
"('P04637', 'P20073')"
"('Q13526', 'Q8IY92')"
"('Q9P104', 'O60238')"
"('P05067', 'P30679')"
"('P49959', 'Q13573')"
"('Q9NPF7', 'Q14627')"
"('Q01850', 'P01106')"
"('Q13424', 'P78508')"
"('P61964', 'Q6DN03')"
"('O14744', 'Q9BQA1')"
"('P10415', 'Q14643')"
"('Q13310', 'P62324')"
"('P28072', 'Q9Y4K3')"
"('P10914', 'P67809')"
"('Q9Y4G8', 'Q07889')"
"('Q9BY12', 'Q96KG7')"
"('P06753', 'P56537')"
"('P07900', 'P19784')"
"('P48552', 'P04150')"
"('P29275', 'O95467')"
"('Q8TDN4', 'Q00535')"
"('P22736', 'P04637')"
"('P11229', 'P04899')"
"('Q9Y6K9', 'Q8N2W9')"
"('P62993', 'Q9ULV4')"
"('P10145', 'P51684')"
"('Q15008', 'Q9UKE5')"
"('Q7L576', 'Q9Y6X6')"
"('Q13277', 'P63027')"
"('O75956', 'P18754')"
"('O60383', 'Q99447')"
"('O60674', 'P48551')"
"('P55084', 'P18206')"
"('P26378', 'Q9NZI8')"
"('P55327', 'P63104')"
"('Q9UBL3', 'Q86VZ2')"
"('P51610', 'P14316')"
"('Q13748', 'Q86UA6')"
"('Q4VXU2', 'Q9NY30')"
"('Q9HB71', 'Q9UET6')"
"('P68400', 'P38398')"
"('Q15653', 'P23508')"
"('P17948', 'P48736')"
"('Q16520', 'Q9NR55')"
"('P08123', 'Q13683')"
"('P40429', 'P62750')"
"('Q9H1J7', 'O00144')"
"('Q9Y572', 'P07437')"
"('P42830', 'P46092')"
"('Q92752', 'P53708')"
"('P62993', 'Q9H1H9')"
"('Q92963', 'Q15796')"
"('P55268', 'P18084')"
"('P19438', 'O60674')"
"('P25205', 'Q13177')"
"('O96009', 'Q14164')"
"('Q08116', 'Q15714')"
"('O00264', 'P49716')"
"('P28799', 'O95985')"
"('P52597', 'P51991')"
"('O95182', 'O14561')"
"('Q12933', 'Q8IYF1')"
"('Q9UJX2', 'O96019')"
"('P21802', 'P29353')"
"('P24941', 'O75365')"
"('Q12905', 'P35225')"
"('P33993', 'P33992')"
"('O95084', 'Q9BVI4')"
"('O15126', 'Q15811')"
"('Q96GM5', 'Q13137')"
"('Q13330', 'P01137')"
"('P07199', 'Q9UK32')"
"('P09619', 'P20936')"
"('P61978', 'Q15424')"
"('O15524', 'Q13261')"
"('Q09472', 'Q00987')"
"('P17544', 'Q8WYK2')"
"('Q92997', 'P15153')"
"('P24752', 'P30504')"
"('Q7Z6B7', 'P60953')"
"('P62834', 'P46734')"
"('26765', 'Q9Y244')"
"('P32298', 'P13945')"
"('Q16531', 'Q9NX09')"
"('P04899', 'P61952')"
"('Q13683', 'Q05397')"
"('Q9NZP0', 'P38405')"
"('O75937', 'P35637')"
"('P13498', 'P04839')"
"('P32121', 'Q8NGG7')"
