#tail	head	KSP index	path cost
Q01113	P23458	1	5.62500e-01
P23458	P42224	1	5.62500e-01
O00329	P40763	2	5.62500e-01
P31785	O00329	2	5.62500e-01
O00459	P40763	3	5.62500e-01
P31785	O00459	3	5.62500e-01
O60674	P40763	4	5.62500e-01
P31785	O60674	4	5.62500e-01
O60674	P42224	5	5.62500e-01
O60674	P51692	6	5.62500e-01
P14784	P40763	7	5.62500e-01
P31785	P14784	7	5.62500e-01
P14784	P42224	8	5.62500e-01
P14784	P51692	9	5.62500e-01
P31785	P16871	10	5.62500e-01
P16871	P40763	10	5.62500e-01
P16871	P51692	11	5.62500e-01
P23458	P40763	12	5.62500e-01
P31785	P23458	12	5.62500e-01
P23458	P51692	14	5.62500e-01
P27986	P40763	15	5.62500e-01
P31785	P27986	15	5.62500e-01
P29597	P40763	16	5.62500e-01
P31785	P29597	16	5.62500e-01
P29597	P42224	17	5.62500e-01
P29597	P51692	18	5.62500e-01
P42336	P40763	19	5.62500e-01
P31785	P42336	19	5.62500e-01
P42338	P40763	20	5.62500e-01
P31785	P42338	20	5.62500e-01
P48736	P40763	21	5.62500e-01
P31785	P48736	21	5.62500e-01
P52333	P40763	22	5.62500e-01
P31785	P52333	22	5.62500e-01
P52333	P42224	23	5.62500e-01
P52333	P51692	24	5.62500e-01
Q92569	P40763	25	5.62500e-01
P31785	Q92569	25	5.62500e-01
Q01113	O60674	26	5.62500e-01
Q01113	P29597	31	5.62500e-01
Q01113	P52333	34	5.62500e-01
Q01113	Q92993	37	5.62500e-01
Q92993	P40763	37	5.62500e-01
P31785	P42224	38	4.26525e-01
O00329	O00459	39	4.21875e-01
P00533	P40763	40	4.21875e-01
O00329	P00533	40	4.21875e-01
P00533	P42224	41	4.21875e-01
P00533	P51692	42	4.21875e-01
O00329	P27986	43	4.21875e-01
P31749	P42224	44	4.21875e-01
O00329	P31749	44	4.21875e-01
O00329	P42336	45	4.21875e-01
O00329	P42338	46	4.21875e-01
O00329	P42345	47	4.21875e-01
P42345	P40763	47	4.21875e-01
O00329	P48736	48	4.21875e-01
P63000	P40763	49	4.21875e-01
O00329	P63000	49	4.21875e-01
O00329	Q92569	50	4.21875e-01
O00459	O00329	51	4.21875e-01
O00459	P00533	52	4.21875e-01
O00459	P27986	55	4.21875e-01
O00459	P31749	56	4.21875e-01
O00459	P42229	57	4.21875e-01
P42229	P40763	57	4.21875e-01
P42229	P42224	58	4.21875e-01
P42229	P51692	59	4.21875e-01
O00459	P42336	60	4.21875e-01
O00459	P42338	61	4.21875e-01
O00459	P42345	62	4.21875e-01
P48357	P40763	63	4.21875e-01
O00459	P48357	63	4.21875e-01
O00459	P48736	64	4.21875e-01
O00459	P63000	65	4.21875e-01
O00459	Q06124	66	4.21875e-01
Q06124	P40763	66	4.21875e-01
Q06124	P51692	67	4.21875e-01
O00459	Q92569	68	4.21875e-01
O60674	O00329	69	4.21875e-01
O60674	O00459	70	4.21875e-01
O60674	P03372	71	4.21875e-01
P03372	P40763	71	4.21875e-01
P04626	P40763	72	4.21875e-01
O60674	P04626	72	4.21875e-01
P04626	P42224	73	4.21875e-01
O60674	P06241	74	4.21875e-01
P06241	P40763	74	4.21875e-01
O60674	P16473	75	4.21875e-01
P16473	P40763	75	4.21875e-01
O60674	P23458	76	4.21875e-01
O60674	P27986	79	4.21875e-01
P10721	P42224	80	4.21875e-01
O60674	P10721	80	4.21875e-01
P10721	P51692	81	4.21875e-01
O60674	P38398	82	4.21875e-01
P38398	P42224	82	4.21875e-01
O60674	P42229	83	4.21875e-01
O60674	P42336	86	4.21875e-01
O60674	P42338	87	4.21875e-01
O60674	P48736	88	4.21875e-01
O60674	P52630	89	4.21875e-01
P52630	P42224	89	4.21875e-01
O60674	P67775	90	4.21875e-01
P67775	P42224	90	4.21875e-01
P67775	P51692	91	4.21875e-01
O60674	Q06124	92	4.21875e-01
Q14469	P40763	94	4.21875e-01
O60674	Q14469	94	4.21875e-01
O60674	Q15303	95	4.21875e-01
Q15303	P51692	95	4.21875e-01
Q5TA89	P40763	96	4.21875e-01
O60674	Q5TA89	96	4.21875e-01
O60674	Q92569	97	4.21875e-01
P01589	O00329	98	4.21875e-01
P31785	P01589	98	4.21875e-01
P01589	O00459	99	4.21875e-01
P01589	O60674	100	4.21875e-01
P01589	P14784	103	4.21875e-01
P01589	P23458	106	4.21875e-01
P01589	P27986	109	4.21875e-01
P01589	P29597	110	4.21875e-01
P01589	P42336	113	4.21875e-01
P01589	P42338	114	4.21875e-01
P01589	P48736	115	4.21875e-01
P01589	P52333	116	4.21875e-01
P01589	Q92569	119	4.21875e-01
P14784	O00329	120	4.21875e-01
P14784	O00459	121	4.21875e-01
P14784	O60674	122	4.21875e-01
P14784	P06241	125	4.21875e-01
P14784	P23458	126	4.21875e-01
P14784	P27986	129	4.21875e-01
P14784	P29597	130	4.21875e-01
P14784	P42229	133	4.21875e-01
P14784	P42336	136	4.21875e-01
P14784	P42338	137	4.21875e-01
P14784	P48736	138	4.21875e-01
P14784	P52333	139	4.21875e-01
P14784	P63244	142	4.21875e-01
P63244	P40763	142	4.21875e-01
P63244	P42224	143	4.21875e-01
P14784	Q92569	144	4.21875e-01
P14784	Q9NSE2	145	4.21875e-01
Q9NSE2	P40763	145	4.21875e-01
Q9NSE2	P42224	146	4.21875e-01
