#tail	head	KSP index	path cost
P32927	P42229	1	7.50000e-01
P10721	P42224	2	7.50000e-01
P10721	P42229	3	7.50000e-01
P10721	P51692	4	7.50000e-01
P16871	P42229	5	7.50000e-01
P16871	P51692	6	7.50000e-01
P10721	P06241	7	5.62500e-01
P06241	P00519	7	5.62500e-01
P10721	P08631	8	5.62500e-01
P08631	P00519	8	5.62500e-01
P10721	P12931	9	5.62500e-01
P12931	P00519	9	5.62500e-01
P12931	P42224	10	5.62500e-01
P12931	P42229	11	5.62500e-01
P10721	P15498	12	5.62500e-01
P15498	P00519	12	5.62500e-01
P19174	P00519	13	5.62500e-01
P10721	P19174	13	5.62500e-01
P27986	P00519	14	5.62500e-01
P10721	P27986	14	5.62500e-01
P27986	P42229	15	5.62500e-01
P10721	P29353	16	5.62500e-01
P29353	O43524	16	5.62500e-01
P10721	O14544	17	5.62500e-01
O14544	P42224	17	5.62500e-01
O14544	P42229	18	5.62500e-01
O14544	P51692	19	5.62500e-01
P10721	O15524	20	5.62500e-01
O15524	P42224	20	5.62500e-01
O15524	P42229	21	5.62500e-01
O15524	P51692	22	5.62500e-01
P10721	O60674	23	5.62500e-01
O60674	P42224	23	5.62500e-01
O60674	P42229	24	5.62500e-01
O60674	P51692	25	5.62500e-01
P10721	O75159	26	5.62500e-01
O75159	P42224	26	5.62500e-01
P10721	O00459	27	5.62500e-01
O00459	P42229	27	5.62500e-01
O75159	P42229	28	5.62500e-01
O75159	P51692	29	5.62500e-01
P10721	P46108	30	5.62500e-01
P46108	P00519	30	5.62500e-01
P46108	P42229	31	5.62500e-01
P46108	P51692	32	5.62500e-01
P10721	P46109	33	5.62500e-01
P46109	P00519	33	5.62500e-01
P46109	P42229	34	5.62500e-01
P46109	P51692	35	5.62500e-01
P10721	P52333	36	5.62500e-01
P52333	P42224	36	5.62500e-01
P52333	P42229	37	5.62500e-01
P52333	P51692	38	5.62500e-01
P10721	Q06124	39	5.62500e-01
Q06124	P42229	39	5.62500e-01
Q06124	P51692	40	5.62500e-01
P10721	Q8WXH5	41	5.62500e-01
Q8WXH5	P42224	41	5.62500e-01
Q8WXH5	P42229	42	5.62500e-01
Q8WXH5	P51692	43	5.62500e-01
P10721	Q99704	44	5.62500e-01
Q99704	P00519	44	5.62500e-01
P16871	P06241	45	5.62500e-01
P16871	P27986	46	5.62500e-01
P16871	O60674	47	5.62500e-01
P23458	P42224	50	5.62500e-01
P16871	P23458	50	5.62500e-01
P23458	P42229	51	5.62500e-01
P23458	P51692	52	5.62500e-01
P29597	P42224	54	5.62500e-01
P16871	P29597	54	5.62500e-01
P29597	P42229	55	5.62500e-01
P29597	P51692	56	5.62500e-01
P40763	P42224	57	5.62500e-01
P16871	P40763	57	5.62500e-01
P40763	P42229	58	5.62500e-01
P40763	P51692	59	5.62500e-01
P16871	P52333	60	5.62500e-01
Q04206	Q09472	63	5.62500e-01
P16871	Q04206	63	5.62500e-01
P18031	P00519	64	5.62500e-01
P19235	P18031	64	5.62500e-01
Q13158	P42224	65	5.62500e-01
O00220	Q13158	65	5.62500e-01
P19235	O60674	66	5.62500e-01
P18031	P42229	69	5.62500e-01
P18031	P51692	70	5.62500e-01
P19235	P23458	71	5.62500e-01
P19235	P29597	74	5.62500e-01
P19235	P52333	77	5.62500e-01
Q9NSE2	P42224	80	5.62500e-01
P19235	Q9NSE2	80	5.62500e-01
Q9NSE2	P42229	81	5.62500e-01
Q9NSE2	P51692	82	5.62500e-01
P32927	P06241	83	5.62500e-01
P32927	P08631	84	5.62500e-01
P32927	P27986	85	5.62500e-01
P32927	P29353	87	5.62500e-01
P32927	O60674	88	5.62500e-01
P32927	P23458	91	5.62500e-01
P50570	P00519	94	5.62500e-01
P32927	P50570	94	5.62500e-01
P63104	O43524	95	5.62500e-01
P32927	P63104	95	5.62500e-01
P63104	P00519	96	5.62500e-01
P32927	P63244	97	5.62500e-01
P63244	P42224	97	5.62500e-01
P32927	Q06124	98	5.62500e-01
P32927	Q9NSE2	100	5.62500e-01
P35222	P00519	103	5.62500e-01
Q92729	P35222	103	5.62500e-01
P35222	Q09472	104	5.62500e-01
P16871	P42224	105	5.43131e-01
P43405	P42224	106	4.93812e-01
P32927	P43405	106	4.93812e-01
P32927	O00459	107	4.92560e-01
P32927	P51692	108	4.26525e-01
Q06187	P19174	109	4.21875e-01
O00220	Q06187	109	4.21875e-01
O14763	Q13158	110	4.21875e-01
O00220	O14763	110	4.21875e-01
O15519	Q13158	111	4.21875e-01
O00220	O15519	111	4.21875e-01
O15519	Q15628	112	4.21875e-01
Q15628	P42224	112	4.21875e-01
P50591	Q13158	113	4.21875e-01
O00220	P50591	113	4.21875e-01
Q06187	P40189	114	4.21875e-01
P40189	P42224	114	4.21875e-01
Q13158	Q15628	115	4.21875e-01
Q14790	O14920	116	4.21875e-01
O00220	Q14790	116	4.21875e-01
O14920	O43524	116	4.21875e-01
Q14790	O15111	117	4.21875e-01
O15111	O43524	117	4.21875e-01
Q14790	P27361	118	4.21875e-01
P27361	O43524	118	4.21875e-01
P27361	O75030	119	4.21875e-01
P27361	P19419	120	4.21875e-01
P27361	P42224	121	4.21875e-01
Q14790	P27986	122	4.21875e-01
Q14790	P28482	124	4.21875e-01
P28482	O43524	124	4.21875e-01
P28482	O75030	125	4.21875e-01
P28482	P19419	126	4.21875e-01
P28482	P42224	127	4.21875e-01
Q14790	Q16539	128	4.21875e-01
Q16539	O43524	128	4.21875e-01
Q16539	O75030	129	4.21875e-01
Q16539	P19419	130	4.21875e-01
P00533	P00519	131	4.21875e-01
O00459	P00533	131	4.21875e-01
P00533	P42224	132	4.21875e-01
P00533	P42229	133	4.21875e-01
P00533	P51692	134	4.21875e-01
O00459	P19174	135	4.21875e-01
O00459	P27986	136	4.21875e-01
O00459	P29353	138	4.21875e-01
P31749	O43524	139	4.21875e-01
O00459	P31749	139	4.21875e-01
P31749	P42224	140	4.21875e-01
P31749	Q09472	141	4.21875e-01
P31751	O43524	142	4.21875e-01
O00459	P31751	142	4.21875e-01
P31946	O43524	143	4.21875e-01
O00459	P31946	143	4.21875e-01
P31946	P00519	144	4.21875e-01
O00459	P40763	145	4.21875e-01
O00459	P50570	148	4.21875e-01
O00459	P63104	149	4.21875e-01
O00459	Q06124	151	4.21875e-01
Q07890	P00519	153	4.21875e-01
O00459	Q07890	153	4.21875e-01
P46531	Q09472	154	4.21875e-01
O00459	P46531	154	4.21875e-01
O00459	Q99704	155	4.21875e-01
Q9Y243	O43524	156	4.21875e-01
O00459	Q9Y243	156	4.21875e-01
P10721	O14492	157	4.21875e-01
P04626	P00519	157	4.21875e-01
O14492	P04626	157	4.21875e-01
P04626	P42224	158	4.21875e-01
O14492	P29353	159	4.21875e-01
O14544	O60674	160	4.21875e-01
O14544	P40763	163	4.21875e-01
O15524	P00533	166	4.21875e-01
O15524	P04626	170	4.21875e-01
O15524	P06241	172	4.21875e-01
O15524	P15498	173	4.21875e-01
O15524	P26992	174	4.21875e-01
P26992	P00519	174	4.21875e-01
O15524	O60674	175	4.21875e-01
O15524	P14784	178	4.21875e-01
P14784	P42224	178	4.21875e-01
P14784	P42229	179	4.21875e-01
P14784	P51692	180	4.21875e-01
P15260	P42224	181	4.21875e-01
O15524	P15260	181	4.21875e-01
O15524	P17181	182	4.21875e-01
P17181	P42224	182	4.21875e-01
O15524	P23458	183	4.21875e-01
O15524	P29597	186	4.21875e-01
O15524	P38484	189	4.21875e-01
P38484	P42224	189	4.21875e-01
O15524	P40189	190	4.21875e-01
O15524	P40763	191	4.21875e-01
P16471	P42229	192	4.21875e-01
O15524	P16471	192	4.21875e-01
O15524	P48551	195	4.21875e-01
P48551	P42224	195	4.21875e-01
O15524	P52333	196	4.21875e-01
O15524	Q04206	199	4.21875e-01
O60674	P04626	200	4.21875e-01
O60674	P06241	202	4.21875e-01
P16333	P00519	203	4.21875e-01
O60674	P16333	203	4.21875e-01
O60674	P19174	204	4.21875e-01
O60674	P21860	205	4.21875e-01
P21860	P00519	205	4.21875e-01
O60674	P27986	206	4.21875e-01
O60674	P29353	208	4.21875e-01
O60674	P38398	209	4.21875e-01
P38398	P00519	209	4.21875e-01
O60674	P23458	210	4.21875e-01
P38398	P42224	213	4.21875e-01
P38398	Q09472	214	4.21875e-01
O60674	P40763	215	4.21875e-01
O60674	O00459	216	4.21875e-01
O60674	P03372	217	4.21875e-01
P03372	P42229	217	4.21875e-01
P03372	Q09472	218	4.21875e-01
O60674	P50570	221	4.21875e-01
O60674	P52630	222	4.21875e-01
P52630	P42224	222	4.21875e-01
O60674	P67775	223	4.21875e-01
P67775	O43524	223	4.21875e-01
P67775	P42224	224	4.21875e-01
P67775	P42229	225	4.21875e-01
P67775	P51692	226	4.21875e-01
O60674	Q06124	227	4.21875e-01
O60674	Q15303	229	4.21875e-01
Q15303	P00519	229	4.21875e-01
Q15303	P42229	230	4.21875e-01
Q15303	P51692	231	4.21875e-01
O75159	P26992	232	4.21875e-01
O75159	O60674	233	4.21875e-01
O75159	P14784	236	4.21875e-01
O75159	P15260	239	4.21875e-01
O75159	P17181	240	4.21875e-01
O75159	P23458	241	4.21875e-01
O75159	P29597	244	4.21875e-01
O75159	P38484	247	4.21875e-01
O75159	P40189	248	4.21875e-01
O75159	P40763	249	4.21875e-01
O75159	P16471	250	4.21875e-01
O75159	P48551	253	4.21875e-01
O75159	P52333	254	4.21875e-01
O00254	P00519	257	4.21875e-01
P06241	O00254	257	4.21875e-01
O14490	P00519	258	4.21875e-01
P06241	O14490	258	4.21875e-01
O14513	P00519	259	4.21875e-01
P06241	O14513	259	4.21875e-01
O15056	P00519	260	4.21875e-01
P06241	O15056	260	4.21875e-01
O15085	P00519	261	4.21875e-01
P06241	O15085	261	4.21875e-01
O15117	P00519	262	4.21875e-01
P06241	O15117	262	4.21875e-01
O43390	P00519	263	4.21875e-01
P06241	O43390	263	4.21875e-01
O43493	P00519	264	4.21875e-01
P06241	O43493	264	4.21875e-01
O43708	P00519	265	4.21875e-01
P06241	O43708	265	4.21875e-01
O43900	P00519	266	4.21875e-01
P06241	O43900	266	4.21875e-01
O43918	P00519	267	4.21875e-01
P06241	O43918	267	4.21875e-01
O60244	P00519	268	4.21875e-01
P06241	O60244	268	4.21875e-01
O60493	P00519	269	4.21875e-01
P06241	O60493	269	4.21875e-01
O60721	P00519	270	4.21875e-01
P06241	O60721	270	4.21875e-01
O75326	P00519	271	4.21875e-01
P06241	O75326	271	4.21875e-01
O76039	P00519	272	4.21875e-01
P06241	O76039	272	4.21875e-01
O94856	P00519	273	4.21875e-01
P06241	O94856	273	4.21875e-01
O95886	P00519	274	4.21875e-01
P06241	O95886	274	4.21875e-01
P06865	P00519	275	4.21875e-01
P06241	P06865	275	4.21875e-01
P08047	P00519	276	4.21875e-01
P06241	P08047	276	4.21875e-01
P06241	P12931	277	4.21875e-01
P13671	P00519	280	4.21875e-01
P06241	P13671	280	4.21875e-01
P06241	P15498	281	4.21875e-01
P15586	P00519	282	4.21875e-01
P06241	P15586	282	4.21875e-01
P06241	P16333	283	4.21875e-01
P20810	P00519	284	4.21875e-01
P06241	P20810	284	4.21875e-01
P21333	P00519	285	4.21875e-01
P06241	P21333	285	4.21875e-01
P23760	P00519	286	4.21875e-01
P06241	P23760	286	4.21875e-01
P06241	P26992	287	4.21875e-01
P06241	P27986	288	4.21875e-01
P28340	P00519	290	4.21875e-01
P06241	P28340	290	4.21875e-01
P29074	P00519	291	4.21875e-01
P06241	P29074	291	4.21875e-01
P06241	P29353	292	4.21875e-01
P30260	P00519	293	4.21875e-01
P06241	P30260	293	4.21875e-01
P31273	P00519	294	4.21875e-01
P06241	P31273	294	4.21875e-01
P32239	P00519	295	4.21875e-01
P06241	P32239	295	4.21875e-01
P34820	P00519	296	4.21875e-01
P06241	P34820	296	4.21875e-01
P06241	P35222	297	4.21875e-01
P06241	O15524	298	4.21875e-01
P06241	O60674	301	4.21875e-01
P06241	P14784	304	4.21875e-01
P06241	P40189	308	4.21875e-01
P06241	P40763	309	4.21875e-01
P06241	O00459	310	4.21875e-01
P06241	P16471	311	4.21875e-01
P20963	P42229	312	4.21875e-01
P06241	P20963	312	4.21875e-01
P20963	P51692	313	4.21875e-01
P42566	P00519	316	4.21875e-01
P06241	P42566	316	4.21875e-01
P43403	P00519	317	4.21875e-01
P06241	P43403	317	4.21875e-01
P43699	P00519	318	4.21875e-01
P06241	P43699	318	4.21875e-01
P46013	P00519	319	4.21875e-01
P06241	P46013	319	4.21875e-01
P49450	P00519	320	4.21875e-01
P06241	P49450	320	4.21875e-01
P50851	P00519	321	4.21875e-01
P06241	P50851	321	4.21875e-01
P51587	P00519	322	4.21875e-01
P06241	P51587	322	4.21875e-01
P78329	P00519	323	4.21875e-01
P06241	P78329	323	4.21875e-01
P78345	P00519	324	4.21875e-01
P06241	P78345	324	4.21875e-01
P78357	P00519	325	4.21875e-01
P06241	P78357	325	4.21875e-01
P98161	P00519	326	4.21875e-01
P06241	P98161	326	4.21875e-01
Q05655	P00519	327	4.21875e-01
