#tail	head	KSP index	path cost
P48357	P40763	1	7.50000e-01
P04626	P40763	2	7.50000e-01
P04626	P42224	3	7.50000e-01
P04626	O60674	4	5.62500e-01
O60674	P03372	4	5.62500e-01
O60674	P40763	5	5.62500e-01
O60674	P42224	6	5.62500e-01
O60674	P42229	7	5.62500e-01
O60674	P51692	8	5.62500e-01
P04626	P00533	9	5.62500e-01
P00533	P03372	9	5.62500e-01
P04626	P00519	10	5.62500e-01
P00519	P08047	10	5.62500e-01
P00519	P42229	11	5.62500e-01
P00519	P51692	12	5.62500e-01
P00519	Q09472	13	5.62500e-01
P00533	P40763	14	5.62500e-01
P00533	P42224	15	5.62500e-01
P00533	P42229	16	5.62500e-01
P00533	P51692	17	5.62500e-01
P04626	P01106	18	5.62500e-01
P01106	P08047	18	5.62500e-01
P01106	Q04206	19	5.62500e-01
P01106	Q09472	20	5.62500e-01
P01106	Q9Y6K9	21	5.62500e-01
P27986	P03372	22	5.62500e-01
P04626	P27986	22	5.62500e-01
P27986	P40763	23	5.62500e-01
P27986	P42229	24	5.62500e-01
P27986	Q07666	25	5.62500e-01
P04626	P35222	26	5.62500e-01
P35222	O14920	26	5.62500e-01
P04626	O00329	27	5.62500e-01
O00329	P40763	27	5.62500e-01
P04626	O00459	28	5.62500e-01
O00459	P40763	28	5.62500e-01
O00459	P42229	29	5.62500e-01
P04626	O15524	30	5.62500e-01
O15524	P40763	30	5.62500e-01
O15524	P42224	31	5.62500e-01
O15524	P42229	32	5.62500e-01
O15524	P51692	33	5.62500e-01
O15524	Q04206	34	5.62500e-01
P23458	P40763	35	5.62500e-01
P04626	P23458	35	5.62500e-01
P23458	P42224	36	5.62500e-01
P23458	P42229	37	5.62500e-01
P23458	P51692	38	5.62500e-01
P35222	Q09472	39	5.62500e-01
P04626	P40189	40	5.62500e-01
P40189	P40763	40	5.62500e-01
P40189	P42224	41	5.62500e-01
P04626	P42336	42	5.62500e-01
P42336	P40763	42	5.62500e-01
P04626	P42338	43	5.62500e-01
P42338	P40763	43	5.62500e-01
P04626	P46108	44	5.62500e-01
P46108	P08047	44	5.62500e-01
P46108	P42229	45	5.62500e-01
P46108	P51692	46	5.62500e-01
P04626	P46109	47	5.62500e-01
P46109	P42229	47	5.62500e-01
P46109	P51692	48	5.62500e-01
P04626	P46940	49	5.62500e-01
P46940	O14920	49	5.62500e-01
P04626	P48736	50	5.62500e-01
P48736	P40763	50	5.62500e-01
P04626	Q06124	51	5.62500e-01
Q06124	P40763	51	5.62500e-01
P19174	Q07666	52	5.62500e-01
P04626	P19174	52	5.62500e-01
P20936	Q07666	53	5.62500e-01
P04626	P20936	53	5.62500e-01
P04626	P62993	54	5.62500e-01
P62993	Q07666	54	5.62500e-01
Q06124	P42229	55	5.62500e-01
Q06124	P51692	56	5.62500e-01
Q13882	P51692	57	5.62500e-01
P04626	Q13882	57	5.62500e-01
Q13882	Q07666	58	5.62500e-01
P04626	Q15303	59	5.62500e-01
Q15303	P42229	59	5.62500e-01
Q15303	P51692	60	5.62500e-01
P04626	Q16665	61	5.62500e-01
Q16665	P08047	61	5.62500e-01
Q16665	Q09472	62	5.62500e-01
P04626	Q92569	63	5.62500e-01
Q92569	P40763	63	5.62500e-01
P04626	Q9NSE2	64	5.62500e-01
Q9NSE2	P40763	64	5.62500e-01
Q9NSE2	P42224	65	5.62500e-01
Q9NSE2	P42229	66	5.62500e-01
Q9NSE2	P51692	67	5.62500e-01
P18031	P03372	68	5.62500e-01
P08069	P18031	68	5.62500e-01
P18031	P40763	69	5.62500e-01
P18031	P42229	70	5.62500e-01
P18031	P51692	71	5.62500e-01
P27361	P03372	72	5.62500e-01
P08069	P27361	72	5.62500e-01
P27361	P40763	73	5.62500e-01
P27361	P42224	74	5.62500e-01
P27361	Q04206	75	5.62500e-01
P27361	Q12778	76	5.62500e-01
P08069	P27986	77	5.62500e-01
P08069	P28482	81	5.62500e-01
P28482	P03372	81	5.62500e-01
P28482	P40763	82	5.62500e-01
P28482	P42224	83	5.62500e-01
P28482	Q04206	84	5.62500e-01
P28482	Q12778	85	5.62500e-01
P08069	P31946	86	5.62500e-01
P31946	O14920	86	5.62500e-01
P08069	P35222	87	5.62500e-01
P08069	O00329	88	5.62500e-01
P08069	O00459	89	5.62500e-01
P08069	O14508	91	5.62500e-01
O14508	P40763	91	5.62500e-01
O14508	P42224	92	5.62500e-01
O14508	P42229	93	5.62500e-01
O14508	P51692	94	5.62500e-01
P08069	O14543	95	5.62500e-01
O14543	P40763	95	5.62500e-01
O14543	P42224	96	5.62500e-01
O14543	P42229	97	5.62500e-01
O14543	P51692	98	5.62500e-01
P16473	P40763	99	5.62500e-01
P08069	P16473	99	5.62500e-01
P08069	P42336	101	5.62500e-01
P08069	P42338	102	5.62500e-01
P08069	P46108	103	5.62500e-01
P08069	P48736	106	5.62500e-01
P08069	P63244	107	5.62500e-01
P63244	P40763	107	5.62500e-01
P63244	P42224	108	5.62500e-01
P63244	Q9Y6K9	109	5.62500e-01
P08069	Q06124	110	5.62500e-01
