negatives
"('P10144', 'P08670')"
"('P22681', 'O43561')"
"('P17661', 'O00422')"
"('P33151', 'P35222')"
"('O95685', 'Q96SB3')"
"('Q9Y4K3', 'P54819')"
"('Q8WZ42', 'P21796')"
"('P01730', 'P13765')"
"('P06401', 'P27986')"
"('Q8WYA6', 'P61978')"
"('Q9H8M9', 'P21246')"
"('P23508', 'Q9NPJ3')"
"('P42574', 'Q9Y243')"
"('P24821', 'P18084')"
"('Q15653', 'P23508')"
"('Q14289', 'Q00005')"
"('Q13370', 'P49716')"
"('Q13418', 'P06702')"
"('P43681', 'P67870')"
"('P25490', 'P08047')"
"('Q15843', 'Q13618')"
"('Q00005', 'P46778')"
"('O95352', 'Q9GZQ8')"
"('P05771', 'Q70SY1')"
"('Q9Y572', 'P05141')"
"('Q06710', 'P07202')"
"('P31785', 'P04632')"
"('Q8NFH5', 'O75694')"
"('Q9Y5K5', 'P20618')"
"('P52294', 'Q13255')"
"('Q9Y4P9', 'O96006')"
"('P26992', 'P00519')"
"('P38398', 'P23511')"
"('O95999', 'Q04206')"
"('Q5VTD9', 'P21675')"
"('Q9BUA6', 'P35580')"
"('P25788', 'P25786')"
"('P22090', 'P63220')"
"('Q92600', 'P50616')"
"('P32239', 'P16333')"
"('O95295', 'P55268')"
"('Q92759', 'P10275')"
"('P62136', 'Q5C9Z4')"
"('P01892', 'Q99706')"
"('P02775', 'Q16659')"
"('Q02878', 'P32969')"
"('P62837', 'Q15796')"
"('407004', 'P18075')"
"('P31946', 'Q9UK53')"
"('Q9Y4E5', 'Q13137')"
"('P02766', 'Q96FW1')"
"('P01889', 'Q15691')"
"('Q13573', 'P09132')"
"('Q96QB1', 'P63244')"
"('Q8NHB7', 'P38405')"
"('P46060', 'P30480')"
"('Q02790', 'P07900')"
"('Q8NBV4', 'P54259')"
"('O75438', 'P03905')"
"('P27348', 'P31947')"
"('P63104', 'P54868')"
"('P23246', 'Q15233')"
"('P81877', 'Q68E01')"
"('Q8TEW6', 'P04626')"
"('Q09472', '26765')"
"('Q9HBI1', 'P23229')"
"('Q5D1E8', 'Q92844')"
"('Q99459', 'Q9UPU5')"
"('Q9BRG2', 'Q99816')"
"('P52597', 'Q09161')"
"('Q9H9G7', 'Q15750')"
"('P00747', 'Q96RI0')"
"('P23508', 'O00487')"
"('Q9Y6D5', 'Q9NZ08')"
"('Q12933', 'P01375')"
"('Q99459', 'Q9H223')"
"('Q9P2D0', 'P63162')"
"('P11021', 'Q01201')"
"('Q13177', 'Q9H1R3')"
"('P04435', 'P04234')"
"('Q9NTX7', 'P36897')"
"('Q15428', 'Q15029')"
"('Q8WXG6', 'Q16849')"
"('P17612', 'P42262')"
"('Q14692', 'P16220')"
"('P08631', 'Q92608')"
"('P34947', 'P07550')"
"('Q86Z02', 'P15104')"
"('Q8NB91', 'Q14469')"
"('P24928', 'P52597')"
"('P25789', 'P0CG47')"
"('P78368', 'Q9Y5P4')"
"('P08670', 'P16220')"
"('P29350', 'Q8IU57')"
"('P53396', 'O75815')"
"('O15144', 'Q8WYL5')"
"('Q9UNX3', 'P46778')"
"('Q04743', 'P98175')"
"('Q15323', 'Q9NYV4')"
"('P30085', 'Q15714')"
"('P84022', 'Q13445')"
"('406906', 'P47224')"
"('P00403', 'Q07890')"
"('Q9ULV8', 'P38484')"
"('P19438', 'P18859')"
"('O75956', 'Q14703')"
"('P00519', 'Q92664')"
"('Q14525', 'Q00005')"
"('P10275', 'Q9BW04')"
"('P09497', 'Q9NZN4')"
"('Q92997', 'P19784')"
"('P49639', 'Q9BQ66')"
"('P07197', 'P41219')"
"('A6NIT4', 'Q8IU57')"
"('O75147', 'A7MCY6')"
"('P08865', 'P16871')"
"('Q9BUV8', 'Q9UNF1')"
"('Q05397', 'P49321')"
"('P02647', 'P10909')"
"('P16333', 'Q96GP6')"
"('P17535', 'P01100')"
"('P45983', 'Q9Y5K3')"
"('Q9BT22', 'P06401')"
"('P21554', 'P62879')"
"('O75626', 'P25791')"
"('O95251', 'Q9C0J8')"
"('Q5T3J3', 'P55769')"
"('P52735', 'Q8NC51')"
"('P09651', 'Q9Y3C6')"
"('P67775', 'Q66LE6')"
"('Q01094', 'Q9UBU7')"
"('O15162', 'Q9BTL3')"
"('Q9Y4H2', 'P48736')"
"('P01375', 'Q15628')"
"('Q9P0U4', 'Q6DRA6')"
"('Q07889', 'P46108')"
"('Q15653', 'P15924')"
"('P19388', 'Q9GZS3')"
"('Q96SB4', 'Q13242')"
"('O43677', 'O75251')"
"('Q10570', 'P06748')"
"('Q9GZX6', 'Q6UXL0')"
"('Q8N2W9', 'Q8TAD8')"
"('P07585', 'P05019')"
"('Q92667', 'P13861')"
"('P09936', 'P0CG48')"
"('Q9BZL6', 'O14936')"
"('Q16630', 'O60925')"
"('P40425', 'O95163')"
"('P04626', 'Q8WV28')"
"('Q9ULV8', 'P22607')"
"('P62330', 'Q13148')"
"('P49841', 'P61968')"
"('P30504', 'P61289')"
"('O15155', 'Q13190')"
"('Q9Y3T9', 'Q9Y5V3')"
"('P01258', 'Q8NFJ9')"
"('P31153', 'O00422')"
"('Q13535', 'Q9NRN7')"
"('Q9UHD2', 'Q9UKV8')"
"('P20073', 'Q5TA45')"
"('P10914', 'P02778')"
"('Q92997', 'Q01974')"
"('Q8NF50', 'O00212')"
"('P17980', 'P54253')"
"('B2RTY4', '145781')"
"('P08754', 'P42338')"
"('P16333', 'Q7Z408')"
"('Q9BSF0', 'P10644')"
"('Q13554', 'Q13370')"
"('P40337', 'P31939')"
"('P62847', 'P35544')"
"('P15104', 'P30480')"
"('406883', 'P01111')"
"('Q8TCJ2', 'Q86WV6')"
"('P08567', 'Q14642')"
"('Q9UD71', 'P31749')"
"('P24928', 'P19388')"
"('Q04206', 'P14780')"
"('Q00403', 'P09012')"
"('Q9BTP7', 'Q9NPD8')"
"('Q6STE5', 'O94805')"
"('P31751', 'O00221')"
"('O15504', 'O14980')"
"('P52434', 'A0JLT2')"
"('P22301', 'Q9HC73')"
"('P42224', 'Q9UL17')"
"('P03923', 'O75438')"
"('Q13098', 'Q9BT78')"
"('O15379', 'Q5QNW6')"
"('Q99418', 'P49407')"
"('Q9UK08', 'Q8WYR1')"
"('Q13535', 'P27707')"
"('Q16531', 'P04637')"
"('P56545', 'O43623')"
"('Q15796', 'P49841')"
"('P05019', 'Q9Y5S1')"
"('Q06323', 'P18206')"
"('O15511', 'P61160')"
"('P62937', 'P05067')"
