#tail	head	KSP index	path cost
Q14332	P35222	1	7.50000e-01
O00144	P35222	2	7.50000e-01
O75084	P35222	3	7.50000e-01
O75581	P98082	4	7.50000e-01
Q13467	P35222	5	7.50000e-01
Q9H461	P35222	6	7.50000e-01
Q9NPG1	P35222	7	7.50000e-01
Q9ULW2	P35222	8	7.50000e-01
Q9UP38	P35222	9	7.50000e-01
O00144	O14640	10	5.62500e-01
O14640	P25054	10	5.62500e-01
O14640	Q15797	11	5.62500e-01
O00144	O14641	12	5.62500e-01
O14641	P25054	12	5.62500e-01
O00144	Q92997	13	5.62500e-01
Q92997	P98082	13	5.62500e-01
O75084	O14640	14	5.62500e-01
O75084	O14641	16	5.62500e-01
O75084	Q92997	17	5.62500e-01
O75197	O15169	18	5.62500e-01
O15169	P25054	18	5.62500e-01
O15169	P35222	19	5.62500e-01
O75197	P19022	20	5.62500e-01
P19022	P35222	20	5.62500e-01
O75581	O15169	21	5.62500e-01
O75581	P19022	23	5.62500e-01
P13569	P98082	24	5.62500e-01
P34925	P13569	24	5.62500e-01
Q13467	O14640	25	5.62500e-01
Q13467	O14641	27	5.62500e-01
Q13467	Q92997	28	5.62500e-01
Q14332	O14640	29	5.62500e-01
Q14332	O14641	31	5.62500e-01
Q14332	Q92997	32	5.62500e-01
Q9H461	O14640	33	5.62500e-01
Q9H461	O14641	35	5.62500e-01
Q9H461	Q92997	36	5.62500e-01
Q9NPG1	O14640	37	5.62500e-01
Q9NPG1	O14641	39	5.62500e-01
Q9NPG1	Q92997	40	5.62500e-01
Q9ULW2	O14640	41	5.62500e-01
Q9ULW2	O14641	43	5.62500e-01
Q9ULW2	Q92997	44	5.62500e-01
Q9UP38	O14640	45	5.62500e-01
Q9UP38	O14641	47	5.62500e-01
Q9UP38	Q92997	48	5.62500e-01
O15105	P15884	49	4.21875e-01
O14640	O15105	49	4.21875e-01
O15105	P35222	50	4.21875e-01
O15105	Q15797	51	4.21875e-01
O15105	Q9UJU2	52	4.21875e-01
O14640	O15169	53	4.21875e-01
P31749	P35222	55	4.21875e-01
O14640	P31749	55	4.21875e-01
P49674	P25054	56	4.21875e-01
O14640	P49674	56	4.21875e-01
P49841	P25054	57	4.21875e-01
O14640	P49841	57	4.21875e-01
P49841	P35222	58	4.21875e-01
P49841	Q13469	59	4.21875e-01
P67870	P35222	60	4.21875e-01
O14640	P67870	60	4.21875e-01
O14640	P68400	61	4.21875e-01
P68400	P35222	61	4.21875e-01
O14640	P84022	62	4.21875e-01
P84022	P35222	62	4.21875e-01
P84022	P98082	63	4.21875e-01
P84022	Q15797	64	4.21875e-01
P84022	Q9UJU2	65	4.21875e-01
O14640	Q13485	66	4.21875e-01
Q13485	P35222	66	4.21875e-01
Q13485	Q15797	67	4.21875e-01
Q13485	Q9UJU2	68	4.21875e-01
O14640	Q15796	69	4.21875e-01
Q15796	P35222	69	4.21875e-01
P46531	Q15797	70	4.21875e-01
O14640	P46531	70	4.21875e-01
P46531	Q9UJU2	71	4.21875e-01
Q15796	P98082	72	4.21875e-01
Q15796	Q15797	73	4.21875e-01
Q15796	Q9UJU2	74	4.21875e-01
O14641	O15169	75	4.21875e-01
O14641	P17252	77	4.21875e-01
P17252	P35222	77	4.21875e-01
O14641	P49841	78	4.21875e-01
O00144	P09471	81	4.21875e-01
P09471	O14640	81	4.21875e-01
P09471	O14641	83	4.21875e-01
P09471	P27361	84	4.21875e-01
P27361	P15923	84	4.21875e-01
P27361	Q15797	85	4.21875e-01
P09471	P28482	86	4.21875e-01
P28482	P15923	86	4.21875e-01
P09471	P12931	87	4.21875e-01
P12931	P35222	87	4.21875e-01
P28482	Q15797	88	4.21875e-01
P09471	P42336	89	4.21875e-01
P42336	P35222	89	4.21875e-01
P09471	P27986	90	4.21875e-01
P27986	P98082	90	4.21875e-01
P09471	Q92997	91	4.21875e-01
O00144	P50148	92	4.21875e-01
P50148	O14640	92	4.21875e-01
P50148	O14641	94	4.21875e-01
P50148	Q92997	95	4.21875e-01
Q92997	O15169	96	4.21875e-01
Q92997	P49841	98	4.21875e-01
O75084	P09471	133	4.21875e-01
O75084	P50148	144	4.21875e-01
O75084	Q9NRR5	153	4.21875e-01
Q9NRR5	Q06455	153	4.21875e-01
Q06455	P15884	153	4.21875e-01
Q06455	P15923	154	4.21875e-01
Q13526	P35222	155	4.21875e-01
Q9NRR5	Q13526	155	4.21875e-01
O15169	O15105	156	4.21875e-01
O15169	O14640	157	4.21875e-01
O15169	O14641	159	4.21875e-01
O15169	O95996	163	4.21875e-01
O95996	P35222	163	4.21875e-01
O15169	P19022	164	4.21875e-01
O15169	P31749	165	4.21875e-01
O15169	P48729	166	4.21875e-01
P48729	P35222	166	4.21875e-01
P48729	Q13469	167	4.21875e-01
O15169	P49674	168	4.21875e-01
O15169	P49841	169	4.21875e-01
O15169	P84022	172	4.21875e-01
O15169	P36897	173	4.21875e-01
P36897	P98082	173	4.21875e-01
O15169	Q15796	177	4.21875e-01
O15169	Q92997	181	4.21875e-01
O15169	Q9Y297	182	4.21875e-01
Q9Y297	P25054	182	4.21875e-01
Q9Y297	P35222	183	4.21875e-01
P19022	O15169	184	4.21875e-01
P19022	P14923	186	4.21875e-01
P14923	P25054	186	4.21875e-01
P08575	P35222	187	4.21875e-01
P19022	P08575	187	4.21875e-01
P14923	P35222	188	4.21875e-01
P14923	Q9NQB0	189	4.21875e-01
P14923	Q9UJU2	190	4.21875e-01
P18031	P35222	191	4.21875e-01
P19022	P18031	191	4.21875e-01
P23467	P35222	192	4.21875e-01
P19022	P23467	192	4.21875e-01
P23470	P35222	193	4.21875e-01
P19022	P23470	193	4.21875e-01
Q05209	P35222	194	4.21875e-01
P19022	Q05209	194	4.21875e-01
Q12913	P35222	195	4.21875e-01
P19022	Q12913	195	4.21875e-01
P19022	Q16620	196	4.21875e-01
Q16620	P35222	196	4.21875e-01
Q16827	P35222	197	4.21875e-01
P19022	Q16827	197	4.21875e-01
O75197	Q92837	198	4.21875e-01
Q92837	O14640	198	4.21875e-01
Q92837	O15169	200	4.21875e-01
Q92837	P49841	202	4.21875e-01
Q92837	Q92997	205	4.21875e-01
O75581	Q9Y4X0	248	4.21875e-01
Q9Y4X0	P49841	248	4.21875e-01
Q9Y2T1	P25054	251	4.21875e-01
Q9Y4X0	Q9Y2T1	251	4.21875e-01
Q9Y2T1	P35222	252	4.21875e-01
P04628	O60353	253	4.21875e-01
O60353	P35222	253	4.21875e-01
P34925	P04628	253	4.21875e-01
P04628	Q9ULV1	254	4.21875e-01
Q9ULV1	P35222	254	4.21875e-01
P13569	O14745	255	4.21875e-01
O14745	P35222	255	4.21875e-01
P13569	P12830	256	4.21875e-01
P12830	P35222	256	4.21875e-01
P13569	P50402	257	4.21875e-01
P50402	P35222	257	4.21875e-01
P34925	P56704	258	4.21875e-01
P56704	O60353	258	4.21875e-01
P56704	Q9ULV1	259	4.21875e-01
Q01973	P41221	260	4.21875e-01
P41221	O60353	260	4.21875e-01
P41221	Q9ULV1	261	4.21875e-01
Q01973	P56703	262	4.21875e-01
P56703	O60353	262	4.21875e-01
P56703	Q9ULV1	263	4.21875e-01
Q01974	O00755	264	4.21875e-01
O00755	O60353	264	4.21875e-01
O00755	Q9ULV1	265	4.21875e-01
Q01974	P04628	266	4.21875e-01
Q01974	P09544	268	4.21875e-01
P09544	O60353	268	4.21875e-01
P09544	Q9ULV1	269	4.21875e-01
Q01974	P31946	270	4.21875e-01
P31946	O14920	270	4.21875e-01
O14920	P35222	270	4.21875e-01
P31946	P00519	271	4.21875e-01
P00519	P35222	271	4.21875e-01
P08069	P35222	272	4.21875e-01
P31946	P08069	272	4.21875e-01
P31946	P22681	273	4.21875e-01
P22681	P35222	273	4.21875e-01
P31946	P68400	274	4.21875e-01
P31946	P46937	275	4.21875e-01
P46937	Q15797	275	4.21875e-01
P31946	Q8TEW0	276	4.21875e-01
Q8TEW0	P35222	276	4.21875e-01
Q01974	P41221	277	4.21875e-01
Q01974	P56703	279	4.21875e-01
Q01974	P56704	281	4.21875e-01
Q01974	P56705	283	4.21875e-01
P56705	O60353	283	4.21875e-01
P56705	Q9ULV1	284	4.21875e-01
Q01974	Q9H1J7	285	4.21875e-01
Q9H1J7	O60353	285	4.21875e-01
Q9H1J7	Q9ULV1	286	4.21875e-01
Q01974	Q9Y6F9	287	4.21875e-01
Q9Y6F9	O60353	287	4.21875e-01
Q9Y6F9	Q9ULV1	288	4.21875e-01
Q07954	O00213	289	4.21875e-01
P00533	P35222	289	4.21875e-01
O00213	P00533	289	4.21875e-01
P04626	P35222	290	4.21875e-01
O00213	P04626	290	4.21875e-01
Q07954	P61981	291	4.21875e-01
P61981	P31947	291	4.21875e-01
P31947	P25054	291	4.21875e-01
P61981	P00519	292	4.21875e-01
P61981	P08069	293	4.21875e-01
P61981	P27986	294	4.21875e-01
P61981	P46937	295	4.21875e-01
P61981	Q8TEW0	296	4.21875e-01
P61981	Q92597	297	4.21875e-01
Q92597	P35222	297	4.21875e-01
P61981	Q9H307	298	4.21875e-01
Q9H307	Q13363	298	4.21875e-01
Q13467	P09471	331	4.21875e-01
Q13467	P50148	342	4.21875e-01
Q14332	P09471	383	4.21875e-01
Q14332	P50148	394	4.21875e-01
Q9H461	P09471	435	4.21875e-01
Q9H461	P50148	446	4.21875e-01
Q9NPG1	P09471	487	4.21875e-01
Q9NPG1	P50148	498	4.21875e-01
Q9ULW2	P09471	539	4.21875e-01
Q9ULW2	P50148	550	4.21875e-01
Q9UP38	P09471	591	4.21875e-01
Q9UP38	P50148	602	4.21875e-01
Q01974	O43318	611	4.07348e-01
O43318	P98082	611	4.07348e-01
Q04721	Q15797	612	4.03483e-01
O14640	Q04721	612	4.03483e-01
O75084	Q9UMX0	614	4.03483e-01
Q9UMX0	P49768	614	4.03483e-01
P49768	P35222	614	4.03483e-01
P55036	P15923	615	4.03483e-01
Q9UMX0	P55036	615	4.03483e-01
O75197	O15198	616	4.03483e-01
O15198	Q13485	616	4.03483e-01
O75581	P58335	619	4.03483e-01
P58335	Q15796	619	4.03483e-01
Q07954	P12757	623	4.03483e-01
P12757	P84022	623	4.03483e-01
P12757	O43318	624	4.03483e-01
Q09472	P15884	628	4.03483e-01
P12757	Q09472	628	4.03483e-01
Q09472	P35222	629	4.03483e-01
Q09472	P37231	630	4.03483e-01
Q09472	Q15797	631	4.03483e-01
Q09472	Q9NQB0	632	4.03483e-01
P12757	Q13485	633	4.03483e-01
P12757	Q15796	636	4.03483e-01
Q9HAU4	Q15797	640	4.03483e-01
P12757	Q9HAU4	640	4.03483e-01
P61981	Q12778	641	4.03483e-01
Q12778	P35222	641	4.03483e-01
O75533	Q15797	642	4.03483e-01
P61981	O75533	642	4.03483e-01
P61981	P08670	649	3.97433e-01
P08670	Q13469	649	3.97433e-01
Q96KM6	Q15797	650	3.85893e-01
Q92997	Q96KM6	650	3.85893e-01
O00144	Q99750	651	3.85893e-01
