#tail	head	KSP index
SRC	P34998	1
SRC	Q13324	2
P34998	O95467	3
P34998	P32121	4
P34998	P04899	5
P34998	P09471	6
P34998	P29992	7
P34998	P35626	8
P34998	P63096	9
P34998	P43250	10
Q13324	P06850	11
P06850	Q13324	12
P06850	P24387	13
P06850	P34998	14
P24387	P06850	15
P32121	P34998	16
P29992	P34998	17
P35626	P34998	18
P35626	P62879	19
P35626	P62873	20
P35626	O14775	21
P35626	P16520	22
P43250	P34998	23
P62879	P16520	24
P62879	P35626	25
P62879	P62873	26
P62879	O14775	27
P62873	P62879	28
P62873	P16520	29
P62873	O14775	30
P62873	P35626	31
O14775	P62879	32
O14775	P62873	33
O14775	P16520	34
O14775	P35626	35
P16520	P62879	36
P16520	O14775	37
P16520	P35626	38
P16520	P62873	39
