#tail	head	KSP index
SRC	P32927	1
SRC	Q01344	2
P32927	P08631	3
P32927	P05771	4
P32927	P07948	5
P32927	Q06124	6
P32927	P43405	7
P32927	P50570	8
P32927	P23458	9
P32927	Q01344	10
P32927	P63104	11
P32927	P63244	12
P32927	O60674	13
Q01344	P23458	14
Q01344	O60674	15
Q01344	Q13432	16
Q01344	P32927	17
Q01344	O00560	18
Q01344	P50570	19
Q01344	Q06945	20
Q01344	P07948	21
O60674	P50570	22
Q13432	Q01344	23
Q13432	P07948	24
O00560	Q06945	25
O00560	Q01344	26
P50570	P07948	27
P50570	Q01344	28
P50570	P32927	29
P50570	O60674	30
Q06945	O00560	31
Q06945	Q01344	32
Q06945	SNK	33
P07948	P43405	34
P07948	Q01344	35
P07948	P32927	36
P07948	P50570	37
P07948	Q13432	38
P43405	P32927	39
P08631	P32927	40
P05771	P32927	41
Q06124	P62993	42
Q06124	P32927	43
P63104	P32927	44
P63244	P32927	45
P62993	Q06124	46
P62993	P29353	47
P62993	Q07889	48
P29353	P62993	49
Q07889	P62993	50
