#tail	head	KSP index
SRC	P05556	1
SRC	P05106	2
SRC	P34741	3
SRC	P36897	4
SRC	P37173	5
P05556	P37173	6
P05106	P37173	7
P34741	P01137	8
P34741	Q03167	9
P36897	Q96JC1	10
P36897	Q9Y4K3	11
P36897	O75807	12
P36897	P63010	13
P36897	Q03167	14
P36897	P63151	15
P36897	Q9NPB6	16
P36897	P17813	17
P36897	Q12931	18
P36897	Q9H0M0	19
P36897	Q7Z3T8	20
P36897	P16070	21
P36897	P49354	22
P36897	P27986	23
P36897	Q03135	24
P36897	P84022	25
P36897	P29353	26
P36897	P37173	27
P36897	P30153	28
P36897	P62942	29
P36897	O00459	30
P36897	O15105	31
P36897	P98082	32
P36897	P57059	33
P36897	P36873	34
P36897	O43541	35
P36897	Q15796	36
P36897	Q9Y3F4	37
P36897	Q9UNH7	38
P36897	O95405	39
P36897	Q13347	40
P36897	O15169	41
P37173	Q96JC1	42
P37173	Q9Y4K3	43
P37173	P05556	44
P37173	P36897	45
P37173	O95405	46
P37173	P05106	47
P37173	P09486	48
P37173	Q9HAU4	49
P37173	P29353	50
P37173	Q15796	51
P37173	P63010	52
P37173	Q03167	53
P37173	P37023	54
P37173	Q9UNH7	55
P37173	P30153	56
P37173	Q13347	57
P37173	Q9UER7	58
P37173	P27986	59
P37173	Q12931	60
P37173	P35222	61
P37173	Q8TF09	62
P37173	Q9NPB6	63
P37173	O00459	64
P37173	O15105	65
P37173	Q9HCE7	66
P37173	P17813	67
P37173	Q9Y3F4	68
P37173	P06493	69
P37173	Q9H0M0	70
P37173	P98082	71
P37173	O95067	72
P37173	Q9NP97	73
P37173	P28340	74
Q96JC1	Q13485	75
Q96JC1	P36897	76
Q96JC1	P37173	77
Q9Y4K3	P36897	78
Q9Y4K3	O43318	79
Q9Y4K3	P37173	80
O95405	P36897	81
O95405	P29590	82
O95405	Q15796	83
O95405	P37173	84
O95405	O14964	85
O95405	P84022	86
P09486	P37173	87
Q9HAU4	O15105	88
Q9HAU4	Q9H0M0	89
Q9HAU4	P12757	90
Q9HAU4	Q9HCE7	91
Q9HAU4	P36897	92
Q9HAU4	P37173	93
Q9HAU4	Q15796	94
Q9HAU4	SNK	95
P29353	P62993	96
P29353	P36897	97
P29353	P37173	98
P29353	Q07889	99
Q15796	Q9HAU4	100
Q15796	Q13042	101
Q15796	Q9UJU2	102
Q15796	Q8N6I1	103
Q15796	O15530	104
Q15796	Q96FJ0	105
Q15796	Q9H0M0	106
Q15796	O75593	107
Q15796	P29590	108
Q15796	P03372	109
Q15796	P49790	110
Q15796	P12755	111
Q15796	P12757	112
Q15796	Q8TEW0	113
Q15796	P35813	114
Q15796	P48436	115
Q15796	Q92831	116
