negatives
"('Q14161', 'Q14155')"
"('P24666', 'P40337')"
"('P26447', 'P15514')"
"('P33993', 'Q9Y4K3')"
"('P04637', 'P13693')"
"('Q03164', 'P51825')"
"('P05000', 'P19235')"
"('P02766', 'Q15109')"
"('P27348', 'P30291')"
"('Q9BZY9', 'P43355')"
"('O15131', 'P33316')"
"('Q13285', 'P58012')"
"('P04156', 'Q93070')"
"('Q14164', 'P29692')"
"('P08758', 'P35555')"
"('P12814', 'P09467')"
"('P01857', 'P49221')"
"('P49792', 'Q9Y4K3')"
"('Q13769', 'Q86V81')"
"('P10242', 'P14316')"
"('P67809', 'Q13151')"
"('O43524', 'O43521')"
"('O15173', 'Q14164')"
"('Q92561', 'Q96G25')"
"('P62140', 'Q9BXT2')"
"('Q9Y210', 'P20591')"
"('Q9NX14', 'O43674')"
"('Q99575', 'P78345')"
"('P14317', 'P60709')"
"('P01574', 'P26992')"
"('P84022', 'Q9C0E2')"
"('Q15018', 'Q9HAU4')"
"('Q16534', 'P05412')"
"('P40855', 'Q15796')"
"('P63000', 'Q01968')"
"('Q14527', 'O75554')"
"('P11362', 'P21860')"
"('P62837', 'Q86UD3')"
"('Q9P2M7', 'Q9UKX2')"
"('P46783', 'P35080')"
"('P20333', 'Q15645')"
"('P61158', 'Q9BPX5')"
"('Q6P2C8', 'P19387')"
"('Q96T58', 'Q92769')"
"('Q15466', 'Q92731')"
"('Q12933', 'P27695')"
"('Q13956', 'P18545')"
"('Q99584', 'P18206')"
"('P08253', 'P08123')"
"('Q14517', 'Q8N8S7')"
"('Q7L5N1', 'O75569')"
"('P62807', 'Q9BY41')"
"('O14976', 'Q9BXS5')"
"('P33981', 'O95359')"
"('P52272', 'P01889')"
"('P18146', 'Q9UGC6')"
"('P28360', 'P08047')"
"('O00626', 'P32248')"
"('P46108', 'Q9UJV9')"
"('P28562', 'Q9NVI1')"
"('P62837', 'Q13233')"
"('Q8TCW9', 'Q96EZ8')"
"('P18084', 'O96013')"
"('O75643', 'P61981')"
"('Q00169', 'P67870')"
"('P01137', 'Q12841')"
"('P26992', 'P29597')"
"('Q7Z7M8', 'Q92796')"
"('P67809', 'P60709')"
"('Q6P2Q9', 'P14678')"
"('P52735', 'P50502')"
"('Q08209', 'P30260')"
"('Q02535', 'P19419')"
"('P25208', 'P02008')"
"('Q96N46', 'Q8N5F7')"
"('P16220', 'Q9NQ66')"
"('Q96D71', 'Q00613')"
"('Q9UPY3', 'Q7Z3Z4')"
"('P14921', 'Q02548')"
"('Q16637', 'Q15910')"
"('O14730', 'P62158')"
"('Q15910', 'Q9P0M6')"
"('P84022', 'O00231')"
"('Q01081', 'Q86V81')"
"('Q02543', 'P62829')"
"('Q9NRR5', 'O95994')"
"('P46531', 'Q86Y01')"
"('P84098', 'Q9UNX3')"
"('Q14451', 'P62879')"
"('Q01814', 'P29474')"
"('P56192', 'P01889')"
"('Q9P2K3', 'Q8NHQ1')"
"('P05198', 'O75822')"
"('P51681', 'Q15811')"
"('Q05397', 'P98161')"
"('P67870', 'P01106')"
"('Q99558', 'P62266')"
"('P62750', 'P46778')"
"('P62979', 'Q93008')"
"('P61224', 'Q13009')"
"('Q14CS0', 'Q15078')"
"('P42336', 'P49841')"
"('P30291', 'P07900')"
"('406894', 'Q07820')"
"('Q9UBN6', 'P52272')"
"('Q8IU60', 'Q92900')"
"('P56545', 'Q99594')"
"('P12111', 'Q05397')"
"('P29459', 'P26951')"
"('Q92692', 'Q15223')"
"('P07947', 'PI3KR1')"
"('Q14738', 'Q13522')"
"('406959', 'Q12778')"
"('P11021', 'Q76MJ5')"
"('O15259', 'Q9HBL0')"
"('Q99459', 'Q8IYB3')"
"('Q9NTK1', 'P04745')"
"('Q9UHV7', 'Q9BTT4')"
"('P56537', 'Q9UBQ5')"
"('Q9BVA1', 'Q96AH8')"
"('P61956', 'Q96JQ0')"
"('Q9NWB1', 'Q15025')"
