negatives
"('Q9NRY4', 'P41182')"
"('Q13573', 'Q13243')"
"('Q9H492', 'Q05513')"
"('Q92878', 'P33992')"
"('Q96EB6', 'O43463')"
"('B1A4H9', 'P15509')"
"('P18146', 'Q9Y2D8')"
"('Q9Y3U8', 'P46778')"
"('P62945', 'P84098')"
"('Q9H5J8', 'O95865')"
"('P27482', 'P06737')"
"('Q9UKE5', 'Q8IX03')"
"('P54577', 'Q14164')"
"('P54829', 'P53779')"
"('O43182', 'P84095')"
"('P35626', 'Q8NGD0')"
"('Q9HBM6', 'Q96BN2')"
"('P67870', 'P20042')"
"('Q07955', 'P51003')"
"('Q15013', 'Q5UIP0')"
"('Q02246', 'O43318')"
"('Q9UBT2', 'Q99497')"
"('Q16566', 'Q13370')"
"('P49841', 'P49715')"
"('O00468', 'Q5VTD9')"
"('Q13794', 'Q96IK5')"
"('Q9BRP4', 'P04183')"
"('Q6PJP8', 'Q12888')"
"('Q9H1C4', 'Q96N66')"
"('Q06587', 'Q13573')"
"('O43524', 'Q96RT1')"
"('P62891', 'P18077')"
"('Q96GM5', 'O94805')"
"('P62942', 'P11171')"
"('P31749', 'Q92922')"
"('Q9HCS4', 'Q9Y265')"
"('Q6R327', 'P49815')"
"('Q8NEU8', 'Q16576')"
"('Q14145', 'Q13618')"
"('P19838', 'P78527')"
"('P55884', 'O00571')"
"('Q9HC24', 'P20674')"
"('P51114', 'P32456')"
"('P07498', 'O14832')"
"('P62249', 'P40337')"
"('P23511', 'P09619')"
"('Q96RI1', 'P62993')"
"('Q92575', 'O75674')"
"('Q05086', 'Q92731')"
"('P11473', 'O43593')"
"('P42766', 'P62899')"
"('P41279', 'O14733')"
"('O96019', 'P16104')"
"('P58107', 'Q9UKW4')"
"('P51692', 'Q9HC77')"
"('O60504', 'O43281')"
"('Q9Y6F9', 'O75084')"
"('Q9UPT5', 'Q9H8T0')"
"('P35626', 'Q8NGS9')"
"('Q13127', 'P51532')"
"('P51003', 'Q16629')"
"('P27361', 'Q9UP65')"
"('O96000', 'O95178')"
"('P15529', 'Q9HD26')"
"('Q6Q0C0', 'O14933')"
"('P17980', 'Q99814')"
"('P15311', 'Q9UFF9')"
"('Q8N1F7', 'O15504')"
"('P78396', 'O15067')"
"('O43543', 'O75771')"
"('Q9UEW8', 'P02686')"
"('Q63ZY3', 'Q9Y3R0')"
"('Q13263', 'Q9C030')"
"('P00533', 'Q8TEW6')"
"('P49662', 'Q9NSA3')"
"('P12830', 'P37275')"
"('P10721', 'Q99962')"
"('Q96JC9', 'Q9NV56')"
"('Q86WV6', 'O95786')"
"('P01889', 'P31150')"
"('Q9Y295', 'Q9UET6')"
"('Q9NTK5', 'Q9H1I8')"
"('Q9HBW0', 'P50148')"
"('Q15651', 'P62993')"
"('Q15796', 'P35222')"
"('O43295', 'Q92730')"
"('P63098', 'Q9UJX5')"
"('Q99459', 'P60709')"
"('P35813', 'Q5FBB7')"
"('P00533', 'P55210')"
"('Q9Y265', 'O43586')"
"('Q9H7U1', 'Q9GZQ8')"
"('P49841', 'Q9P1Y5')"
"('Q9NRR4', '406955')"
"('Q9HCE1', 'Q9UHX1')"
