#tail	head	KSP index
SRC	P00533	1
SRC	P29323	2
SRC	P04626	3
SRC	P23229	4
SRC	P16144	5
SRC	P08581	6
SRC	Q04912	7
P00533	P31749	8
P00533	Q15149	9
P00533	P62993	10
P00533	P31947	11
P00533	Q13153	12
P00533	Q05397	13
P00533	P04626	14
P00533	P27348	15
P00533	P10275	16
P00533	P42338	17
P00533	P42336	18
P00533	P63104	19
P00533	P27986	20
P00533	P48736	21
P00533	P29353	22
P00533	P07947	23
P00533	P23229	24
P00533	P35568	25
P00533	P16144	26
P00533	O00459	27
P00533	O00329	28
P00533	Q06124	29
P00533	P17252	30
P00533	P12931	31
P00533	Q05655	32
P00533	P00519	33
P00533	Q92569	34
P00533	P62258	35
P00533	P42574	36
P29323	P00519	37
P29323	P16144	38
P04626	P48736	39
P04626	Q92569	40
P04626	P42338	41
P04626	P00533	42
P04626	P42336	43
P04626	P62993	44
P04626	P27986	45
P04626	Q13153	46
P04626	P23229	47
P04626	P35568	48
P04626	P29353	49
P04626	Q05397	50
P04626	P16144	51
P04626	Q96RT1	52
P04626	O00459	53
P04626	O00329	54
P04626	Q06124	55
P04626	P00519	56
P04626	P12931	57
P23229	Q16787	58
P23229	P07942	59
P23229	P55268	60
P23229	P00533	61
P23229	P25391	62
P23229	P24043	63
P23229	O95631	64
P23229	P48509	65
P23229	Q9UMD9	66
P23229	P16144	67
P23229	P12931	68
P23229	Q13753	69
P23229	P08865	70
P23229	Q13751	71
P23229	P11047	72
P23229	O15230	73
P23229	P04626	74
P23229	Q05397	75
P16144	P56537	76
P16144	P07947	77
P16144	P04626	78
P16144	Q15149	79
P16144	P23229	80
P16144	P00533	81
P16144	P62993	82
P16144	P31946	83
P16144	P29353	84
P16144	O95631	85
P16144	Q96RT1	86
P16144	P08581	87
P16144	Q9UMD9	88
P16144	P27348	89
P16144	P42338	90
P16144	P42336	91
P16144	Q03001	92
P16144	Q9UQC9	93
P16144	P12931	94
P16144	O00459	95
P16144	O00329	96
P16144	Q92569	97
P16144	P27986	98
P16144	P48736	99
P16144	Q06124	100
P16144	P08670	101
P16144	A8K7I4	102
P16144	P06241	103
P16144	Q05397	104
P08581	P35568	105
P08581	P62993	106
P08581	P48736	107
P08581	P29353	108
P08581	P16144	109
P08581	Q05397	110
P08581	O00329	111
P08581	P42338	112
P08581	P42336	113
P08581	Q92569	114
P08581	O00459	115
P08581	P63104	116
P08581	P27986	117
