negatives
"('P24530', 'P08754')"
"('P46778', 'Q9UQ80')"
"('O14980', 'Q99567')"
"('Q8N5U6', 'Q5UIP0')"
"('406986', 'Q9H3D4')"
"('P32121', 'Q8NGS1')"
"('P53350', 'P61968')"
"('P61513', 'Q9UKV8')"
"('P11047', 'P23229')"
"('P09913', 'P05783')"
"('P63104', 'P49674')"
"('P35442', 'P16671')"
"('Q14195', 'Q9NRI5')"
"('Q9Y2X8', 'Q9BV68')"
"('P35900', 'Q9Y2J4')"
"('Q13233', 'Q13748')"
"('Q01081', 'Q70Z53')"
"('Q9Y2J2', 'Q04917')"
"('P63279', 'P23497')"
"('P35637', 'P14866')"
"('P29459', 'P16471')"
"('P20073', 'Q96FN4')"
"('Q06190', 'Q13698')"
"('Q04864', 'P20749')"
"('P07910', 'P62258')"
"('Q14839', 'Q8IZH2')"
"('O14672', 'P05067')"
"('O15524', 'Q5VWK5')"
"('Q9NVV9', 'Q8TBK6')"
"('Q00839', 'O43390')"
"('P35625', 'Q13444')"
"('Q86T03', 'Q14919')"
"('Q96QK8', 'Q9Y4Z0')"
"('Q16254', 'Q8N682')"
"('P62906', 'Q02878')"
"('Q9Y5W5', 'P41221')"
"('Q96EQ8', 'P61077')"
"('Q15303', 'P07585')"
"('P62330', 'P55786')"
"('Q13490', 'P15170')"
"('P37802', 'Q96BK5')"
"('P25774', 'P14316')"
"('P19525', 'P60953')"
"('P02766', 'Q12873')"
"('Q9NP97', 'O14576')"
"('P46937', 'P18146')"
"('P37173', 'Q9HCE7')"
"('P35520', 'Q9Y5P4')"
"('Q14188', 'Q13547')"
"('O14832', 'Q9UNS2')"
"('O95402', 'Q9P086')"
"('Q9BY41', 'Q99879')"
"('O60262', 'Q13698')"
"('P35749', 'Q9BQ83')"
"('Q9GZY0', 'Q9H1J1')"
"('O60739', 'Q9UHV9')"
"('O15198', 'P51825')"
"('Q9ULV8', 'P35968')"
"('P40337', 'P20930')"
"('P43487', 'P20823')"
"('O95433', 'Q9H5I1')"
"('Q9P286', 'Q9H1R3')"
"('P54257', 'Q14055')"
"('Q96CS2', 'Q9H6D7')"
"('P35626', 'Q8NGX5')"
"('P53618', 'O14649')"
"('O60739', 'Q9Y3U8')"
"('Q96DU9', 'Q14201')"
