#tail	head	KSP index
SRC	Q9BWV1	1
SRC	Q4KMG0	2
SRC	Q13635	3
SRC	Q9Y6C5	4
SRC	P34741	5
SRC	Q99835	6
Q9BWV1	Q15465	7
Q4KMG0	Q15465	8
Q13635	Q99835	9
Q13635	P25098	10
Q9Y6C5	Q15465	11
Q9Y6C5	Q14623	12
Q9Y6C5	O43323	13
Q9Y6C5	Q99835	14
P34741	Q15465	15
Q99835	Q15465	16
Q99835	P32121	17
Q99835	Q9UMX1	18
Q99835	Q13635	19
Q99835	Q9Y6C5	20
Q99835	Q9NRP7	21
Q15465	P34741	22
Q15465	Q9BWV1	23
Q15465	Q13635	24
Q15465	Q9Y6C5	25
Q15465	Q99835	26
Q15465	Q4KMG0	27
P32121	P25098	28
P32121	Q99835	29
Q9UMX1	Q96ST3	30
Q9UMX1	O00422	31
Q9UMX1	P08151	32
Q9UMX1	P10071	33
Q9UMX1	Q9NRP7	34
Q9UMX1	P10070	35
Q9UMX1	SNK	36
Q9NRP7	Q9UMX1	37
Q9NRP7	P08151	38
Q9NRP7	P10070	39
Q9NRP7	P10071	40
P08151	Q96ST3	41
P08151	Q13635	42
P08151	Q9NRP7	43
P08151	P35222	44
P08151	P62258	45
P08151	O00422	46
P08151	Q9UMX1	47
P08151	SNK	48
P10070	Q2M1P5	49
P10070	P08151	50
P10070	Q9Y466	51
P10070	Q9UMX1	52
P10070	P62258	53
P10070	P12755	54
P10070	Q15797	55
P10070	Q9NRP7	56
P10070	SNK	57
P10071	Q9UMX1	58
P10071	Q93074	59
P10071	Q86VH2	60
P10071	O75586	61
P10071	Q2M1P5	62
P10071	Q9NRP7	63
P10071	Q15648	64
P10071	Q9ULK4	65
P10071	P62258	66
P10071	P12755	67
P10071	Q92793	68
P10071	P49336	69
P10071	SNK	70
Q93074	Q15648	71
Q93074	O75586	72
Q93074	P10071	73
Q93074	P49336	74
Q93074	Q9ULK4	75
Q93074	SNK	76
Q86VH2	Q2M1P5	77
Q86VH2	P10071	78
O75586	Q93074	79
O75586	Q15797	80
O75586	Q9ULK4	81
O75586	P10071	82
O75586	P49336	83
O75586	Q15648	84
O75586	SNK	85
Q2M1P5	P10070	86
Q2M1P5	P10071	87
Q2M1P5	Q86VH2	88
Q15648	Q93074	89
Q15648	O75586	90
Q15648	P49336	91
Q15648	Q9ULK4	92
Q15648	P10071	93
Q9ULK4	Q93074	94
Q9ULK4	O75586	95
Q9ULK4	P10071	96
Q9ULK4	Q15648	97
Q9ULK4	P49336	98
P62258	Q13627	99
P62258	P08151	100
P62258	P10070	101
P62258	P10071	102
P12755	P10071	103
P12755	P10070	104
P12755	Q96ST3	105
P12755	SNK	106
Q92793	P10071	107
Q92793	SNK	108
P49336	Q93074	109
P49336	Q15797	110
P49336	O75586	111
P49336	Q15648	112
P49336	Q9ULK4	113
P49336	P10071	114
Q15797	O75586	115
Q15797	Q9Y466	116
Q15797	P49336	117
Q15797	P10070	118
Q15797	SNK	119
Q9Y466	Q15797	120
Q9Y466	P10070	121
Q9Y466	SNK	122
Q96ST3	Q9UMX1	123
Q96ST3	P12755	124
Q96ST3	P08151	125
Q96ST3	O00422	126
Q96ST3	SNK	127
O00422	Q96ST3	128
O00422	P08151	129
O00422	Q9UMX1	130
O00422	SNK	131
P35222	Q92793	132
P35222	P08151	133
P35222	SNK	134
Q13627	P08151	135
Q13627	P62258	136
P25098	Q99835	137
P25098	P32121	138
P25098	Q13635	139
Q14623	Q13635	140
Q14623	Q9Y6C5	141
O43323	Q13635	142
O43323	Q9Y6C5	143
