#tail	head	KSP index
SRC	P32927	1
SRC	P26951	2
P32927	P42229	3
P32927	P31749	4
P32927	P08631	5
P32927	Q07812	6
P32927	P05771	7
P32927	P07948	8
P32927	Q06124	9
P32927	P51692	10
P32927	P07332	11
P32927	P29353	12
P32927	P26951	13
P32927	P43405	14
P32927	P30273	15
P32927	P23458	16
P32927	O00459	17
P32927	O00329	18
P32927	P63104	19
P32927	P27986	20
P32927	P63244	21
P32927	O60674	22
P32927	Q9NSE2	23
P32927	P06241	24
P26951	P23458	25
P26951	P62993	26
P26951	Q07812	27
P26951	O60674	28
P26951	P27986	29
P26951	P32927	30
P26951	O00459	31
P26951	P06241	32
P26951	O00329	33
P23458	P42229	34
P23458	P04049	35
P23458	P29353	36
P23458	P26951	37
P23458	P43405	38
P23458	P62993	39
P23458	P40763	40
P23458	P42680	41
P23458	P51692	42
P23458	O00459	43
P23458	O00329	44
P23458	P27986	45
P23458	Q92835	46
P23458	O60674	47
P23458	P07332	48
P23458	Q06124	49
P23458	O14543	50
P62993	Q13905	51
P62993	Q08209	52
P62993	P27986	53
P62993	Q92835	54
P62993	Q92934	55
P62993	Q13153	56
P62993	Q05193	57
P62993	P23458	58
P62993	Q02750	59
P62993	P27361	60
P62993	P15498	61
P62993	P43405	62
P62993	Q9UQC2	63
P62993	P63104	64
P62993	O60674	65
P62993	O00459	66
P62993	Q06124	67
P62993	P28482	68
P62993	P22681	69
P62993	P46108	70
P62993	P46109	71
P62993	P29353	72
P62993	P29350	73
P62993	P26951	74
P62993	Q07889	75
P62993	Q13480	76
P62993	P01112	77
P62993	P06241	78
Q07812	P31749	79
Q07812	P27348	80
Q07812	Q07817	81
Q07812	Q92934	82
O60674	P42229	83
O60674	P42680	84
O60674	P51692	85
O60674	P29353	86
O60674	P26951	87
O60674	O00329	88
O60674	Q13153	89
O60674	Q07889	90
O60674	P40763	91
O60674	P23458	92
O60674	P67775	93
O60674	O00459	94
O60674	P06241	95
O60674	P27986	96
O60674	Q06124	97
O60674	P62993	98
P27986	P31749	99
P27986	P15498	100
P27986	P42680	101
P27986	O00459	102
P27986	Q05397	103
P27986	O00329	104
P27986	P42229	105
P27986	Q99704	106
P27986	P62993	107
P27986	P40763	108
P27986	Q13905	109
P27986	P63104	110
P27986	Q92835	111
P27986	Q05193	112
P27986	P19793	113
P27986	P07332	114
P27986	P29353	115
P27986	P29350	116
P27986	Q07889	117
P27986	Q13480	118
P27986	P45983	119
P27986	Q06124	120
P27986	Q9UQC2	121
P27986	P01112	122
O00459	P31749	123
O00459	P31946	124
O00459	Q05397	125
O00459	P42229	126
O00459	Q99704	127
O00459	P42680	128
O00459	P62993	129
O00459	P63104	130
O00459	P27986	131
O00459	Q92835	132
O00459	P07332	133
O00459	P29353	134
O00459	P29350	135
O00459	Q07889	136
O00459	Q13480	137
O00459	O00329	138
O00459	Q06124	139
O00459	P40763	140
O00459	Q9UQC2	141
O00459	P01112	142
P06241	P15498	143
P06241	P43405	144
P06241	Q9UQC2	145
P06241	P63244	146
P06241	P49023	147
P06241	Q99704	148
P06241	Q13905	149
P06241	P62993	150
P06241	P27986	151
P06241	Q06124	152
P06241	P07332	153
P06241	P29353	154
P06241	Q05397	155
P06241	Q07889	156
P06241	O00459	157
P06241	O00329	158
P06241	O60674	159
P06241	P04049	160
P06241	P40763	161
P06241	P12931	162
P06241	P30273	163
P06241	P26951	164
P06241	P32927	165
P06241	P01112	166
O00329	P31749	167
O00329	Q13480	168
O00329	Q05397	169
O00329	P40763	170
O00329	O00459	171
O00329	P27986	172
O00329	P63244	173
O00329	Q06124	174
O00329	Q9UQC2	175
P31749	P10415	176
P31749	O43521	177
P31749	O43524	178
P31749	P43405	179
P31749	P15976	180
P31749	Q9UQC2	181
P31749	P23769	182
P31749	P16220	183
P31749	P63104	184
P31749	Q92934	185
P31749	Q13153	186
P31749	P32927	187
P31749	P04049	188
P31749	Q07812	189
P31749	Q07817	190
P31749	P12931	191
Q13480	P49023	192
Q13480	P08575	193
Q13480	P62993	194
Q13480	P29353	195
Q13480	P27361	196
Q13480	P46109	197
Q13480	P46108	198
Q13480	P28482	199
Q13480	Q07889	200
Q13480	O00459	201
Q13480	O00329	202
Q13480	P27986	203
Q13480	Q06124	204
Q05397	P62993	205
Q05397	P43405	206
Q05397	P27361	207
Q05397	P49023	208
Q05397	P46109	209
Q05397	P46108	210
Q05397	P12931	211
Q05397	P27986	212
Q05397	Q13153	213
Q05397	P29353	214
Q05397	P28482	215
Q05397	O00459	216
Q05397	O00329	217
Q05397	O14508	218
Q05397	Q06124	219
Q05397	P06239	220
Q05397	P06241	221
P40763	P10415	222
P40763	O43524	223
P40763	P43405	224
P40763	P63244	225
P40763	P42229	226
P40763	P27986	227
P40763	Q06124	228
P40763	P07332	229
P40763	P29350	230
P40763	O00459	231
P40763	Q07817	232
P40763	P06239	233
P40763	P51692	234
P40763	SNK	235
P63244	P32927	236
P63244	O43521	237
P63244	P05771	238
P63244	P40763	239
P63244	P12931	240
P63244	P18206	241
P63244	O00329	242
P63244	P06241	243
Q06124	P15498	244
Q06124	P62993	245
Q06124	O00459	246
Q06124	Q05397	247
Q06124	O00329	248
Q06124	P42229	249
Q06124	P49023	250
Q06124	Q99704	251
Q06124	O14543	252
Q06124	P46109	253
Q06124	P27986	254
Q06124	Q92835	255
Q06124	P32927	256
Q06124	P51692	257
Q06124	P29353	258
Q06124	P28482	259
Q06124	Q07889	260
Q06124	Q9UKJ0	261
Q06124	P22681	262
Q06124	P27361	263
Q06124	P06239	264
Q06124	P40763	265
Q06124	P12931	266
Q06124	P06241	267
Q9UQC2	P31749	268
Q9UQC2	P27348	269
Q9UQC2	P62993	270
Q9UQC2	Q08209	271
Q9UQC2	P29353	272
Q9UQC2	P29350	273
Q9UQC2	P27361	274
Q9UQC2	P46109	275
Q9UQC2	O00329	276
Q9UQC2	P28482	277
Q9UQC2	P12931	278
Q9UQC2	O00459	279
Q9UQC2	P63104	280
Q9UQC2	P27986	281
Q9UQC2	Q06124	282
Q9UQC2	P31946	283
P27348	O43524	284
P27348	Q9UQC2	285
P27348	P63104	286
P27348	P04049	287
P27348	Q07812	288
P27348	P22681	289
P27348	Q92934	290
Q08209	P62993	291
Q08209	Q9UQC2	292
Q08209	P10415	293
Q08209	Q92934	294
P29353	O43524	295
P29353	P42680	296
P29353	P62993	297
P29353	O00459	298
P29353	Q9UQC2	299
P29353	Q99704	300
P29353	Q13905	301
P29353	P46109	302
P29353	P63104	303
P29353	P27986	304
P29353	Q92835	305
P29353	Q06124	306
P29353	P32927	307
P29353	Q07889	308
P29353	P12931	309
