negatives
"('P04181', 'P01889')"
"('406991', 'O43609')"
"('Q9UN37', 'Q7LBR1')"
"('Q15287', 'Q9NRR5')"
"('P04899', 'P63215')"
"('Q9Y2X7', 'Q9H7E9')"
"('P20333', 'P49411')"
"('Q15139', 'Q7KZI7')"
"('P42773', 'Q5RL73')"
"('O15264', 'P49321')"
"('O96013', 'Q9H1R3')"
"('Q02930', 'Q53ET0')"
"('O75197', 'Q9ULV1')"
"('P43405', 'Q14247')"
"('P80188', 'Q04206')"
"('O75586', 'Q99798')"
"('P46108', 'Q9Y3L3')"
"('O94776', 'Q13547')"
"('P16333', 'O43900')"
"('P32969', 'P16220')"
"('Q13315', 'Q01974')"
"('Q5T3J3', 'O14737')"
"('406979', 'P03372')"
"('O75643', 'P14678')"
"('P51617', 'Q8N2H9')"
"('Q9H7D0', 'P48643')"
"('Q8NHQ1', 'Q6P1J9')"
"('Q96D42', 'Q96H15')"
"('O15530', 'O14920')"
"('Q9Y5X1', 'Q9H204')"
"('O60603', 'P68371')"
"('P62258', 'P30307')"
"('P60953', 'P00395')"
"('P31785', 'P29597')"
"('P20809', 'P17535')"
"('P34931', 'O14727')"
"('Q03060', 'Q16649')"
"('P05067', 'P02647')"
"('P45985', 'Q9UM73')"
"('Q93074', 'Q9NPJ6')"
"('P62195', 'O60506')"
"('Q15323', 'Q16611')"
"('Q96MS0', 'Q9Y6N7')"
"('P50570', 'P15880')"
"('Q8NFP9', 'P00519')"
"('P49459', 'P62987')"
"('Q9P286', 'Q32MK0')"
"('P06241', 'P43121')"
"('P41143', 'P27824')"
"('P46459', 'Q9Y383')"
"('5512', 'Q13522')"
"('P43307', 'P30480')"
"('Q9H5V7', 'Q9UKT9')"
"('Q01081', 'Q15365')"
"('P01562', 'P26951')"
"('Q15796', 'Q9HCE7')"
"('O95433', 'P48023')"
"('Q14194', 'Q15102')"
"('P48047', 'O60739')"
"('O75400', 'Q9NYV4')"
"('P05412', 'P53779')"
"('P52434', 'Q15560')"
"('Q9BQI3', 'Q16236')"
"('Q01955', 'P06756')"
"('Q99836', 'P50990')"
"('Q13243', 'P52272')"
"('P46531', 'P0CG47')"
"('O75376', 'Q99459')"
"('P62993', 'O00254')"
"('P01116', 'P27986')"
"('O00308', 'P78563')"
"('P08579', 'Q96DI7')"
"('Q7L590', 'P42771')"
"('Q02978', 'P20333')"
"('P25490', 'O96019')"
"('P04637', 'Q9NQW6')"
"('P04899', 'P81274')"
"('Q13137', 'Q7Z3B3')"
"('P63279', 'Q13867')"
"('Q92844', 'P38646')"
"('Q13526', 'Q9Y4K3')"
"('P43364', 'Q15596')"
"('Q9Y2T4', 'P30153')"
"('Q14160', 'P23508')"
"('P24666', 'P11171')"
"('Q6STE5', 'O96019')"
"('P17301', 'Q13683')"
"('Q16659', 'P63261')"
"('P31749', 'P55211')"
"('Q9UGI9', 'O00763')"
"('O75914', 'P04049')"
"('Q05516', 'P54274')"
"('Q16587', 'Q13263')"
"('P11388', 'O14980')"
"('Q05516', 'P10276')"
"('O75937', 'P01243')"
"('Q08170', 'P07910')"
"('Q08050', 'P22680')"
"('P46379', 'O43765')"
"('P35241', 'P08567')"
"('P62745', 'Q13829')"
"('Q8IXL6', 'Q9H5J8')"
"('Q9Y478', 'Q9UHI6')"
"('Q6AZZ1', 'Q5VVX9')"
"('P01106', 'P62979')"
"('P15692', 'P07333')"
"('Q14204', 'P49642')"
"('O75015', 'Q8NHJ6')"
"('P48556', 'Q99460')"
"('Q00653', 'P61247')"
"('O75528', 'Q9Y4A5')"
"('Q99759', 'Q8IZP2')"
"('Q92841', 'P12004')"
"('Q9P0J0', 'P03923')"
"('P50150', 'Q00975')"
"('Q96S55', 'P51784')"
"('P32121', 'Q8NGG4')"
"('Q13501', 'P27361')"
"('Q93008', 'O60285')"
"('Q13233', 'P62263')"
"('Q9BZK3', 'P01889')"
"('P08579', 'Q15287')"
"('P51452', 'P23508')"
"('P51681', 'Q13625')"
"('Q15311', 'P60953')"
"('Q13535', 'P49366')"
"('P15918', 'O95433')"
"('Q9UN37', 'Q96CF2')"
"('Q9UDY8', 'P19838')"
"('P11474', 'Q15466')"
"('P08238', 'O00170')"
"('P55157', 'O15320')"
"('P25024', 'Q14847')"
"('Q00653', 'P62913')"
"('P35354', 'Q13616')"
"('Q05513', 'Q13164')"
"('P49756', 'Q15428')"
"('P01569', 'P52333')"
"('Q16581', 'Q13424')"
"('Q14692', 'P16220')"
"('O76093', 'P22455')"
"('Q13435', 'Q70Z53')"
"('P0C5Z0', 'P62807')"
"('Q9HBW0', 'P13569')"
"('Q9Y5Z4', 'O75340')"
"('O43929', 'P33993')"
"('P48551', 'P05013')"
"('Q9NPG1', 'P35222')"
"('P16220', 'P41134')"
"('Q86X55', 'Q9Y2X8')"
"('P07910', 'P51991')"
"('O15455', 'O00329')"
"('Q14061', 'P68104')"
"('P78537', 'Q6QNY1')"
"('Q13535', 'Q68DK7')"
"('P03897', 'Q9NX14')"
"('O60739', 'P26583')"
"('P45974', 'O75528')"
"('O75365', 'O94874')"
"('P13747', 'P27797')"
"('P33240', 'Q16891')"
"('Q8IZP0', 'Q12929')"
"('O43741', 'Q9NP71')"
"('P50914', 'P27635')"
"('P08047', 'O15245')"
"('Q9Y371', 'Q13444')"
"('Q9H4E5', 'Q13177')"
"('Q13362', 'P62955')"
"('P48736', 'Q9UDV7')"
"('O75190', 'P11142')"
"('Q16236', 'P62987')"
"('Q9ULV8', 'Q92569')"
"('P05231', 'P01023')"
"('P83731', 'Q9Y4K3')"
"('O76061', 'P35555')"
"('Q92928', 'P62993')"
"('P50150', 'P04899')"
"('Q9Y3M8', 'Q9HBH0')"
"('O15226', 'Q04206')"
"('O00308', 'Q9BTC0')"
"('Q9UHD0', 'P16471')"
"('Q9UGN5', 'A1KXE4')"
"('Q96B02', 'P78317')"
"('Q15121', 'O15530')"
"('Q9NZP2', 'P38405')"
"('O75554', 'P11940')"
"('P60866', 'P62241')"
"('O43504', 'P04406')"
"('P53350', 'Q8IV63')"
"('P16885', 'P05771')"
"('Q92597', 'Q04726')"
"('Q16186', 'P54727')"
"('Q9Y2Q3', 'Q96A33')"
"('P16104', 'Q9UBN7')"
"('Q8WWB3', 'Q8N6Y0')"
"('Q9Y4K3', 'P51149')"
"('P07996', 'P26010')"
"('P60520', 'Q96QK1')"
"('O75956', 'P26641')"
"('Q9Y478', 'O60506')"
"('Q9BZF9', 'Q99759')"
"('Q08945', 'P33993')"
"('Q16665', 'O94888')"
"('P62910', 'Q02878')"
"('P25942', 'O95551')"
"('Q9UJX4', 'Q9UJX3')"
"('O60841', 'Q99459')"
"('Q9C086', 'Q96EZ8')"
"('P84996', 'P12931')"
"('P07196', 'Q12873')"
"('Q96E52', 'P49716')"
"('O75051', 'Q8IYU2')"
"('O94762', 'P53350')"
"('P24390', 'P53618')"
"('Q96FV9', 'Q8NI27')"
"('Q13009', 'P60763')"
"('P08069', 'P42338')"
"('P51828', 'P17612')"
"('Q9UQM7', 'P01111')"
"('Q12840', 'P48058')"
"('Q92583', 'P49682')"
"('P11215', 'P05107')"
"('Q96RT1', 'Q14168')"
"('P10415', 'Q9UMX3')"
"('Q15019', 'P01243')"
"('Q9UBN7', 'P62807')"
"('Q5JSL3', 'P15153')"
"('Q13237', 'P17302')"
"('P00451', 'P27797')"
"('P05013', 'Q01344')"
"('P12081', 'Q9Y4K3')"
"('P50613', 'P46527')"
"('Q9NPI8', 'O95897')"
"('Q9Y3Q8', 'Q9BSW7')"
"('P42566', 'P08581')"
"('P08631', 'P35326')"
"('O43913', 'P33992')"
"('P32298', 'P51684')"
"('Q13480', 'Q9H706')"
"('P50151', 'Q5JWF2')"
"('P04637', 'P41235')"
"('Q5SW24', 'Q05513')"
"('P14174', 'O43427')"
"('P06241', '9757')"
"('Q8N264', 'P21333')"
"('P14635', 'Q99459')"
"('P08670', 'Q13233')"
"('Q7Z3U7', 'Q9NZ52')"
"('Q7Z3T8', 'P36894')"
"('P07996', 'P05106')"
"('Q15427', 'P31943')"
"('Q13202', 'P45984')"
"('P31152', 'Q9H1R3')"
"('Q09472', 'P49918')"
"('Q92574', 'O00303')"
"('Q13522', 'O15169')"
"('P20073', 'Q71U36')"
"('Q99880', 'Q9UPS6')"
"('P30876', 'Q9BTT4')"
"('Q13185', 'Q02539')"
"('Q02543', 'P32969')"
"('P36941', 'P20702')"
"('P84243', 'Q9UJW3')"
"('Q13485', 'O15198')"
"('Q13485', 'Q49AG3')"
"('O00141', 'P01833')"
"('Q9NZV5', 'P12931')"
"('Q15173', 'Q7Z3S7')"
"('Q6PKG0', 'P27348')"
"('O14497', 'Q13315')"
"('Q12772', 'Q92888')"
"('P36873', 'Q9BXT2')"
"('Q13247', 'Q07021')"
"('P17252', 'Q02156')"
"('P07333', 'O95208')"
"('O00459', 'P30530')"
"('Q08426', 'Q99816')"
"('Q15428', 'O75937')"
"('P83369', 'P62318')"
"('Q9H8Y8', 'Q9H0F5')"
"('Q99880', 'P51610')"
"('P38936', 'O75398')"
"('Q07157', 'Q9UI47')"
"('P55854', 'O00327')"
"('Q14527', 'Q9Y5J5')"
"('P32121', 'Q00987')"
"('P38919', 'P63104')"
"('P01106', 'Q13485')"
"('Q9UQM7', 'P29475')"
"('Q8N2H9', 'Q99558')"
"('P45983', 'P15408')"
"('Q9BTV4', 'P13569')"
"('Q7L1Q6', 'Q92611')"
"('Q01780', 'Q9H7Z7')"
"('Q13621', 'P05062')"
"('Q96RN5', 'O95402')"
"('O95405', 'Q9Y561')"
"('P52655', 'P16220')"
"('Q8N5I3', 'Q9BY27')"
"('P54646', 'O95822')"
"('P05388', 'P46778')"
"('Q8NFP9', 'Q9NWF9')"
"('P51946', 'Q96JH8')"
"('P12956', 'Q16531')"
"('P60709', 'P07900')"
"('P01133', 'P17948')"
"('P49841', 'Q9P0R6')"
"('Q9Y297', 'Q00653')"
"('P05014', 'P15509')"
"('P32927', 'Q9NSE2')"
"('P51991', 'P67809')"
"('Q15834', 'Q86SE5')"
"('P98164', 'P98082')"
"('P49642', 'P63261')"
"('P08572', 'Q15038')"
"('Q9NVE7', 'Q15121')"
"('P36873', 'P18848')"
"('O00198', 'Q9HD36')"
"('Q02040', 'Q15834')"
"('Q2I0M4', 'Q9Y6K9')"
"('P05109', 'P19878')"
"('P14672', 'Q00610')"
"('Q12834', 'Q9NZH5')"
"('P19544', 'P04637')"
"('Q15047', 'P68431')"
"('O60759', 'Q96L92')"
"('P16104', 'P14625')"
"('P61956', 'Q9HC62')"
"('Q9NTG7', 'P18859')"
"('P28360', 'P04637')"
"('P0C1Z6', 'P62805')"
"('Q9NWK9', 'Q9HCU4')"
"('P23634', 'Q9NS23')"
"('P35240', 'Q9H204')"
"('Q00987', 'P49407')"
"('P62826', 'P46527')"
"('P06493', 'P49748')"
"('Q13315', 'Q5VTR2')"
"('Q14197', 'P36776')"
"('Q9BWU1', 'Q9Y3C7')"
"('P22612', 'Q9UBI6')"
"('P55786', 'P23508')"
"('P19784', 'P14625')"
"('P35368', 'Q96SB3')"
"('P62258', 'Q9UHD2')"
"('O95865', 'P04183')"
"('Q13315', 'Q9Y6D5')"
"('Q86YH6', 'P19174')"
"('P57678', 'O43353')"
"('P62277', 'Q13233')"
"('O14530', 'Q16891')"
"('O43187', 'Q86VW0')"
"('Q13507', 'P54920')"
"('Q969S8', 'P0C5Z0')"
"('Q96GP6', 'Q9H2G2')"
"('P13612', 'O43707')"
"('P40337', 'Q9Y266')"
"('P18887', 'P06241')"
"('Q969S8', 'P33778')"
"('Q09472', 'Q13105')"
"('P42574', 'P49023')"
"('P29353', 'P08047')"
"('P07550', 'P38405')"
"('P0CAP1', 'O14949')"
"('O00444', 'Q5JR59')"
"('P30084', 'Q9UKE5')"
"('P62879', 'P20073')"
"('P08754', 'P27361')"
"('Q9P107', 'P63000')"
"('Q9Y3T9', 'Q9Y5V3')"
"('Q99558', 'P62277')"
"('Q9Y679', 'Q9Y3C5')"
"('P84022', 'P15336')"
"('P26373', 'P83881')"
"('P05231', 'P19235')"
"('Q9NX58', 'Q9UL18')"
"('Q13547', 'P40763')"
"('P08246', 'P10606')"
