#tail	head	KSP index
SRC	P46531	1
SRC	Q04721	2
SRC	Q9UM47	3
SRC	Q99466	4
P46531	Q969H0	5
P46531	Q86Y01	6
P46531	Q09472	7
P46531	Q15797	8
P46531	P19838	9
P46531	O00459	10
P46531	Q92585	11
P46531	P06239	12
P46531	Q12860	13
P46531	Q5TA89	14
P46531	Q8IZL2	15
P46531	Q06413	16
P46531	Q96J02	17
P46531	Q9UJU2	18
P46531	P25490	19
P46531	Q9GZL7	20
P46531	Q92831	21
P46531	Q14469	22
P46531	P78537	23
P46531	P27986	24
P46531	Q96JK9	25
P46531	P48745	26
P46531	Q13573	27
P46531	Q06330	28
P46531	P49841	29
P46531	P84022	30
Q04721	Q15797	31
Q04721	Q06413	32
Q04721	Q96JK9	33
Q04721	Q92585	34
Q04721	P49841	35
Q04721	Q06330	36
Q04721	Q12860	37
Q04721	Q86Y01	38
Q04721	Q8IZL2	39
Q9UM47	Q92831	40
Q9UM47	Q86Y01	41
Q9UM47	Q8IZL2	42
Q9UM47	Q13573	43
Q9UM47	Q96JK9	44
Q9UM47	Q92585	45
Q9UM47	Q06330	46
Q99466	Q96JK9	47
Q99466	Q92585	48
Q99466	Q969H0	49
Q99466	Q86Y01	50
Q99466	Q8IZL2	51
Q99466	Q06330	52
Q99466	P84022	53
Q96JK9	Q9UM47	54
Q96JK9	Q92831	55
Q96JK9	Q09472	56
Q96JK9	Q04721	57
Q96JK9	P46531	58
Q96JK9	Q99466	59
Q96JK9	Q06330	60
Q96JK9	SNK	61
Q92585	Q9UM47	62
Q92585	Q92831	63
Q92585	Q09472	64
Q92585	Q04721	65
Q92585	Q99466	66
Q92585	P46531	67
Q92585	Q06330	68
Q92585	SNK	69
Q969H0	P62877	70
Q969H0	P46531	71
Q969H0	Q99466	72
Q969H0	P63208	73
Q969H0	Q13616	74
Q86Y01	Q09472	75
Q86Y01	Q96J02	76
Q86Y01	SNK	77
Q8IZL2	Q04721	78
Q8IZL2	Q92831	79
Q8IZL2	Q09472	80
Q8IZL2	Q9UM47	81
Q8IZL2	Q99466	82
Q8IZL2	P46531	83
