#tail	head	KSP index
SRC	Q9Y6Q6	1
SRC	Q9NZC2	2
Q9Y6Q6	Q13114	3
Q9Y6Q6	Q15750	4
Q9Y6Q6	Q9NYJ8	5
Q9Y6Q6	Q14192	6
Q9Y6Q6	Q13077	7
Q9Y6Q6	O00463	8
Q9Y6Q6	Q12933	9
Q9Y6Q6	Q9Y4K3	10
Q9Y6Q6	O00459	11
Q9Y6Q6	O43318	12
Q9Y6Q6	P12931	13
Q9Y6Q6	P27986	14
Q13114	P12931	15
Q13114	Q9Y4K3	16
Q13114	P45984	17
Q13114	Q9Y6K9	18
Q13114	P45983	19
Q13114	O00463	20
Q13114	Q13077	21
Q13114	Q9Y6Q6	22
Q13114	O00459	23
Q13114	Q12933	24
Q13114	P27986	25
Q15750	Q9Y6K9	26
Q15750	P07900	27
Q15750	P25963	28
Q15750	O14920	29
Q15750	Q9NYJ8	30
Q15750	O43318	31
Q15750	P45984	32
Q15750	P45983	33
Q15750	Q9Y6Q6	34
Q9NYJ8	Q15750	35
Q9NYJ8	Q9Y4K3	36
Q9NYJ8	P45984	37
Q9NYJ8	Q9Y6K9	38
Q9NYJ8	P07900	39
Q9NYJ8	P45983	40
Q9NYJ8	P25963	41
Q9NYJ8	Q9Y6Q6	42
Q9NYJ8	O14920	43
Q9NYJ8	O43318	44
Q14192	Q9Y4K3	45
Q14192	Q9Y6Q6	46
Q14192	Q12933	47
Q14192	Q01196	48
Q14192	SNK	49
Q13077	Q13114	50
Q13077	Q9Y4K3	51
Q13077	Q9Y6K9	52
Q13077	P07900	53
Q13077	O14920	54
Q13077	Q12933	55
Q13077	P27986	56
Q13077	O00459	57
Q13077	P45984	58
Q13077	P45983	59
Q13077	P12931	60
Q13077	Q9Y6Q6	61
O00463	Q13114	62
O00463	Q15750	63
O00463	Q9Y4K3	64
O00463	P45984	65
O00463	Q9Y6K9	66
O00463	P45983	67
O00463	Q9NYJ8	68
O00463	O00459	69
O00463	Q12933	70
O00463	Q9Y6Q6	71
O00463	O43318	72
O00463	P27986	73
Q12933	Q9Y4K3	74
Q12933	Q13114	75
Q12933	Q9Y6K9	76
Q12933	P25963	77
Q12933	O14920	78
Q12933	Q15750	79
Q12933	P07900	80
Q12933	Q13077	81
Q12933	Q9NYJ8	82
Q12933	P27986	83
Q12933	O00463	84
Q12933	O00459	85
Q12933	O43318	86
Q12933	P45984	87
Q12933	P45983	88
Q12933	Q9Y6Q6	89
Q9Y4K3	Q13114	90
Q9Y4K3	Q12933	91
Q9Y4K3	Q15750	92
Q9Y4K3	Q9NYJ8	93
Q9Y4K3	P27986	94
Q9Y4K3	Q9Y6K9	95
Q9Y4K3	P45984	96
Q9Y4K3	P45983	97
Q9Y4K3	P12931	98
Q9Y4K3	Q9Y6Q6	99
Q9Y4K3	Q13077	100
Q9Y4K3	O00463	101
Q9Y4K3	O43318	102
Q9Y4K3	P07900	103
Q9Y4K3	O14920	104
Q9Y4K3	Q01196	105
Q9Y4K3	O00459	106
O00459	Q9Y4K3	107
O00459	P27986	108
O00459	Q9Y6Q6	109
O43318	P45983	110
O43318	Q9Y6K9	111
O43318	P07900	112
O43318	O14920	113
O43318	P25963	114
O43318	Q9NYJ8	115
O43318	Q15750	116
O43318	P45984	117
O43318	Q9Y6Q6	118
P12931	Q13114	119
P12931	Q9Y4K3	120
P12931	Q9Y6K9	121
P12931	P07900	122
P12931	P25963	123
P12931	O14920	124
P12931	Q13077	125
P12931	P27986	126
P12931	O00459	127
P12931	P00519	128
P12931	Q9Y6Q6	129
P27986	Q9Y4K3	130
P27986	O00459	131
P27986	P25963	132
P27986	P45983	133
P27986	Q9Y6Q6	134
P27986	P00519	135
P25963	P15336	136
P25963	P27986	137
P25963	P12931	138
P25963	SNK	139
P45983	P15336	140
P45983	P27986	141
P45983	P05412	142
P45983	P45984	143
P45983	O95644	144
P00519	P25963	145
P00519	P27986	146
P00519	P05412	147
P00519	SNK	148
P05412	Q9Y6K9	149
P05412	P07900	150
P05412	P15336	151
P05412	SNK	152
Q9Y6K9	P07900	153
Q9Y6K9	P25963	154
Q9Y6K9	O14920	155
Q9Y6K9	P12931	156
Q9Y6K9	P05412	157
Q9Y6K9	SNK	158
P07900	Q9Y4K3	159
P07900	Q9Y6K9	160
P07900	O43318	161
P07900	Q12933	162
P07900	O14920	163
P07900	Q15750	164
P07900	Q13077	165
P07900	Q9NYJ8	166
P07900	P05412	167
P07900	P12931	168
P15336	P25963	169
P15336	P05412	170
P15336	SNK	171
O14920	Q9Y6K9	172
O14920	P07900	173
O14920	Q13077	174
O14920	P25963	175
O14920	P12931	176
O14920	SNK	177
P45984	O95644	178
P45984	P05412	179
P45984	P15336	180
Q01196	Q9Y4K3	181
Q01196	Q14192	182
Q01196	SNK	183
O95644	SNK	184
