#tail	head	KSP index
SRC	P08138	1
SRC	P04629	2
SRC	Q16288	3
SRC	P10586	4
SRC	Q99523	5
P08138	P04629	6
P08138	P29353	7
P08138	Q99523	8
P08138	O00459	9
P08138	P27986	10
P04629	P29353	11
P04629	P19174	12
P04629	P08138	13
P04629	O00459	14
P04629	P27986	15
P04629	P35222	16
P04629	O14492	17
Q16288	P29353	18
Q16288	P19174	19
Q16288	P35222	20
Q16288	O14492	21
P10586	P29353	22
P10586	Q16620	23
P10586	P35222	24
Q99523	P08138	25
P29353	O00459	26
P29353	O14492	27
P29353	P27986	28
P29353	P19174	29
O00459	P31749	30
O00459	P27986	31
O00459	P29353	32
O00459	P19174	33
P27986	P31749	34
P27986	O00459	35
P27986	P29353	36
P27986	P35222	37
P27986	P19174	38
P31749	P16220	39
P31749	P67809	40
P31749	P19174	41
P31749	P35222	42
P35222	P31749	43
P35222	P19022	44
P35222	P27986	45
P35222	P04629	46
P35222	Q16288	47
P35222	Q16620	48
P35222	SNK	49
P19174	P31749	50
P19174	P29353	51
P19174	P06241	52
P06241	P27986	53
P06241	Q16620	54
P06241	P29353	55
P06241	P19174	56
P06241	P35222	57
P06241	O00459	58
Q16620	P19022	59
Q16620	P29353	60
Q16620	P06241	61
Q16620	P10586	62
Q16620	P19174	63
Q16620	P35222	64
Q16620	O14492	65
O14492	P29353	66
P16220	SNK	67
P67809	P28482	68
P67809	SNK	69
P19022	P35222	70
P19022	Q16620	71
P28482	P16220	72
P28482	P67809	73
P28482	P27361	74
P27361	P16220	75
P27361	P29353	76
P27361	P28482	77
