#tail	head	KSP index
SRC	P04626	1
SRC	P08069	2
SRC	P48357	3
P04626	P42224	4
P04626	P48357	5
P04626	P62993	6
P04626	P27986	7
P04626	Q9NSE2	8
P04626	P19174	9
P04626	O00459	10
P04626	O60674	11
P04626	Q06124	12
P04626	P27361	13
P04626	P40763	14
P08069	P48357	15
P08069	P18031	16
P08069	P03372	17
P08069	P40763	18
P08069	P19174	19
P08069	P27986	20
P08069	O00459	21
P08069	P62993	22
P08069	Q06124	23
P08069	P27361	24
P08069	O14508	25
P08069	O14543	26
P48357	P08069	27
P48357	P27986	28
P48357	P04626	29
P48357	P62993	30
P48357	P40763	31
P48357	O00459	32
P48357	O60674	33
P48357	Q06124	34
P48357	Q9NSE2	35
P48357	P06241	36
P27986	O00459	37
P27986	P42229	38
P27986	P48357	39
P27986	P62993	40
P27986	P03372	41
P27986	P40763	42
P27986	Q07666	43
P27986	Q06124	44
P27986	P19174	45
P62993	P18031	46
P62993	P27986	47
P62993	P19174	48
P62993	P27361	49
P62993	Q09472	50
P62993	O60674	51
P62993	O00459	52
P62993	Q06124	53
P62993	P08047	54
P62993	Q07666	55
P62993	P48357	56
P62993	P06241	57
P40763	P08069	58
P40763	Q12778	59
P40763	P42229	60
P40763	P42224	61
P40763	P48357	62
P40763	P27986	63
P40763	Q06124	64
P40763	Q07666	65
P40763	O00459	66
P40763	P04626	67
P40763	P08047	68
P40763	Q04206	69
P40763	P03372	70
P40763	P51692	71
P40763	SNK	72
O00459	P42229	73
O00459	P48357	74
O00459	P62993	75
O00459	P27986	76
O00459	P19174	77
O00459	Q06124	78
O00459	P40763	79
O60674	P42229	80
O60674	P42224	81
O60674	P04626	82
O60674	P51692	83
O60674	P03372	84
O60674	P40763	85
O60674	P19174	86
O60674	O00459	87
O60674	P06241	88
O60674	P27986	89
O60674	Q06124	90
O60674	P62993	91
Q06124	P08069	92
Q06124	P62993	93
Q06124	O00459	94
Q06124	P42229	95
Q06124	P42224	96
Q06124	O14543	97
Q06124	P48357	98
Q06124	P27986	99
Q06124	P51692	100
Q06124	P19174	101
Q06124	P04626	102
Q06124	P27361	103
Q06124	P40763	104
Q06124	P06241	105
Q9NSE2	P42229	106
Q9NSE2	P42224	107
Q9NSE2	P04626	108
Q9NSE2	P48357	109
Q9NSE2	P51692	110
Q9NSE2	P40763	111
Q9NSE2	O60674	112
P06241	P48357	113
P06241	P62993	114
P06241	P27986	115
P06241	Q06124	116
P06241	Q07666	117
P06241	P19174	118
P06241	O00459	119
P06241	O60674	120
P06241	P08047	121
P06241	P40763	122
Q07666	P62993	123
Q07666	P40763	124
Q07666	P19174	125
Q07666	P27986	126
Q07666	P06241	127
Q07666	SNK	128
P19174	P62993	129
P19174	Q07666	130
P19174	O60674	131
P19174	Q06124	132
P19174	P06241	133
P08047	P62993	134
P08047	P06241	135
P08047	P03372	136
P08047	Q09472	137
P08047	Q04206	138
P08047	P40763	139
P08047	SNK	140
Q12778	P03372	141
Q12778	SNK	142
P42229	P42224	143
P42229	P18031	144
P42229	P03372	145
P42229	P40763	146
P42229	P51692	147
P42229	O00459	148
P42229	P27986	149
P42229	Q06124	150
P42229	SNK	151
P42224	P42229	152
P42224	Q06124	153
P42224	P51692	154
P42224	Q04206	155
P42224	P04626	156
P42224	P40763	157
P42224	SNK	158
Q04206	P42224	159
Q04206	Q09472	160
Q04206	P08047	161
Q04206	P40763	162
Q04206	SNK	163
P03372	P08069	164
P03372	P18031	165
P03372	Q12778	166
P03372	P42229	167
P03372	P27986	168
P03372	Q09472	169
P03372	O60674	170
P03372	P08047	171
P03372	P40763	172
P03372	SNK	173
P51692	P42229	174
P51692	P42224	175
P51692	P18031	176
P51692	P40763	177
P51692	SNK	178
P18031	P42229	179
P18031	P08069	180
P18031	P62993	181
P18031	P03372	182
P18031	P40763	183
P18031	P51692	184
P18031	O60674	185
P27361	Q12778	186
P27361	P42224	187
P27361	P03372	188
P27361	Q06124	189
P27361	Q04206	190
P27361	P40763	191
Q09472	P62993	192
Q09472	P42229	193
Q09472	P42224	194
Q09472	P03372	195
Q09472	P40763	196
Q09472	P51692	197
Q09472	Q04206	198
Q09472	P08047	199
Q09472	SNK	200
O14543	P42229	201
O14543	P08069	202
O14543	P42224	203
O14543	O14508	204
O14543	P48357	205
O14543	P51692	206
O14543	P40763	207
O14543	O60674	208
O14543	Q06124	209
O14508	P42229	210
O14508	P08069	211
O14508	P42224	212
O14508	O14543	213
O14508	P48357	214
O14508	P51692	215
O14508	P40763	216
O14508	O60674	217
