#tail	head	KSP index
SRC	Q93038	1
Q93038	O43508	2
O43508	Q93038	3
O43508	Q9NP84	4
Q9NP84	Q12933	5
Q9NP84	Q13114	6
Q9NP84	O00463	7
Q9NP84	P63000	8
Q9NP84	Q13077	9
Q12933	Q13114	10
Q12933	P63000	11
Q12933	Q13077	12
Q12933	O00463	13
Q12933	Q9NP84	14
Q13114	O00463	15
Q13114	Q13077	16
Q13114	Q00653	17
Q13114	Q12933	18
Q13114	Q9NP84	19
O00463	Q13114	20
O00463	Q12933	21
O00463	Q9NP84	22
P63000	Q01201	23
P63000	Q9NP84	24
P63000	Q04206	25
Q13077	Q13114	26
Q13077	Q12933	27
Q13077	Q9NP84	28
Q13077	Q00653	29
Q00653	Q13114	30
Q00653	Q01201	31
Q00653	Q13077	32
Q00653	Q04206	33
Q00653	Q13547	34
Q00653	SNK	35
Q01201	P63000	36
Q01201	Q04206	37
Q01201	Q00653	38
Q01201	SNK	39
Q04206	Q13547	40
Q04206	Q12933	41
Q04206	Q01201	42
Q04206	Q00653	43
Q04206	SNK	44
Q13547	Q04206	45
Q13547	Q00653	46
Q13547	SNK	47
