#tail	head	KSP index
SRC	P00533	1
SRC	P29323	2
SRC	P04626	3
SRC	P23229	4
SRC	P16144	5
SRC	P08581	6
SRC	Q04912	7
P00533	P31749	8
P00533	P31947	9
P00533	P04626	10
P00533	P10275	11
P00533	P63104	12
P00533	P27986	13
P00533	P16144	14
P00533	O00329	15
P00533	P12931	16
P00533	Q05655	17
P00533	P00519	18
P00533	P62258	19
P00533	P42574	20
P29323	P00519	21
P29323	P16144	22
P04626	P00533	23
P04626	P27986	24
P04626	P16144	25
P04626	O00329	26
P04626	P00519	27
P04626	P12931	28
P16144	P04626	29
P16144	P00533	30
P16144	P31946	31
P16144	P08581	32
P16144	P12931	33
P16144	O00329	34
P16144	P27986	35
P16144	P06241	36
P08581	P16144	37
P08581	O00329	38
P08581	P63104	39
P08581	P27986	40
Q04912	P63104	41
Q04912	Q04917	42
Q04912	P31947	43
Q04912	P31946	44
Q04912	P62258	45
P63104	P31749	46
P63104	P27986	47
P63104	P08581	48
P63104	P00533	49
P63104	P31947	50
P63104	P31946	51
P63104	Q04917	52
P63104	Q04912	53
P63104	P00519	54
P63104	P62258	55
Q04917	P10275	56
Q04917	Q04912	57
Q04917	P63104	58
Q04917	P00519	59
Q04917	P62258	60
P31947	P31749	61
P31947	P63104	62
P31947	P00533	63
P31947	Q04912	64
P31947	P00519	65
P31946	Q05655	66
P31946	P63104	67
P31946	Q04912	68
P31946	P16144	69
P31946	P12931	70
P31946	P00519	71
P31946	P62258	72
P62258	P31946	73
P62258	P00519	74
P62258	P63104	75
P62258	Q04917	76
P62258	P00533	77
P62258	Q04912	78
P62258	P12931	79
P62258	P42574	80
P00519	P31947	81
P00519	Q05655	82
P00519	Q04917	83
P00519	P63104	84
P00519	P27986	85
P00519	P29323	86
P00519	P31946	87
P00519	P04626	88
P00519	O15350	89
P00519	P06241	90
P00519	P62258	91
P00519	P00533	92
P00519	SNK	93
P12931	P31749	94
P12931	O00329	95
P12931	P31946	96
P12931	P27986	97
P12931	P10275	98
P12931	P04626	99
P12931	P00519	100
P12931	P62258	101
P12931	P06241	102
P12931	P00533	103
P42574	P31749	104
P42574	P62258	105
P42574	P10275	106
P42574	P16144	107
P42574	O15350	108
P31749	P31947	109
P31749	Q05655	110
P31749	P10275	111
P31749	Q04912	112
P31749	P63104	113
P31749	P00533	114
P31749	P12931	115
P10275	P31749	116
P10275	Q04917	117
P10275	P00533	118
P10275	P27986	119
P10275	SNK	120
O15350	P00519	121
O15350	SNK	122
Q05655	P31749	123
Q05655	P31946	124
Q05655	P00533	125
Q05655	P16144	126
Q05655	P00519	127
Q05655	P12931	128
Q05655	P06241	129
P27986	P31749	130
P27986	Q05655	131
P27986	O00329	132
P27986	P63104	133
P27986	P00533	134
P27986	P16144	135
P27986	P00519	136
P06241	Q05655	137
P06241	P27986	138
P06241	P16144	139
P06241	O00329	140
P06241	P00519	141
P06241	P12931	142
O00329	P31749	143
O00329	P00533	144
O00329	Q05655	145
O00329	P27986	146
O00329	P16144	147
