negatives
"('Q9Y619', 'O43913')"
"('Q5T5U3', 'Q9HBH0')"
"('Q8N1F8', 'Q7Z2V1')"
"('Q6ZYL4', 'P18074')"
"('Q05655', 'P57087')"
"('Q02556', 'Q9NPI8')"
"('P03886', 'P17568')"
"('O95467', 'Q99614')"
"('Q92832', 'P19174')"
"('Q8TD86', 'O60503')"
"('P25021', 'P63092')"
"('O95843', 'P51841')"
"('O14920', 'Q8TEL6')"
"('P09651', 'P31942')"
"('P50552', 'P26010')"
"('Q9Y6X2', 'P46937')"
"('P62256', 'P14209')"
"('P07237', 'P16104')"
"('Q93100', 'P27482')"
"('Q9ULD4', 'P06241')"
"('P61326', 'O94829')"
"('Q00978', 'Q96AZ6')"
"('Q15283', 'P62070')"
"('Q9UM73', 'P05783')"
"('P28749', 'P63104')"
"('Q9UQM7', 'P62158')"
"('O00626', 'P51681')"
"('P03923', 'Q9NX14')"
"('P06239', 'Q8IZP0')"
"('Q9BXM0', 'O95433')"
"('P22612', 'P63218')"
"('P46781', 'P46783')"
"('P11215', 'P04216')"
"('O14733', 'Q96RU7')"
"('Q9UJY1', 'O14558')"
"('A1A4S6', 'Q7L0Q8')"
"('O95484', 'P56746')"
"('Q13315', 'Q969G3')"
"('P31947', 'Q6P1L5')"
"('P31749', 'Q04864')"
"('P27348', 'P26196')"
"('P35442', 'P01137')"
"('Q9C0A0', 'O94952')"
"('P05386', 'P40429')"
"('Q06124', 'P46940')"
"('P60520', 'P28340')"
"('Q96F24', 'Q16531')"
"('P30281', 'Q08999')"
"('P01569', 'Q13261')"
"('Q9UHX1', 'Q93033')"
"('Q93079', 'Q96QV6')"
"('Q9Y5P8', 'P10415')"
"('Q07912', 'Q9UEU0')"
"('Q9UKF6', 'P62140')"
"('P43405', 'P52735')"
"('Q04771', 'Q9UF11')"
"('Q9GZS1', 'Q9Y5B9')"
"('P62888', 'P18621')"
"('P38432', 'Q6BCY4')"
"('P09919', 'Q8N6P7')"
"('P48023', 'Q9NZQ3')"
"('P02452', 'Q13485')"
"('O14905', 'Q13467')"
"('Q5T4F7', 'O96014')"
"('P21246', 'Q9UGL9')"
"('P25098', 'P13945')"
"('P68400', 'Q9UNN5')"
"('P38432', 'Q6ZVK8')"
"('Q3KQU3', 'P01106')"
"('P17612', 'Q9UNY4')"
"('O43524', 'Q00987')"
"('P58876', 'Q9UPS6')"
"('O95149', 'Q9UPP5')"
"('Q9Y5S9', 'Q96A72')"
"('P81877', 'Q9UBH0')"
"('Q13748', 'Q12933')"
"('O00217', 'O95299')"
"('O60566', 'P56524')"
"('O14543', 'Q99650')"
"('Q96AE4', 'Q92830')"
"('Q93052', 'P56134')"
"('P41597', 'P63096')"
"('Q15650', 'P19793')"
"('P16220', 'P00813')"
"('P01106', 'Q13946')"
"('Q06413', 'P35713')"
"('Q9Y4D1', 'Q96RU3')"
"('Q00325', 'Q15628')"
"('P41586', 'P50148')"
"('Q14145', 'Q13501')"
"('P56856', 'C9JDP6')"
"('Q13705', 'Q12841')"
"('Q7Z2Z2', 'Q9Y3A5')"
"('P78395', 'Q13617')"
"('Q9ULH1', 'P42680')"
"('Q9Y262', 'P01241')"
"('Q96KG7', 'Q86YR7')"
"('P05106', 'Q14315')"
"('Q9UGN5', 'Q9Y6M0')"
"('P14416', 'P59768')"
"('Q92731', 'Q8IZL8')"
"('Q9Y6K9', 'Q8N2W9')"
"('P62805', 'Q16576')"
"('P07814', 'P23508')"
"('P29350', 'P17844')"
"('Q9NS23', 'Q9H7E9')"
"('Q16637', 'Q92882')"
"('Q96JB2', 'Q9H9E3')"
"('O75335', 'Q9UPW5')"
"('O14965', 'Q9NQS7')"
"('Q96K19', 'Q5VVX9')"
