#tail	head	KSP index
SRC	P21854	1
P21854	P06127	2
P21854	P62993	3
P21854	P29350	4
P06127	P11912	5
P06127	P27986	6
P06127	P29350	7
P06127	P43403	8
P06127	P06239	9
P06127	P21854	10
P62993	Q08209	11
P62993	P27986	12
P62993	P27361	13
P62993	P21854	14
P62993	P43405	15
P62993	P43403	16
P62993	P28482	17
P62993	Q92918	18
P62993	P22681	19
P62993	Q06187	20
P62993	P29350	21
P29350	P06239	22
P29350	P62993	23
P29350	P43405	24
P29350	P43403	25
P29350	Q06187	26
P29350	P11912	27
P29350	P41182	28
P29350	P27986	29
P29350	P07948	30
P29350	P28482	31
P29350	O43318	32
P29350	P27361	33
P29350	P06127	34
P29350	P21854	35
P06239	P43405	36
P06239	P11912	37
P06239	P27986	38
P06239	P29350	39
P06239	P43403	40
P06239	P28482	41
P06239	P06127	42
P43405	P31749	43
P43405	P62993	44
P43405	Q06187	45
P43405	P14317	46
P43405	P11912	47
P43405	P27986	48
P43405	P22681	49
P43405	P27361	50
P43405	P21854	51
P43403	P31749	52
P43403	Q9H6Q3	53
P43403	P62993	54
P43403	P06127	55
P43403	P27986	56
Q06187	P78347	57
Q06187	Q9Y6K9	58
Q06187	P62993	59
Q06187	P22681	60
Q06187	P41182	61
Q06187	O14920	62
P11912	P29350	63
P11912	P06127	64
P11912	P43405	65
P11912	P06239	66
P11912	P14317	67
P41182	Q06187	68
P41182	P29350	69
P41182	SNK	70
P27986	P31749	71
P27986	P25963	72
P27986	Q06187	73
P27986	P62993	74
P27986	O15530	75
P27986	P29350	76
P27986	Q92918	77
P27986	P06127	78
P27986	P49841	79
P07948	P43405	80
P07948	Q06187	81
P07948	P14317	82
P07948	P11912	83
P07948	P27986	84
P07948	P29350	85
P07948	P22681	86
P07948	P27361	87
P07948	P21854	88
P28482	P01100	89
P28482	Q12778	90
P28482	P16220	91
P28482	P15336	92
P28482	P41182	93
P28482	P19419	94
P28482	P05412	95
P28482	P27361	96
P28482	P06239	97
O43318	Q9Y6K9	98
O43318	O14920	99
O43318	P25963	100
O43318	P29350	101
O43318	P28482	102
O43318	Q92918	103
O43318	P27361	104
P27361	P19419	105
P27361	P01100	106
P27361	Q12778	107
P27361	P16220	108
P27361	P15336	109
P27361	P07948	110
P27361	P28482	111
P27361	P05412	112
P01100	Q9Y6K9	113
P01100	P06400	114
P01100	P17275	115
P01100	Q13469	116
P01100	P05412	117
P01100	P16220	118
P01100	P15336	119
P01100	SNK	120
Q12778	SNK	121
P16220	P15336	122
P16220	P78347	123
P16220	P05412	124
P16220	P01100	125
P16220	SNK	126
P15336	P06400	127
P15336	P01100	128
P15336	P25963	129
P15336	P17275	130
P15336	P05412	131
P15336	P16220	132
P15336	SNK	133
P19419	SNK	134
P05412	Q9Y6K9	135
P05412	P01100	136
P05412	Q13469	137
P05412	P16220	138
P05412	P15336	139
P05412	P17275	140
P05412	P53539	141
P05412	P49841	142
P05412	SNK	143
Q9Y6K9	P25963	144
Q9Y6K9	O14920	145
Q9Y6K9	P05412	146
Q9Y6K9	P01100	147
Q9Y6K9	SNK	148
Q13469	P01100	149
Q13469	P05412	150
Q13469	SNK	151
P17275	P01100	152
P17275	P05412	153
P17275	P53539	154
P17275	P15336	155
P17275	SNK	156
P53539	P17275	157
P53539	P05412	158
P53539	SNK	159
P49841	P16220	160
P49841	Q13469	161
P49841	P05412	162
P49841	Q12968	163
Q12968	SNK	164
P06400	P15336	165
P06400	P01100	166
P06400	SNK	167
P25963	P15336	168
P25963	P27986	169
P25963	SNK	170
P78347	Q06187	171
P78347	SNK	172
P22681	Q9H6Q3	173
P22681	P62993	174
P22681	P43405	175
P22681	P43403	176
P22681	Q06187	177
P22681	P27986	178
P22681	P07948	179
P22681	P06239	180
O14920	Q9Y6K9	181
O14920	Q12778	182
O14920	P25963	183
O14920	Q92918	184
O14920	SNK	185
Q92918	P14317	186
Q92918	P62993	187
Q92918	O14920	188
Q92918	O43318	189
Q92918	P27986	190
P14317	P11912	191
P14317	Q92918	192
P14317	SNK	193
P31749	Q9Y6K9	194
P31749	P43405	195
P31749	P25963	196
P31749	Q12778	197
P31749	O14920	198
P31749	P16220	199
P31749	P15336	200
P31749	P05412	201
P31749	P43403	202
P31749	P49841	203
O15530	P31749	204
O15530	O14920	205
Q9H6Q3	P22681	206
Q9H6Q3	P43403	207
Q9H6Q3	SNK	208
Q08209	P62993	209
Q08209	Q12968	210
Q08209	Q13469	211
