#tail	head	KSP index
SRC	P46531	1
SRC	Q04721	2
SRC	Q9UM47	3
SRC	Q99466	4
P46531	Q86Y01	5
P46531	Q09472	6
P46531	Q15797	7
P46531	P19838	8
P46531	O00459	9
P46531	Q92585	10
P46531	P06239	11
P46531	Q5TA89	12
P46531	Q8IZL2	13
P46531	Q06413	14
P46531	Q96J02	15
P46531	Q9UJU2	16
P46531	P25490	17
P46531	Q92831	18
P46531	Q14469	19
P46531	P27986	20
P46531	Q96JK9	21
P46531	Q13573	22
P46531	Q06330	23
P46531	P49841	24
P46531	P84022	25
Q04721	Q15797	26
Q04721	Q06413	27
Q04721	Q96JK9	28
Q04721	Q92585	29
Q04721	P49841	30
Q04721	Q06330	31
Q04721	Q86Y01	32
Q04721	Q8IZL2	33
Q9UM47	Q92831	34
Q9UM47	Q86Y01	35
Q9UM47	Q8IZL2	36
Q9UM47	Q13573	37
Q9UM47	Q96JK9	38
Q9UM47	Q92585	39
Q9UM47	Q06330	40
Q99466	Q96JK9	41
Q99466	Q92585	42
Q99466	Q86Y01	43
Q99466	Q8IZL2	44
Q99466	Q06330	45
Q99466	P84022	46
Q96JK9	Q9UM47	47
Q96JK9	Q92831	48
Q96JK9	Q09472	49
Q96JK9	Q04721	50
Q96JK9	P46531	51
Q96JK9	Q99466	52
Q96JK9	Q06330	53
Q96JK9	SNK	54
Q92585	Q9UM47	55
Q92585	Q92831	56
Q92585	Q09472	57
Q92585	Q04721	58
Q92585	Q99466	59
Q92585	P46531	60
Q92585	Q06330	61
Q92585	SNK	62
Q86Y01	Q09472	63
Q86Y01	Q96J02	64
Q86Y01	SNK	65
Q8IZL2	Q04721	66
Q8IZL2	Q92831	67
Q8IZL2	Q09472	68
Q8IZL2	Q9UM47	69
Q8IZL2	Q99466	70
Q8IZL2	P46531	71
Q8IZL2	Q06330	72
Q06330	O75376	73
Q06330	Q96T58	74
Q06330	Q13573	75
Q06330	Q14469	76
Q06330	P49841	77
Q06330	Q5TA89	78
Q06330	SNK	79
P84022	Q99466	80
P84022	Q9UJU2	81
P84022	P46531	82
P84022	P25490	83
P84022	Q09472	84
