#tail	head	KSP index
SRC	Q9UP38	1
SRC	Q9ULW2	2
SRC	Q14332	3
SRC	Q9NPG1	4
SRC	Q13467	5
SRC	O75084	6
SRC	Q9H461	7
SRC	O00144	8
SRC	Q07954	9
SRC	O75197	10
SRC	O75581	11
SRC	Q01973	12
SRC	Q01974	13
SRC	P34925	14
Q9UP38	O75581	15
Q9UP38	P35222	16
Q9UP38	O14640	17
Q9UP38	Q92997	18
Q9UP38	O75197	19
Q9UP38	O14641	20
Q9ULW2	O75581	21
Q9ULW2	Q13467	22
Q9ULW2	O14640	23
Q9ULW2	P35222	24
Q9ULW2	Q92997	25
Q9ULW2	O75197	26
Q9ULW2	O14641	27
Q14332	O75581	28
Q14332	P35222	29
Q14332	O14640	30
Q14332	Q92997	31
Q14332	O75197	32
Q14332	O14641	33
Q9NPG1	O75581	34
Q9NPG1	P35222	35
Q9NPG1	O14641	36
Q9NPG1	O14640	37
Q9NPG1	Q92997	38
Q9NPG1	O75197	39
Q13467	Q9ULW2	40
Q13467	O75581	41
Q13467	P49841	42
Q13467	P35222	43
Q13467	O14640	44
Q13467	Q92997	45
Q13467	O75197	46
Q13467	O14641	47
O75084	Q92997	48
O75084	O75581	49
O75084	O14640	50
O75084	O14641	51
O75084	P35222	52
O75084	O75197	53
Q9H461	Q92997	54
Q9H461	O75581	55
Q9H461	P35222	56
Q9H461	O14641	57
Q9H461	O14640	58
Q9H461	O75197	59
Q9H461	P34925	60
O00144	Q92997	61
O00144	O75581	62
O00144	O14640	63
O00144	O14641	64
O00144	P35222	65
O00144	O75197	66
O75197	Q14332	67
O75197	Q9NPG1	68
O75197	O75084	69
O75197	Q92837	70
O75197	Q9H461	71
O75197	P19022	72
O75197	O00144	73
O75197	Q13467	74
O75197	Q9ULW2	75
O75197	P49841	76
O75197	Q9UP38	77
O75197	O15169	78
O75581	Q9NPG1	79
O75581	O75084	80
O75581	P19022	81
O75581	O00144	82
O75581	Q9H461	83
O75581	Q9ULW2	84
O75581	Q13467	85
O75581	Q9UP38	86
O75581	Q14332	87
O75581	P98082	88
O75581	P49841	89
O75581	O15169	90
P34925	O14640	91
P34925	Q9H461	92
O14640	P31749	93
O14640	P49674	94
O14640	P48729	95
O14640	P25054	96
O14640	Q92837	97
O14640	P17252	98
O14640	O14641	99
O14640	Q15797	100
O14640	P34925	101
O14640	P49841	102
O14640	O15169	103
Q92997	P25054	104
Q92997	Q92837	105
Q92997	P98082	106
Q92997	P49841	107
Q92997	O15169	108
P35222	P31749	109
P35222	P19022	110
P35222	Q13526	111
P35222	Q9UJU2	112
P35222	Q9NQB0	113
P35222	P48729	114
P35222	P25054	115
P35222	P15923	116
P35222	P14923	117
P35222	P15884	118
P35222	P17252	119
P35222	O15169	120
P35222	SNK	121
O14641	O14640	122
O14641	P31749	123
O14641	P25054	124
O14641	P17252	125
O14641	P49841	126
O14641	Q92837	127
O14641	O15169	128
Q92837	P49841	129
Q92837	O14641	130
Q92837	O14640	131
Q92837	O75197	132
Q92837	Q92997	133
Q92837	O15169	134
P19022	O75581	135
P19022	P14923	136
P19022	P35222	137
P19022	O75197	138
P19022	O15169	139
P49841	O15169	140
P49841	P48729	141
P49841	Q9Y297	142
P49841	P25054	143
P49841	Q13467	144
P49841	Q13469	145
P49841	Q92837	146
P49841	P35222	147
O15169	P49674	148
O15169	P19022	149
O15169	Q9Y297	150
O15169	P25054	151
O15169	O75581	152
O15169	O14641	153
O15169	O75197	154
O15169	Q92997	155
O15169	Q92837	156
O15169	P48729	157
O15169	Q13526	158
O15169	P49841	159
O15169	P35222	160
O15169	O14640	161
O15169	P31749	162
P49674	P25054	163
P49674	O75581	164
P49674	P49841	165
P49674	O14641	166
P49674	Q92997	167
P49674	O14640	168
P49674	O15169	169
Q9Y297	P25054	170
Q9Y297	P14923	171
Q9Y297	P35222	172
Q9Y297	P49841	173
Q9Y297	O15169	174
P25054	Q9UJU2	175
P25054	P48729	176
P25054	O14640	177
P25054	P14923	178
P25054	O14641	179
P25054	Q92997	180
P25054	Q9Y297	181
P25054	P49841	182
P25054	P35222	183
P25054	O15169	184
P25054	SNK	185
P48729	P25054	186
P48729	O75581	187
P48729	Q9UJU2	188
P48729	O14640	189
P48729	Q13469	190
P48729	P49841	191
P48729	P35222	192
P48729	O15169	193
Q13526	Q13469	194
Q13526	P17252	195
Q13526	P35222	196
Q13526	P98082	197
Q13526	O15169	198
P31749	P35222	199
P31749	O14641	200
P31749	P49841	201
P31749	O14640	202
P31749	O15169	203
P17252	Q13526	204
P17252	P35222	205
P17252	O14641	206
P17252	O14640	207
Q15797	O14640	208
Q15797	SNK	209
Q13469	Q13526	210
Q13469	P48729	211
Q13469	SNK	212
Q9UJU2	P25054	213
Q9UJU2	P14923	214
Q9UJU2	P35222	215
Q9UJU2	SNK	216
Q9NQB0	P14923	217
Q9NQB0	P35222	218
Q9NQB0	SNK	219
P15923	SNK	220
P14923	P19022	221
P14923	Q9Y297	222
P14923	P25054	223
P14923	Q9UJU2	224
P14923	P15884	225
P14923	P35222	226
P14923	Q9NQB0	227
P15884	P14923	228
P15884	P35222	229
P15884	SNK	230
P98082	Q13526	231
P98082	O75581	232
P98082	Q92997	233
P98082	O15169	234
P98082	SNK	235
