negatives
"('P07355', 'O75815')"
"('Q6NUQ1', 'Q01082')"
"('Q8NHW4', 'P51685')"
"('Q9BWF3', 'P17844')"
"('Q99684', 'Q9Y6X2')"
"('P15382', 'P56696')"
"('O14757', 'Q99459')"
"('Q9BUJ2', 'Q15428')"
"('P21673', 'Q9HBL7')"
"('Q96BK5', 'P39019')"
"('P62328', 'P20073')"
"('Q9Y4K3', 'P07900')"
"('P20674', 'Q7L5N1')"
"('Q8N726', 'P30281')"
"('P12931', 'P47928')"
"('Q9Y478', 'P61088')"
"('O43561', 'Q86WV1')"
"('P22670', 'O15198')"
"('Q02241', 'P27348')"
"('O15123', 'P67870')"
"('P28702', 'O75469')"
"('Q9BRP4', 'P62333')"
"('Q9Y572', 'P21333')"
"('Q9UQQ2', 'P00533')"
"('Q8NGS3', 'P38405')"
"('P42771', 'P11802')"
"('Q9HD67', 'Q16658')"
"('Q15532', 'P62993')"
"('Q9BTW9', 'P12956')"
"('Q15843', 'P46777')"
"('P35637', 'O75815')"
"('Q15843', 'P62241')"
"('P48736', 'O00329')"
"('Q9UDY8', 'O95999')"
"('Q9UKL0', 'P51532')"
"('Q9BW27', 'Q5SRE5')"
"('Q9UHD0', 'P26992')"
"('P01567', 'P14784')"
"('P06400', 'P35638')"
"('Q9H8T0', 'Q9UJC3')"
"('P62136', 'Q8IZS8')"
"('P61981', 'Q9UMS6')"
"('Q13702', 'Q9H8Y8')"
"('O00141', 'P26640')"
"('Q13315', 'P23025')"
"('Q9HC98', 'P33993')"
"('Q96CW1', 'Q14197')"
"('Q15910', 'P07550')"
"('O15198', 'A0AVT1')"
"('P19338', 'P61586')"
"('Q13158', 'P21580')"
"('O95166', 'Q9BTU6')"
"('P04628', 'P34925')"
"('Q99460', 'P17980')"
"('P33993', 'Q9Y2Q3')"
"('P02458', 'P26006')"
"('Q9H8Y8', 'Q13702')"
"('P08107', 'P12956')"
"('P51817', 'Q8TD86')"
"('Q02556', 'P40306')"
"('P24941', 'P30279')"
"('P42680', 'Q9ULZ2')"
"('P01011', 'P20151')"
"('Q92905', 'P46527')"
"('P62277', 'P46783')"
"('P48039', 'P28482')"
"('P56750', 'P56880')"
"('P20265', 'Q00403')"
"('Q7RTN6', 'Q9H9S4')"
"('Q7L2H7', 'Q9Y478')"
"('Q9UM47', 'Q86Y01')"
"('Q02080', 'O95644')"
"('Q9Y4K3', 'P22234')"
"('P27540', 'P10600')"
"('P04003', 'P20851')"
"('P82650', 'Q14197')"
"('Q9Y232', 'O60684')"
"('Q92830', 'Q15788')"
"('Q9H0M0', 'P36897')"
"('O14964', 'Q9Y4K3')"
"('P15884', 'Q8N2W9')"
"('P02458', 'Q9UKX5')"
"('P62753', 'Q96RG2')"
"('Q9UII2', 'Q9NRR5')"
"('P35030', 'P10646')"
