#tail	head	KSP index
SRC	P05556	1
SRC	P05106	2
SRC	P34741	3
SRC	P36897	4
SRC	P37173	5
P05556	Q05397	6
P05556	P27986	7
P05556	Q03135	8
P05556	P29353	9
P05556	P37173	10
P05556	P67775	11
P05106	P29353	12
P05106	P37173	13
P05106	Q05397	14
P05106	Q03135	15
P34741	P01137	16
P36897	Q96JC1	17
P36897	Q9Y4K3	18
P36897	O75807	19
P36897	P63010	20
P36897	P63151	21
P36897	Q00534	22
P36897	Q12931	23
P36897	Q9H0M0	24
P36897	Q7Z3T8	25
P36897	P27986	26
P36897	Q03135	27
P36897	P84022	28
P36897	P29590	29
P36897	P29353	30
P36897	P37173	31
P36897	P30153	32
P36897	P62942	33
P36897	Q13485	34
P36897	O15105	35
P36897	P98082	36
P36897	P57059	37
P36897	P11802	38
P36897	P36873	39
P36897	O43541	40
P36897	Q15796	41
P36897	Q9Y3F4	42
P36897	Q9UER7	43
P36897	O95405	44
P36897	Q9UJX4	45
P36897	O15169	46
P37173	P08047	47
P37173	Q96JC1	48
P37173	Q9Y4K3	49
P37173	P05556	50
P37173	P36897	51
P37173	O95405	52
P37173	P23511	53
P37173	P05106	54
P37173	Q9HAU4	55
P37173	P29353	56
P37173	Q15796	57
P37173	P25208	58
P37173	P63010	59
P37173	O43541	60
P37173	P30153	61
P37173	Q9UER7	62
P37173	P27986	63
P37173	P67775	64
P37173	Q12931	65
P37173	P35222	66
P37173	Q8TF09	67
P37173	Q13485	68
P37173	O15105	69
P37173	Q9HCE7	70
P37173	P05412	71
P37173	Q9Y3F4	72
P37173	P06493	73
P37173	Q9H0M0	74
P37173	P98082	75
P37173	Q9NP97	76
P37173	P28340	77
P37173	P84022	78
P08047	P10275	79
P08047	Q92793	80
P08047	P03372	81
P08047	P05412	82
P08047	P29590	83
P08047	Q09472	84
P08047	P29353	85
P08047	P38398	86
P08047	P37173	87
P08047	Q01196	88
P08047	P01106	89
P08047	P04637	90
P08047	SNK	91
Q96JC1	Q13485	92
Q96JC1	P36897	93
Q96JC1	P37173	94
Q9Y4K3	P27986	95
Q9Y4K3	P36897	96
Q9Y4K3	P30153	97
Q9Y4K3	Q9Y3F4	98
Q9Y4K3	Q01196	99
Q9Y4K3	Q03135	100
Q9Y4K3	P37173	101
O95405	Q13485	102
O95405	P36897	103
O95405	P29590	104
O95405	P36873	105
O95405	Q15796	106
O95405	P37173	107
O95405	P30153	108
O95405	P35222	109
O95405	P84022	110
P23511	Q09472	111
P23511	P38398	112
P23511	P37173	113
P23511	P06493	114
P23511	P04637	115
P23511	P25208	116
P23511	SNK	117
Q9HAU4	O15105	118
Q9HAU4	Q9H0M0	119
Q9HAU4	P12757	120
