#tail	head	KSP index
SRC	P04626	1
SRC	Q15303	2
SRC	P05556	3
SRC	P16471	4
P04626	Q15303	5
P04626	O15524	6
P04626	P42224	7
P04626	P62993	8
P04626	P27986	9
P04626	Q9NSE2	10
P04626	O00459	11
P04626	O60674	12
P04626	Q06124	13
P04626	P12931	14
Q15303	P42229	15
Q15303	P62993	16
Q15303	P27986	17
Q15303	P51692	18
Q15303	O00459	19
Q15303	P16471	20
Q15303	Q06124	21
Q15303	P04626	22
Q15303	O60674	23
P05556	P18031	24
P05556	P16471	25
P05556	P27986	26
P05556	O00459	27
P05556	P67775	28
P05556	P12931	29
P16471	P42229	30
P16471	P05556	31
P16471	Q92793	32
P16471	P05204	33
P16471	Q15303	34
P16471	P27986	35
P16471	P12931	36
P16471	Q99490	37
P16471	O60674	38
P16471	Q06124	39
P42229	P42224	40
P42229	P10828	41
P42229	Q99490	42
P42229	P16471	43
P42229	P18031	44
P42229	P67775	45
P42229	P51692	46
P42229	Q13469	47
P42229	O00459	48
P42229	P12931	49
P42229	P27986	50
P42229	P10242	51
P42229	Q06124	52
P42229	Q92793	53
P42229	SNK	54
Q92793	Q9Y6X2	55
Q92793	P10242	56
Q92793	P16471	57
Q92793	P42229	58
Q92793	P42224	59
Q92793	P10828	60
Q92793	P51692	61
Q92793	Q13469	62
Q92793	Q09472	63
Q92793	P12931	64
Q92793	SNK	65
P05204	P62993	66
P05204	P16471	67
P05204	SNK	68
P27986	O00459	69
P27986	P42229	70
P27986	P62993	71
P27986	P16471	72
P27986	Q06124	73
P12931	P62993	74
P12931	P18031	75
P12931	P42229	76
P12931	Q92793	77
P12931	P27986	78
P12931	Q06124	79
P12931	P42224	80
P12931	O00459	81
P12931	P04626	82
P12931	P16471	83
Q99490	P42229	84
Q99490	P27986	85
Q99490	P16471	86
Q99490	O00459	87
O60674	P42229	88
O60674	P42224	89
O60674	P04626	90
O60674	Q15303	91
O60674	P51692	92
O60674	P67775	93
O60674	O00459	94
O60674	P27986	95
O60674	Q06124	96
O60674	P62993	97
Q06124	Q15303	98
Q06124	P62993	99
Q06124	O00459	100
Q06124	P16471	101
Q06124	P42229	102
Q06124	P42224	103
Q06124	O14543	104
Q06124	P27986	105
Q06124	P51692	106
Q06124	P04626	107
Q06124	P12931	108
P62993	P18031	109
P62993	P27986	110
P62993	O15524	111
P62993	Q09472	112
P62993	O60674	113
P62993	O00459	114
P62993	Q06124	115
P62993	P05204	116
O00459	O15524	117
O00459	P42229	118
O00459	P62993	119
O00459	P27986	120
O00459	Q06124	121
P42224	P42229	122
P42224	Q92793	123
P42224	Q06124	124
P42224	P51692	125
P42224	P04626	126
P42224	P12931	127
P42224	SNK	128
O14543	P42229	129
O14543	P42224	130
O14543	P16471	131
O14543	P51692	132
O14543	O60674	133
O14543	Q06124	134
P51692	P42229	135
P51692	P42224	136
P51692	Q92793	137
P51692	P18031	138
P51692	P67775	139
P51692	Q13469	140
P51692	SNK	141
P18031	P42229	142
P18031	P05556	143
P18031	P62993	144
P18031	P12931	145
P18031	P51692	146
P18031	O60674	147
O15524	P42229	148
O15524	P42224	149
O15524	P04626	150
O15524	P51692	151
O15524	P62993	152
O15524	O00459	153
O15524	O60674	154
O15524	P16471	155
Q9NSE2	P42229	156
Q9NSE2	P42224	157
Q9NSE2	P04626	158
Q9NSE2	P16471	159
Q9NSE2	P51692	160
Q9NSE2	O60674	161
P67775	P42229	162
P67775	P51692	163
P67775	P42224	164
P67775	O60674	165
P67775	P05556	166
Q09472	P62993	167
Q09472	P10242	168
Q09472	P42229	169
Q09472	P42224	170
Q09472	P10828	171
Q09472	Q92793	172
Q09472	P51692	173
Q09472	Q9Y6X2	174
Q09472	SNK	175
P10828	P42229	176
P10828	Q92793	177
P10828	Q09472	178
P10828	P27986	179
P10828	O00459	180
P10828	SNK	181
Q13469	P42229	182
Q13469	Q92793	183
Q13469	P51692	184
Q13469	SNK	185
P10242	P42229	186
P10242	Q92793	187
P10242	Q09472	188
P10242	SNK	189
Q9Y6X2	P42229	190
Q9Y6X2	P42224	191
Q9Y6X2	P51692	192
Q9Y6X2	Q09472	193
Q9Y6X2	Q92793	194
Q9Y6X2	SNK	195
