negatives
"('Q12933', 'Q9H1R3')"
"('Q02750', 'P01889')"
"('P04141', 'P51532')"
"('P62937', 'Q9NZ81')"
"('Q16690', 'P45984')"
"('P0CG48', 'O75113')"
"('Q99704', 'P08631')"
"('P21127', 'P30281')"
"('Q9BZK7', 'Q13573')"
"('Q5T3J3', 'P08670')"
"('P14416', 'P63218')"
"('Q9UJT2', 'Q96PF2')"
"('Q96ED9', 'Q9H8T0')"
"('Q9NRG9', 'Q96HA1')"
"('Q99459', 'O43660')"
"('P11171', 'P20618')"
"('O14512', 'Q13651')"
"('Q13573', 'Q9Y295')"
"('Q13418', 'Q9H3U1')"
"('Q14584', 'O43597')"
"('Q13501', 'Q16543')"
"('P05387', 'Q9UNX3')"
"('Q8WVD3', 'Q96B02')"
"('P05129', 'O14610')"
"('O43809', 'O60739')"
"('Q15796', 'Q9BX70')"
"('Q9UGI9', 'Q16875')"
"('Q9NY93', 'P62910')"
"('P01344', 'Q9NPI5')"
"('Q08043', 'P68133')"
"('P25774', 'P04233')"
"('P35754', 'P04406')"
"('Q8N163', 'O95816')"
"('P51148', 'Q15276')"
"('Q9BVJ7', 'P07108')"
"('Q9H6S3', 'P07766')"
"('P08571', 'P05107')"
"('P40763', 'Q9Y478')"
"('P62993', 'P60660')"
"('P55854', 'Q9HCK8')"
"('Q9NQZ3', 'Q8N9W6')"
"('Q9GZZ9', 'Q8IY92')"
"('P20073', 'P47897')"
"('P22087', 'P11387')"
"('Q13153', 'O14733')"
"('Q8TCW9', 'P61081')"
"('Q9UGN5', 'Q9Y6M0')"
"('Q9H2G2', 'O60721')"
"('Q13416', 'P33993')"
"('Q9Y619', 'P62979')"
"('O43927', 'P49238')"
"('Q15717', 'P20248')"
"('Q07889', 'P61158')"
"('Q9Y6I7', 'Q15370')"
"('Q9UL25', 'Q14164')"
"('Q9HCI7', 'P04637')"
"('Q9Y6K9', 'Q5VYK3')"
"('O14543', 'Q14626')"
"('P08238', 'O95819')"
"('P31946', 'P49815')"
"('Q9P086', 'Q9NWA0')"
"('O95639', 'P36873')"
"('O14733', 'Q99459')"
"('Q14676', 'P38398')"
"('O60306', 'Q9BQA1')"
"('P07359', 'P42338')"
"('P11940', 'Q9Y478')"
"('P41235', 'O43915')"
"('Q02833', 'P20936')"
"('Q9UDR5', 'Q14197')"
"('P06241', 'Q9UL51')"
"('Q92527', 'P27448')"
"('Q5JWF2', 'P62879')"
"('P08514', 'P26010')"
"('P63279', 'Q13569')"
"('Q9UH92', 'Q9UHR5')"
"('Q9UL18', 'Q96P70')"
"('P51617', 'Q92985')"
"('P16104', 'P30040')"
"('Q15788', 'Q9NZV5')"
"('P55290', 'Q16659')"
"('Q13191', 'P63104')"
"('O60231', 'Q92917')"
"('P26927', 'P53990')"
"('P21675', 'O43521')"
"('P53355', 'P63151')"
"('O15162', 'Q9HB63')"
"('Q8WWF5', 'P61088')"
"('P68400', 'P83916')"
"('P03973', 'P28799')"
"('P26010', 'Q63HR2')"
"('Q9HBI1', 'Q13573')"
"('P18887', 'Q9NUW8')"
"('Q969S8', 'P62807')"
"('Q9UGR2', 'Q04637')"
"('Q13451', 'Q04864')"
"('P26367', 'O75030')"
"('O95983', 'Q8WXI9')"
"('Q7L5N1', 'P40937')"
"('O95816', 'Q9BRX9')"
"('P01562', 'P15509')"
"('P37235', 'Q9UJA2')"
"('P62195', 'Q9UBB9')"
"('P17861', 'Q6UUV7')"
"('P09874', 'Q96GD4')"
"('A8TX70', 'P06756')"
"('P62306', 'P62304')"
"('Q15831', 'Q96L34')"
"('P01138', 'P01023')"
"('Q15287', 'P68400')"
"('P03891', 'O14561')"
"('Q9Y4K3', 'Q9BYM8')"
"('Q3ZCQ8', 'Q99558')"
"('P01732', 'P06239')"
"('P11912', 'Q7Z6A9')"
"('Q9NZJ7', 'Q15796')"
"('Q16254', 'Q14186')"
"('6702', 'Q92995')"
"('P42345', 'P85299')"
"('Q8IWZ8', 'P08579')"
"('Q7Z417', 'Q00005')"
"('Q9NV70', 'Q9NRI5')"
"('P23508', 'O14576')"
"('Q7RTR2', 'P78545')"
"('P81605', 'O60232')"
"('Q13233', 'Q07020')"
"('Q9UJX6', 'P30260')"
"('Q9H492', 'Q9NT62')"
"('P04629', 'Q99963')"
"('Q3MHD2', 'Q8NBJ4')"
"('P32455', 'P52630')"
"('Q9NYL2', 'Q14194')"
"('Q9BUF5', 'Q13748')"
