#tail	head	KSP index
SRC	P25942	1
SRC	P61073	2
SRC	P78552	3
SRC	P31785	4
SRC	P24394	5
P25942	P24394	6
P25942	P52333	7
P61073	P52333	8
P61073	Q04206	9
P61073	Q05397	10
P61073	O60674	11
P78552	P23458	12
P78552	P52333	13
P78552	O60674	14
P78552	P24394	15
P78552	P31785	16
P31785	P52333	17
P31785	P42226	18
P31785	P29353	19
P31785	P24394	20
P31785	P78552	21
P31785	P23458	22
P31785	O60674	23
P24394	P35568	24
P24394	P23458	25
P24394	Q05513	26
P24394	O60496	27
P24394	Q92835	28
P24394	P07332	29
P24394	P25942	30
P24394	O60674	31
P24394	P42226	32
P24394	P78552	33
P24394	Q06124	34
P24394	P29353	35
P24394	P43405	36
P24394	P52333	37
P24394	P31785	38
P24394	Q9Y4H2	39
P35568	P52333	40
P35568	P24394	41
P35568	P23458	42
P35568	O60674	43
P35568	Q06124	44
P23458	P42226	45
P23458	P31785	46
P23458	P35568	47
P23458	O15524	48
P23458	Q05513	49
P23458	P29353	50
P23458	P24394	51
P23458	P43405	52
P23458	Q9Y4H2	53
P23458	Q92835	54
P23458	O60674	55
P23458	P07332	56
P23458	Q06124	57
Q05513	P31749	58
Q05513	P42226	59
Q05513	P35568	60
Q05513	Q9Y4H2	61
Q05513	P23458	62
Q05513	Q04206	63
Q05513	P24394	64
O60496	P24394	65
O60496	Q92835	66
Q92835	O60496	67
Q92835	P52333	68
Q92835	P29353	69
Q92835	P24394	70
Q92835	P23458	71
Q92835	Q06124	72
P07332	P35568	73
P07332	P24394	74
P07332	Q9Y4H2	75
P07332	P23458	76
O60674	P52333	77
O60674	P42226	78
O60674	P35568	79
O60674	P29353	80
O60674	P24394	81
O60674	Q9Y4H2	82
O60674	P23458	83
O60674	Q06124	84
P42226	Q04206	85
P42226	Q16695	86
P42226	P49715	87
P42226	P17676	88
P42226	P19838	89
P42226	Q7KZF4	90
P42226	P14921	91
P42226	O15524	92
P42226	Q9Y6Q9	93
P42226	SNK	94
Q06124	Q05397	95
Q06124	P35568	96
Q06124	Q92835	97
Q06124	P29353	98
Q06124	Q9Y4H2	99
Q06124	Q16695	100
Q06124	P24394	101
P29353	Q92835	102
P29353	Q06124	103
P29353	P31785	104
P29353	Q9Y4H2	105
P29353	Q16695	106
P29353	P24394	107
P43405	P31749	108
P43405	P29353	109
P43405	Q05397	110
P43405	P24394	111
P52333	P42226	112
P52333	P31785	113
P52333	P25942	114
P52333	P35568	115
P52333	P07332	116
P52333	P24394	117
P52333	Q9Y4H2	118
P52333	P23458	119
P52333	Q92835	120
P52333	O60674	121
P52333	Q06124	122
Q9Y4H2	P52333	123
Q9Y4H2	P29353	124
Q9Y4H2	P24394	125
Q9Y4H2	P23458	126
Q9Y4H2	O60674	127
Q9Y4H2	Q06124	128
Q05397	P43405	129
Q05397	P29353	130
Q05397	P61073	131
Q05397	Q06124	132
Q05397	Q9Y6Q9	133
Q16695	P42226	134
Q16695	P29353	135
Q16695	Q06124	136
O15524	P31785	137
O15524	P52333	138
O15524	Q04206	139
O15524	P35568	140
O15524	P24394	141
O15524	Q9Y4H2	142
O15524	P42226	143
O15524	P23458	144
O15524	P78552	145
O15524	O60674	146
Q04206	P15336	147
Q04206	P42226	148
Q04206	Q92793	149
Q04206	P19838	150
Q04206	O15524	151
Q04206	Q09472	152
Q04206	P61073	153
Q04206	Q9Y6Q9	154
Q04206	SNK	155
P49715	P42226	156
P49715	P17676	157
P49715	P15336	158
P49715	SNK	159
P17676	P42226	160
P17676	P49715	161
P17676	P19838	162
P17676	SNK	163
P19838	P15336	164
P19838	P42226	165
P19838	Q04206	166
P19838	P17676	167
P19838	SNK	168
Q7KZF4	Q92793	169
Q7KZF4	P42226	170
Q7KZF4	SNK	171
P14921	P42226	172
P14921	SNK	173
Q9Y6Q9	P42226	174
Q9Y6Q9	Q92793	175
Q9Y6Q9	Q09472	176
Q9Y6Q9	Q05397	177
Q9Y6Q9	Q04206	178
Q9Y6Q9	SNK	179
Q92793	P15336	180
Q92793	P42226	181
Q92793	P19838	182
Q92793	Q7KZF4	183
Q92793	Q09472	184
Q92793	Q04206	185
Q92793	Q9Y6Q9	186
Q92793	SNK	187
Q09472	P15336	188
Q09472	P42226	189
Q09472	Q92793	190
Q09472	Q04206	191
Q09472	Q9Y6Q9	192
Q09472	SNK	193
P15336	Q04206	194
P15336	Q09472	195
P15336	P49715	196
P15336	P19838	197
P15336	Q92793	198
P15336	SNK	199
P31749	P19838	200
P31749	P43405	201
P31749	P15336	202
P31749	Q09472	203
P31749	Q04206	204
