negatives
"('Q2TAY7', 'Q9Y4Z0')"
"('Q01094', 'P35638')"
"('Q9Y371', 'Q13444')"
"('Q9NPI6', 'Q8IU60')"
"('Q7Z7J5', 'Q96BY2')"
"('Q9BX63', 'P40692')"
"('Q8IUC6', 'Q13077')"
"('Q99816', 'P04150')"
"('P54725', 'Q01831')"
"('Q14526', 'P51532')"
"('Q07020', 'P18621')"
"('O75400', 'Q9Y6X2')"
"('P30101', 'Q8N8Z6')"
"('P46779', 'P62945')"
"('Q92831', 'Q14186')"
"('Q96PK6', 'Q15633')"
"('P52292', '28938')"
"('P22626', 'Q00005')"
"('A0MZ66', 'Q96KG7')"
"('Q04864', 'Q15306')"
"('Q9BVI4', 'Q9Y2Q3')"
"('P17483', 'Q15853')"
"('O60551', 'P42574')"
"('Q9UII4', 'Q969T4')"
"('Q6P474', 'Q9HAW0')"
"('Q13185', 'Q96A47')"
"('O43175', 'Q16659')"
"('Q9UD71', 'Q96SB3')"
"('Q14031', 'P08514')"
"('P01781', 'P01857')"
"('P62136', 'Q8IZS8')"
"('P0CAP2', 'Q13574')"
"('P54819', 'P11171')"
"('Q13573', 'Q13561')"
"('Q9Y265', 'P49450')"
"('Q96A08', 'P04908')"
"('Q9UKV8', 'Q16531')"
"('P60484', 'Q03135')"
"('Q5UIP0', 'Q96E14')"
"('Q13191', 'Q96B97')"
"('P05455', 'Q9Y6D6')"
"('P54252', 'Q14CB8')"
"('O00206', 'P11226')"
"('P62380', 'P14921')"
"('Q8NEV4', 'P0CAP2')"
"('P12277', 'O15264')"
"('Q14197', 'Q96EL2')"
"('O95931', 'P51784')"
"('P57723', 'Q96PU8')"
"('Q9P031', 'P49662')"
"('P40429', 'P62899')"
"('Q9H2E6', 'Q9NZM3')"
"('P36575', 'Q96IT1')"
"('P18146', 'P15812')"
"('Q15428', 'Q15029')"
"('P51946', 'Q96JH8')"
"('Q02750', 'Q92934')"
"('Q96KP1', 'Q13573')"
"('P12318', 'P17931')"
"('P04141', 'Q14103')"
"('P54259', 'O75420')"
"('Q96CS2', 'Q9NVX0')"
"('Q04724', 'Q13620')"
"('P05121', 'P04004')"
"('Q8N1I0', 'Q07890')"
"('Q9C040', 'Q969T4')"
"('Q00005', 'P83731')"
"('P55211', 'P55210')"
"('P23508', 'Q6P1L8')"
"('P28222', 'Q9HAV0')"
"('P07900', 'O43765')"
"('P25685', 'Q53GL0')"
"('P01241', 'P40189')"
"('Q9BYX4', 'Q02556')"
"('O60258', 'P29317')"
"('Q8N7P3', 'Q07157')"
"('O94817', 'O75122')"
"('Q02833', 'Q8WWW0')"
"('Q13501', 'Q9H761')"
"('P51684', 'P52333')"
"('P40939', 'Q9H492')"
"('O95983', 'Q13573')"
"('Q13573', 'O00148')"
"('Q07020', 'Q9UKV8')"
"('P25054', 'Q9BVL2')"
"('Q8WW01', 'Q9NPD3')"
"('P00533', 'P51149')"
"('P00750', 'P07355')"
"('Q6ZUM4', 'P84095')"
"('Q16512', 'O60583')"
