#tail	head	KSP index
SRC	P00533	1
SRC	P40189	2
P00533	P31749	3
P00533	Q05397	4
P00533	P10275	5
P00533	P03372	6
P00533	P27986	7
P00533	Q03135	8
P00533	Q14192	9
P00533	P04406	10
P00533	P12956	11
P00533	O00459	12
P00533	P40763	13
P00533	P12931	14
P00533	Q9UKG1	15
P00533	P24385	16
P00533	P35222	17
P00533	P42574	18
P40189	P10275	19
P40189	P50750	20
P40189	P40763	21
P40189	P27986	22
P40189	O00459	23
P40189	P12931	24
P10275	P31749	25
P10275	P09874	26
P10275	P60763	27
P10275	P50750	28
P10275	O75925	29
P10275	Q12778	30
P10275	P16220	31
P10275	Q9UQ80	32
P10275	Q92793	33
P10275	O43294	34
P10275	Q9UKG1	35
P10275	P04150	36
P10275	P15336	37
P10275	P03372	38
P10275	P49116	39
P10275	Q15233	40
P10275	P05412	41
P10275	Q01196	42
P10275	Q9Y6X2	43
P10275	Q9Y618	44
P10275	Q03135	45
P10275	P84022	46
P10275	Q14192	47
P10275	P14859	48
P10275	P06400	49
P10275	P00533	50
P10275	P04406	51
P10275	P38398	52
P10275	P17844	53
P10275	Q92922	54
P10275	Q96ST3	55
P10275	Q9UER7	56
P10275	P27986	57
P10275	P12956	58
P10275	P35222	59
P10275	P40189	60
P10275	O00459	61
P10275	Q15788	62
P10275	Q8N2W9	63
P10275	P08047	64
P10275	Q13547	65
P10275	P40763	66
P10275	Q13772	67
P10275	P15884	68
P10275	Q9Y6Q9	69
P10275	Q13950	70
P10275	P49841	71
P10275	P24385	72
P10275	SNK	73
P50750	P10275	74
P50750	P06400	75
P50750	P40189	76
P40763	Q12778	77
P40763	P10275	78
P40763	P04150	79
P40763	P49116	80
P40763	P27986	81
P40763	P05412	82
P40763	Q14192	83
P40763	P00533	84
P40763	P38398	85
P40763	P17844	86
P40763	Q9UER7	87
P40763	P40189	88
P40763	O00459	89
P40763	Q15788	90
P40763	P08047	91
P40763	Q13547	92
P40763	P03372	93
P40763	Q13950	94
P40763	P24385	95
P40763	SNK	96
P27986	P31749	97
P27986	O00459	98
P27986	Q05397	99
P27986	P60763	100
P27986	P03372	101
P27986	P40763	102
P27986	P00533	103
P27986	P38398	104
P27986	P35222	105
P27986	P49841	106
O00459	P31749	107
O00459	Q05397	108
O00459	P60763	109
O00459	P27986	110
O00459	P00533	111
O00459	P40763	112
O00459	P49841	113
P12931	P31749	114
P12931	Q05397	115
P12931	P60763	116
