#tail	head	KSP index
SRC	P32927	1
SRC	P19235	2
SRC	P16871	3
SRC	P10721	4
SRC	Q92729	5
SRC	O00220	6
P32927	P42229	7
P32927	P31749	8
P32927	P52333	9
P32927	P08631	10
P32927	P07948	11
P32927	Q06124	12
P32927	P51692	13
P32927	P07332	14
P32927	P29353	15
P32927	O00459	16
P32927	P27986	17
P32927	O60674	18
P32927	P10721	19
P32927	P06241	20
P19235	P27986	21
P19235	P29353	22
P19235	O60674	23
P19235	P52333	24
P19235	P15498	25
P19235	P10721	26
P16871	P42229	27
P16871	P42224	28
P16871	P27986	29
P16871	P51692	30
P16871	P28482	31
P16871	P10721	32
P16871	O60674	33
P16871	P52333	34
P16871	P27361	35
P16871	P06241	36
P10721	P42229	37
P10721	P52333	38
P10721	P42224	39
P10721	P15498	40
P10721	Q99704	41
P10721	P07947	42
P10721	O14544	43
P10721	P07948	44
P10721	P51692	45
P10721	P07332	46
P10721	P29353	47
P10721	P06241	48
P10721	P46108	49
P10721	Q92729	50
P10721	Q8WXH5	51
P10721	P08631	52
P10721	P19174	53
P10721	P12931	54
P10721	P32927	55
P10721	O00459	56
P10721	O75159	57
P10721	P27986	58
P10721	Q06187	59
P10721	O15524	60
P10721	O60674	61
P10721	P19235	62
P10721	P46109	63
P10721	Q06124	64
P10721	P16871	65
P10721	O14492	66
Q92729	P27361	67
Q92729	P10721	68
O00220	Q06187	69
Q06187	P42229	70
Q06187	O00220	71
Q06187	P19174	72
Q06187	P10721	73
P42229	P42224	74
P42229	P32927	75
P42229	P46109	76
P42229	P46108	77
P42229	P51692	78
P42229	O00459	79
P42229	Q06187	80
P42229	P12931	81
P42229	P27986	82
P42229	Q06124	83
P42229	P16871	84
P42229	SNK	85
P19174	P31749	86
P19174	P15498	87
P19174	Q99704	88
P19174	P29353	89
P19174	P10721	90
P19174	O60674	91
P19174	P52333	92
P19174	Q06124	93
P19174	P00519	94
P19174	P12931	95
P19174	P06241	96
P52333	P42229	97
P52333	P42224	98
P52333	P51692	99
P52333	P07332	100
P52333	P19174	101
P52333	P27986	102
P52333	O00459	103
P52333	O60674	104
P52333	Q06124	105
P52333	P16871	106
P52333	P10721	107
P42224	P31749	108
P42224	O43524	109
P42224	P42229	110
P42224	Q06124	111
P42224	P51692	112
P42224	P10721	113
P42224	P12931	114
P42224	P16871	115
P42224	SNK	116
P15498	P00519	117
P15498	P46108	118
P15498	P28482	119
P15498	P19235	120
P15498	O15524	121
P15498	P27986	122
Q99704	P08631	123
Q99704	P07947	124
Q99704	P00519	125
Q99704	P07332	126
Q99704	P29353	127
Q99704	P46109	128
Q99704	P19174	129
Q99704	P12931	130
Q99704	O00459	131
Q99704	P10721	132
Q99704	P27986	133
Q99704	Q06124	134
P07947	Q99704	135
P07947	P00519	136
P07947	P10721	137
P07947	O60674	138
P07947	P06241	139
O14544	P42229	140
O14544	P52333	141
O14544	P42224	142
O14544	P51692	143
O14544	P19235	144
O14544	P10721	145
O14544	O60674	146
O14544	P16871	147
P07948	P10721	148
P07948	Q06187	149
P07948	Q99704	150
P07948	P27986	151
P07948	P32927	152
P07948	P29353	153
P07948	O00459	154
P07948	P27361	155
P07948	P19174	156
P07948	P00519	157
P51692	P42229	158
P51692	P42224	159
P51692	P32927	160
P51692	P46109	161
P51692	P46108	162
P51692	P16871	163
P51692	SNK	164
P07332	P32927	165
P07332	Q99704	166
P07332	P27986	167
P07332	O00459	168
P07332	P10721	169
P29353	O43524	170
P29353	O00459	171
P29353	P19235	172
P29353	O14492	173
P29353	Q99704	174
P29353	P46109	175
P29353	P27986	176
P29353	Q06124	177
P29353	P32927	178
P29353	P19174	179
P29353	P12931	180
