#tail	head	KSP index
SRC	P04626	1
SRC	P21860	2
SRC	P40189	3
SRC	P42702	4
SRC	Q99650	5
P04626	P23458	6
P04626	P42224	7
P04626	Q99650	8
P04626	Q14289	9
P04626	P27986	10
P04626	P40189	11
P04626	O60674	12
P04626	P21860	13
P04626	Q06124	14
P04626	P40763	15
P04626	P12931	16
P21860	P27986	17
P21860	P12931	18
P21860	P40189	19
P21860	O60674	20
P21860	P04626	21
P40189	P42224	22
P40189	P29597	23
P40189	P04626	24
P40189	P21860	25
P40189	P42702	26
P40189	Q99650	27
P40189	P40763	28
P40189	P27986	29
P40189	P12931	30
P40189	P23458	31
P40189	O60674	32
P40189	Q06124	33
P42702	P23458	34
P42702	O60674	35
P42702	P27986	36
P42702	Q06124	37
P42702	P29597	38
P42702	P40189	39
Q99650	P23458	40
Q99650	O60674	41
Q99650	P29597	42
Q99650	P04626	43
Q99650	P40189	44
P23458	P42224	45
P23458	P04049	46
P23458	Q99650	47
P23458	Q14289	48
P23458	P40763	49
P23458	P51692	50
P23458	P27986	51
P23458	O60674	52
P23458	Q06124	53
P23458	O14543	54
O60674	P42224	55
O60674	P04626	56
O60674	P21860	57
O60674	P51692	58
O60674	Q99650	59
O60674	P40763	60
O60674	P23458	61
O60674	P27986	62
O60674	Q06124	63
P29597	P42224	64
P29597	P51692	65
P29597	P40763	66
P29597	P27986	67
P29597	P04049	68
P29597	Q06124	69
P42224	P31749	70
P42224	Q06124	71
P42224	P42345	72
P42224	P51692	73
P42224	P40189	74
P42224	Q06413	75
P42224	Q04206	76
P42224	P04626	77
P42224	P01100	78
P42224	P40763	79
P42224	P12931	80
P42224	SNK	81
P40763	P18146	82
P40763	P42224	83
P40763	Q14289	84
P40763	P17275	85
P40763	P27986	86
P40763	Q06124	87
P40763	P42345	88
P40763	P40189	89
P40763	P04626	90
P40763	Q04206	91
P40763	P17676	92
P40763	P01100	93
P40763	P51692	94
P40763	SNK	95
P27986	P31749	96
P27986	P40763	97
P27986	Q14289	98
P27986	P42345	99
P27986	Q06124	100
P12931	P31749	101
P12931	Q14289	102
P12931	P27986	103
P12931	Q06124	104
P12931	P42224	105
P12931	P40189	106
P12931	P23458	107
P12931	P04049	108
P12931	P04626	109
P12931	P21860	110
P12931	P40763	111
Q06124	P42224	112
Q06124	O14543	113
Q06124	Q14289	114
Q06124	P27986	115
Q06124	P51692	116
Q06124	P40189	117
Q06124	P04626	118
Q06124	P42702	119
Q06124	P40763	120
Q06124	P12931	121
O14543	P42224	122
O14543	P29597	123
O14543	P51692	124
O14543	P42702	125
O14543	Q99650	126
O14543	P40763	127
O14543	P40189	128
O14543	P23458	129
O14543	O60674	130
O14543	Q06124	131
Q14289	P04626	132
Q14289	P40763	133
Q14289	P27986	134
Q14289	P12931	135
Q14289	P23458	136
Q14289	Q06124	137
P51692	P42224	138
P51692	P40763	139
P51692	SNK	140
P31749	P18146	141
P31749	P42224	142
P31749	Q09472	143
P31749	P04049	144
P31749	Q04206	145
P31749	P12931	146
P31749	P42345	147
P04049	P27986	148
P04049	P29597	149
P04049	P23458	150
P04049	Q04206	151
P04049	P12931	152
P18146	P31749	153
P18146	Q09472	154
P18146	P17676	155
P18146	SNK	156
P17275	P17535	157
P17275	P01100	158
P17275	SNK	159
P42345	P42224	160
P42345	P40763	161
P42345	P31749	162
Q04206	P18146	163
Q04206	P42224	164
Q04206	Q9Y6X2	165
Q04206	Q09472	166
Q04206	P01100	167
Q04206	P40763	168
Q04206	SNK	169
P17676	P40763	170
P17676	P18146	171
P17676	SNK	172
P01100	P42224	173
P01100	Q04206	174
P01100	Q09472	175
P01100	P17535	176
P01100	P17275	177
P01100	P40763	178
P01100	SNK	179
Q06413	Q09472	180
Q06413	P42224	181
Q06413	SNK	182
Q09472	P18146	183
Q09472	P42224	184
Q09472	P40763	185
Q09472	P51692	186
Q09472	Q9Y6X2	187
Q09472	Q06413	188
Q09472	Q04206	189
Q09472	P01100	190
Q09472	SNK	191
P17535	P17275	192
P17535	P01100	193
P17535	SNK	194
Q9Y6X2	P42224	195
Q9Y6X2	P51692	196
Q9Y6X2	Q09472	197
Q9Y6X2	P40763	198
Q9Y6X2	Q04206	199
Q9Y6X2	SNK	200
