negatives
"('P10809', 'P15104')"
"('Q9Y371', 'P08581')"
"('Q08211', 'P84103')"
"('Q15185', 'P01243')"
"('P55822', 'O94868')"
"('Q9ULV8', 'P07949')"
"('Q15669', 'Q12809')"
"('P41159', 'O43699')"
"('P29350', 'P61073')"
"('Q13394', 'Q13461')"
"('Q9UKB1', 'O15534')"
"('P52292', 'P29034')"
"('Q16637', 'Q5VU43')"
"('P15153', 'P45984')"
"('Q99835', 'Q15465')"
"('Q15389', 'P08581')"
"('Q96JF6', 'Q08379')"
"('Q12996', 'Q9UKF6')"
"('Q96ES7', 'Q9ULM3')"
"('Q9UIS9', 'Q13111')"
"('P10721', 'Q9ULZ2')"
"('Q9NVV9', 'P37198')"
"('Q13469', 'P05412')"
"('Q15303', 'P00519')"
"('O94776', 'Q13573')"
"('P62277', 'Q04206')"
"('P23443', 'P23588')"
"('O00463', 'P49069')"
"('P19838', 'Q8N163')"
"('P63104', 'O14757')"
"('Q8TC92', 'Q05516')"
"('P24522', 'P21246')"
"('P06241', 'P06865')"
"('P00519', 'O75326')"
"('Q16629', 'P35637')"
"('P45983', 'P28324')"
"('P21728', 'O95467')"
"('Q9GZQ8', 'Q16512')"
"('Q14767', 'P06241')"
"('P11387', 'P19525')"
"('Q14247', 'O15511')"
"('Q9BQI3', 'Q16236')"
"('P78527', 'O60583')"
"('Q13535', 'Q92575')"
"('P08708', 'P62851')"
"('Q9BRP4', 'P20073')"
"('P0CAP1', 'Q9NZD4')"
"('P62266', 'Q99873')"
"('Q9UJU6', 'P50570')"
"('Q9Y266', 'P56537')"
"('Q92900', 'O95793')"
"('P01106', 'Q8N8A6')"
"('Q9UJY4', 'Q15276')"
"('P49418', 'Q9UQ16')"
"('O00422', 'P09455')"
"('O95405', 'Q96RT1')"
"('Q9HCP0', 'Q9Y4X0')"
"('P19838', 'P78556')"
"('P04222', 'P43628')"
"('Q9UQ80', 'P56537')"
"('Q9NPF7', 'P08887')"
"('P54826', 'Q14623')"
"('Q9Y4G2', 'Q9Y3A3')"
"('P62993', 'Q07912')"
"('Q13415', 'Q96CS2')"
"('Q9Y478', 'P46781')"
"('Q14738', 'Q86US8')"
"('P05026', 'Q8IZ69')"
"('P13747', 'P43631')"
"('P25054', 'Q9UM11')"
"('Q13315', 'Q13427')"
"('O95273', 'Q9HCZ1')"
"('O43143', 'P19387')"
"('Q9Y4K3', 'Q14558')"
"('P59768', 'P42336')"
"('P62269', 'P62993')"
"('Q99623', 'P14923')"
"('Q15233', 'P49917')"
"('Q96PD4', 'Q96F46')"
"('P84101', 'P02774')"
"('Q8N392', 'Q07890')"
"('Q06187', 'Q9H204')"
"('P17931', 'P25445')"
