negatives
"('P15498', 'Q8IZP0')"
"('Q9P0V3', 'P25786')"
"('P20248', 'Q13616')"
"('P51955', 'Q14240')"
"('P17936', 'Q12789')"
"('O43929', 'Q14566')"
"('P30101', 'P01130')"
"('Q9H1D9', 'Q13523')"
"('P26441', 'Q05084')"
"('Q92574', 'P35241')"
"('O75694', 'P35658')"
"('Q13509', 'Q14155')"
"('O60733', 'P35354')"
"('P01889', 'P28482')"
"('P00519', 'O60244')"
"('P29459', 'Q08334')"
"('Q9BT22', 'P03372')"
"('Q8N6T7', 'Q9UKW6')"
"('P51587', 'Q86YC2')"
"('Q15788', 'P11474')"
"('Q5UIP0', 'Q92993')"
"('Q9UQM7', 'P42224')"
"('Q9NRR5', 'Q9NP55')"
"('Q12846', 'P63027')"
"('Q13315', 'P40763')"
"('Q13485', 'O14640')"
"('Q9Y243', 'P18848')"
"('Q15008', 'O60739')"
"('Q16659', 'Q9Y617')"
"('Q33E94', 'P48378')"
"('Q01201', 'Q00653')"
"('Q9BPU9', 'Q9Y283')"
"('P01589', 'O00329')"
"('Q07890', 'P29353')"
"('O75592', 'P49815')"
"('Q12772', 'Q01082')"
"('Q92569', 'P50570')"
"('P27824', 'O94966')"
"('O75056', 'P06241')"
"('O60925', 'Q99613')"
"('P84098', 'P62888')"
"('P35916', 'P42336')"
"('Q16254', 'O96017')"
"('Q99961', 'O43426')"
"('Q93009', 'O95503')"
"('Q16665', 'Q9H4L4')"
"('Q7Z6G3', 'P25786')"
"('P68402', 'Q9Y478')"
"('P40337', 'Q99595')"
"('P55854', 'Q8IVS2')"
"('O75582', 'Q7Z5J4')"
"('P62277', 'P08708')"
"('P01236', 'P17181')"
"('Q16821', 'Q13263')"
"('Q9UK32', 'P01111')"
"('Q16665', 'P53041')"
"('P26641', 'P07814')"
"('P02458', 'P31431')"
"('Q9UGI9', 'O75385')"
"('Q9UHD0', 'P01589')"
"('P42336', 'Q9UQC2')"
"('P35268', 'P39023')"
"('P10276', 'O95257')"
"('Q9BWF3', 'P55795')"
"('P61981', 'Q12778')"
"('Q9P1U1', 'P57088')"
"('P11532', 'P08727')"
"('Q8IY92', 'P01876')"
"('Q9HAW0', 'O60762')"
"('Q9BVJ6', 'P16870')"
"('Q14512', 'P09038')"
"('P49848', 'P18146')"
"('P31321', 'Q05469')"
"('P15927', 'P13051')"
"('P43628', 'Q31610')"
"('Q96RL1', 'Q6UWZ7')"
"('Q92730', 'Q9UDV6')"
"('P01857', 'P35658')"
"('P56945', 'Q15654')"
"('P05204', 'P16471')"
"('Q9NP97', 'P01889')"
"('O96000', 'O43676')"
"('P01889', 'O75390')"
"('P46695', 'P50591')"
"('P50150', 'O95467')"
"('O00217', 'P56556')"
"('Q9UGC6', 'P18146')"
"('O14964', 'Q9UJY5')"
"('P60484', 'Q8WZA2')"
"('Q96IP4', 'O95405')"
"('Q01201', 'Q07021')"
"('P62987', 'Q15797')"
"('Q13158', 'Q9HAV5')"
"('P42695', 'Q6IBW4')"
"('O95006', 'P38405')"
"('P10451', 'P24593')"
"('P32242', 'Q99750')"
"('Q9NWA0', 'Q9Y2R4')"
"('O00267', 'O14744')"
"('P49427', 'Q13309')"
"('Q13573', 'P51843')"
"('O14757', 'P67870')"
"('Q96ST3', 'P24385')"
"('P08107', 'O14920')"
"('P62834', 'Q96FS4')"
"('P67809', 'Q00577')"
"('P06733', 'Q9Y3M8')"
