negatives
"('P18846', 'Q9HBZ2')"
"('Q9HD45', 'Q9H1C4')"
"('Q99727', 'P03956')"
"('P42574', 'Q13077')"
"('Q9H2F5', 'Q9NV56')"
"('P62333', 'Q14164')"
"('P18031', 'P68400')"
"('Q9Y4K3', 'P12081')"
"('P42766', 'Q9HCK5')"
"('P51970', 'Q9Y6M9')"
"('Q969G6', 'P62820')"
"('Q9UPY3', 'P19525')"
"('Q6ZUJ8', 'P42338')"
"('P02533', 'Q15628')"
"('Q9UKK6', 'Q9Y478')"
"('Q9H2G2', 'O43918')"
"('P04222', 'Q14697')"
"('P18146', 'P48023')"
"('P49662', 'Q04323')"
"('P45983', 'O15264')"
"('P55774', 'P25024')"
"('Q13151', 'P61978')"
"('Q9BRR9', 'P08134')"
"('Q9Y2W2', 'O75554')"
"('P19174', 'P10636')"
"('P49841', 'P22492')"
"('P20333', 'Q13077')"
"('P28288', 'O75365')"
"('P16871', 'P28066')"
"('Q7Z444', 'P12980')"
"('Q9C0E2', 'P84022')"
"('Q9UJS0', 'Q8IY92')"
"('Q9NPI8', 'Q8NB91')"
"('Q08043', 'P62736')"
"('Q8N8V2', 'Q12972')"
"('Q8NB16', 'P40425')"
"('P01106', 'Q92947')"
"('Q8NFH5', 'O15504')"
"('Q9Y6M9', 'Q16795')"
"('P15923', 'P55036')"
"('Q16531', 'Q96BN2')"
"('Q14197', 'P08107')"
"('P42345', 'Q8TCU6')"
"('Q96BD5', 'O60711')"
"('Q07325', 'P27487')"
"('Q13191', 'O60504')"
"('O96009', 'Q12846')"
"('P07900', 'O00471')"
"('Q6XUX3', 'P50539')"
"('P33991', 'Q8WYH8')"
"('Q9NPF7', 'P42701')"
"('O14920', 'Q13077')"
"('P54819', 'Q9GZN1')"
"('Q8TAP4', 'Q96BR9')"
"('Q9Y4K3', 'O15264')"
"('Q6ZVK8', 'P49902')"
"('P01241', 'P50395')"
"('P19012', 'Q96GM5')"
"('P32121', 'Q9GZK7')"
"('P00533', 'P29317')"
"('A8MYU2', 'Q01668')"
"('Q13315', 'Q6ZU80')"
"('P39019', 'P62753')"
"('O76071', 'Q96T76')"
"('Q9UKT5', 'P63208')"
"('Q9HBH0', 'O96013')"
"('Q13257', 'O43684')"
"('P39748', 'P24941')"
"('P05067', 'Q53HV7')"
"('Q8TEW0', 'P41240')"
"('Q92922', 'P62993')"
"('Q9UQL6', 'Q9P0M6')"
"('Q86UA6', 'Q8IVM0')"
"('P62256', 'O94941')"
"('Q96KM6', 'Q13118')"
"('P25445', 'Q00653')"
"('Q9H0E3', 'O15265')"
"('P52630', 'O14508')"
"('P20309', 'Q9UBI6')"
"('P05026', 'Q9UMN6')"
"('Q99459', 'Q13813')"
"('P08571', 'Q9NYK1')"
"('Q13617', 'O15524')"
"('P16152', 'P60520')"
"('Q9P2S5', 'P62280')"
