negatives
"('Q99880', 'P01106')"
"('P37198', 'Q71F23')"
"('Q6ZU52', 'O60925')"
"('O94829', 'Q9UBX2')"
"('Q7KZF4', 'O00571')"
"('Q9H0R8', 'Q09028')"
"('Q9NRR8', 'O95931')"
"('Q9BUH8', 'Q9NTW7')"
"('P07196', 'Q8IYE1')"
"('P20936', 'Q03135')"
"('O60262', 'P25116')"
"('Q16890', 'Q13547')"
"('Q9H4L7', 'P04629')"
"('Q9H160', 'Q9HCU9')"
"('Q07890', 'P61587')"
"('P42574', 'Q676U5')"
"('P12318', 'Q9UMX0')"
"('Q92830', 'Q15185')"
"('P04629', 'P60174')"
"('Q8TF46', 'P16104')"
"('Q14839', 'Q12873')"
"('Q8TEH3', 'Q9NQT8')"
"('P0DMV9', 'Q9NYB0')"
"('Q96SQ5', 'Q9BZW7')"
"('P31946', 'O96013')"
"('Q9UMX0', 'P02814')"
"('P15880', 'P49207')"
"('Q9UMS4', 'Q9H9Z2')"
"('Q02543', 'Q92731')"
"('O75815', 'P15170')"
"('P09651', 'Q9BY32')"
"('P49721', 'Q99460')"
"('Q8TAP6', 'O15078')"
"('Q9P0U4', 'Q96Q07')"
"('Q15637', 'Q99613')"
"('Q05209', 'P19022')"
"('Q96LJ8', 'Q5T447')"
"('P01106', 'P57081')"
"('Q6PJQ5', 'O75529')"
"('P23284', 'Q9NZ45')"
"('Q8N8Y2', 'P15313')"
"('P47755', 'Q8IY63')"
"('Q96LA8', 'P62805')"
"('P12956', 'P46531')"
"('P40227', 'O43542')"
"('Q86X19', 'Q9NUP9')"
"('P25490', 'Q96PU4')"
"('Q96GG9', 'Q9UPQ9')"
"('P49848', 'Q8WTS6')"
"('P28072', 'P60900')"
"('P15336', 'P16581')"
"('P11229', 'Q9HAV0')"
"('P17612', 'Q8NGC0')"
"('Q96K76', 'Q6P996')"
"('O43765', 'O43508')"
"('Q8WXB1', 'Q9Y250')"
"('P28331', 'P61020')"
"('P49815', 'Q99750')"
"('P0DMV8', 'Q9NZC7')"
"('Q96IX5', 'Q96FW1')"
"('Q86UD4', 'P84022')"
"('Q9BY76', 'P28749')"
"('Q0VD86', 'Q9BSY4')"
"('Q9BYC2', 'Q9Y697')"
"('P12830', 'P49327')"
"('Q9H1Y0', 'P00492')"
"('Q9H8Y8', 'Q52LJ0')"
"('P01112', 'P53779')"
"('Q5TC82', 'P46782')"
"('Q9Y3E0', 'Q969G5')"
"('O15350', 'Q6EMB2')"
"('P07437', 'P12830')"
"('P04275', 'P08648')"
"('P49917', 'P68036')"
