#tail	head	KSP index
SRC	P00533	1
SRC	P29323	2
SRC	P04626	3
SRC	P23229	4
SRC	P16144	5
SRC	P08581	6
SRC	Q04912	7
P00533	Q13882	8
P00533	P20936	9
P00533	O95155	10
P00533	P10275	11
P00533	P23229	12
P00533	Q07890	13
P00533	P04626	14
P00533	P15498	15
P00533	P78527	16
P00533	P08581	17
P00533	P05067	18
P00533	P62979	19
P00533	P53350	20
P00533	P12931	21
P00533	P07900	22
P00533	P49023	23
P00533	P16144	24
P29323	P12931	25
P29323	P00519	26
P29323	P16144	27
P29323	P20936	28
P04626	P58340	29
P04626	P15498	30
P04626	Q13882	31
P04626	P20936	32
P04626	P07900	33
P04626	P62979	34
P04626	P23229	35
P04626	P00533	36
P04626	Q07890	37
P04626	P16144	38
P04626	P00519	39
P04626	P12931	40
P23229	P05067	41
P23229	P49023	42
P23229	Q07890	43
P23229	P04626	44
P23229	P00533	45
P23229	P16144	46
P23229	P12931	47
P16144	P78527	48
P16144	P49023	49
P16144	P84022	50
P16144	P23229	51
P16144	P00533	52
P16144	P04626	53
P16144	P12931	54
P08581	Q13882	55
P08581	P20936	56
P08581	P07900	57
P08581	Q96S59	58
P08581	P00533	59
P08581	Q04912	60
P08581	P16144	61
P08581	Q07890	62
P08581	P12931	63
Q04912	P53350	64
Q04912	P07900	65
Q04912	P08581	66
P53350	O15350	67
P53350	P05067	68
P53350	P00533	69
P53350	Q04912	70
P07900	Q13882	71
P07900	P10275	72
P07900	P04626	73
P07900	P08581	74
P07900	P05067	75
P07900	P00533	76
P07900	P12931	77
P07900	Q04912	78
P07900	P00519	79
Q13882	P05067	80
Q13882	P49023	81
Q13882	P10275	82
Q13882	P04626	83
Q13882	P07900	84
Q13882	P00533	85
Q13882	P08581	86
P20936	P08581	87
P20936	P05067	88
P20936	P49023	89
P20936	P10275	90
P20936	P12931	91
P20936	Q07890	92
P20936	P04626	93
P20936	P00519	94
Q96S59	P08581	95
Q96S59	P05067	96
Q96S59	P84022	97
Q96S59	P10275	98
Q96S59	O15350	99
Q07890	P23229	100
Q07890	P00519	101
Q07890	P12931	102
P12931	P20936	103
P12931	P10275	104
P12931	Q07890	105
P12931	P04626	106
P12931	P05067	107
P12931	P00533	108
P12931	P07900	109
P12931	P49023	110
P12931	P29323	111
P12931	P00519	112
P10275	Q13882	113
P10275	P20936	114
P10275	Q07890	115
P10275	P15498	116
P10275	P78527	117
P10275	P00533	118
P10275	Q96S59	119
P10275	P49023	120
P10275	P84022	121
P10275	P00519	122
P10275	SNK	123
P05067	P20936	124
P05067	P62979	125
P05067	P07900	126
P05067	P23229	127
P05067	P00533	128
P05067	P53350	129
P05067	P84022	130
P05067	Q13882	131
P05067	P12931	132
P05067	Q96S59	133
P49023	P20936	134
P49023	P10275	135
P49023	P23229	136
P49023	P00533	137
P49023	P16144	138
P00519	P20936	139
P00519	P10275	140
P00519	Q07890	141
P00519	P04626	142
P00519	P15498	143
P00519	P08581	144
P00519	P05067	145
P00519	P53350	146
P00519	P00533	147
P00519	P78527	148
P00519	P07900	149
P00519	P49023	150
P00519	P29323	151
P00519	O15350	152
P00519	SNK	153
P15498	P10275	154
P15498	P00533	155
P15498	P04626	156
P78527	P07900	157
P78527	P10275	158
P78527	P16144	159
P78527	P00519	160
O15350	P58340	161
O15350	Q96S59	162
O15350	P62979	163
O15350	P84022	164
O15350	SNK	165
P58340	P04626	166
P58340	O15350	167
P62979	P04626	168
P62979	P05067	169
P62979	P00533	170
P62979	O15350	171
P84022	P10275	172
P84022	P05067	173
P84022	Q96S59	174
P84022	P16144	175
P84022	O15350	176
O95155	P00533	177
O95155	O15350	178
