#tail	head	KSP index
SRC	P00533	1
SRC	P40189	2
P00533	P54577	3
P00533	Q9UQF2	4
P00533	Q68CZ2	5
P00533	P40938	6
P00533	P20936	7
P00533	P42684	8
P00533	P18031	9
P00533	Q8TDI0	10
P00533	P04075	11
P00533	P61978	12
P00533	Q99933	13
P00533	Q05397	14
P00533	P06748	15
P00533	Q9UBB6	16
P00533	Q00535	17
P00533	Q12933	18
P00533	P02545	19
P00533	Q8N163	20
P00533	Q13885	21
P00533	P10275	22
P00533	Q14192	23
P00533	P18074	24
P00533	P40763	25
P00533	P15498	26
P00533	P08631	27
P00533	P35222	28
P00533	P04150	29
P00533	P13010	30
P00533	P03372	31
P00533	P12830	32
P00533	P12956	33
P00533	P09874	34
P40189	P08631	35
P40189	P15498	36
P40189	P10275	37
P40189	P12830	38
P40189	P40763	39
P08631	P20936	40
P08631	P42684	41
P08631	P61978	42
P08631	Q05397	43
P08631	P10275	44
P08631	Q92793	45
P08631	Q14192	46
P08631	P00533	47
P08631	P35222	48
P08631	P40189	49
P08631	P40763	50
P15498	P13010	51
P15498	P10275	52
P15498	P00533	53
P15498	P61978	54
P15498	P12956	55
P15498	P40189	56
P15498	P05412	57
P10275	P20936	58
P10275	Q13889	59
P10275	Q13888	60
P10275	P42684	61
P10275	Q99933	62
P10275	Q08117	63
P10275	Q14192	64
P10275	P06400	65
P10275	P18074	66
P10275	P17844	67
P10275	Q96EB6	68
P10275	P40763	69
P10275	P15884	70
P10275	P15498	71
P10275	Q9UBS8	72
P10275	P48552	73
P10275	Q15466	74
P10275	P15336	75
P10275	P13984	76
P10275	Q9UQ80	77
P10275	O43294	78
P10275	O95238	79
P10275	Q9Y618	80
P10275	P08631	81
P10275	P00533	82
P10275	Q92922	83
P10275	Q9UER7	84
P10275	P35222	85
P10275	Q13772	86
P10275	Q05066	87
P10275	Q15788	88
P10275	Q96ST3	89
P10275	Q9Y6Q9	90
P10275	P19447	91
P10275	Q13950	92
P10275	P35869	93
P10275	P09874	94
P10275	Q9Y6X2	95
P10275	P78317	96
P10275	O75928	97
P10275	O75925	98
P10275	P35269	99
P10275	Q12778	100
P10275	P16220	101
P10275	Q92793	102
P10275	P04150	103
P10275	P49715	104
P10275	P82094	105
P10275	P13010	106
P10275	Q15637	107
P10275	P38398	108
P10275	Q14686	109
P10275	Q8IXH7	110
P10275	P40189	111
P10275	P41161	112
P10275	Q9NYW8	113
P10275	P08047	114
