#tail	head	KSP index
SRC	P21854	1
P21854	P62993	2
P21854	Q96BA8	3
P62993	P68366	4
P62993	Q8WX92	5
P62993	P18031	6
P62993	P06748	7
P62993	P24928	8
P62993	P46108	9
P62993	Q9UHB6	10
P62993	P16298	11
P62993	P10275	12
P62993	P42858	13
P62993	O15156	14
P62993	P06400	15
P62993	P45984	16
P62993	P21854	17
P62993	P43403	18
P62993	P14317	19
Q96BA8	P15336	20
Q96BA8	P21854	21
P15336	Q96BA8	22
P15336	P25963	23
P15336	P16220	24
P15336	P10275	25
P15336	P53539	26
P15336	P17275	27
P15336	P05412	28
P15336	P18031	29
P15336	P06400	30
P15336	P01100	31
P15336	SNK	32
P25963	P24928	33
P25963	O14920	34
P25963	P15336	35
P25963	Q9Y6K9	36
P25963	P05412	37
P25963	SNK	38
P16220	P24928	39
P16220	P78347	40
P16220	P10275	41
P16220	P42858	42
P16220	P15336	43
P16220	Q13469	44
P16220	P01100	45
P16220	P05412	46
P16220	SNK	47
P10275	P06400	48
P10275	P62993	49
P10275	P15336	50
P10275	Q12778	51
P10275	P16220	52
P10275	P46108	53
P10275	P05412	54
P53539	P17275	55
P53539	P15336	56
P53539	P01100	57
P53539	P05412	58
P53539	SNK	59
P17275	P53539	60
P17275	P01100	61
P17275	P06748	62
P17275	P41182	63
P17275	Q13469	64
P17275	P05412	65
P17275	P15336	66
P17275	SNK	67
P05412	P78347	68
P05412	P10275	69
P05412	P01100	70
P05412	O14920	71
P05412	P68366	72
P05412	P16298	73
P05412	P17275	74
P05412	Q12968	75
P05412	Q9Y6K9	76
P05412	P41182	77
P05412	P15336	78
P05412	P16220	79
P05412	P18031	80
P05412	P06400	81
P05412	P06748	82
P05412	P25963	83
P05412	Q8WX92	84
P05412	Q13469	85
P05412	P53539	86
P05412	SNK	87
P18031	P62993	88
P18031	P25963	89
P18031	P15336	90
P18031	P46108	91
P18031	P05412	92
P06400	P62993	93
P06400	Q12778	94
P06400	P15336	95
P06400	P10275	96
P06400	Q13469	97
P06400	P05412	98
P06400	P45984	99
P06400	P06748	100
P06400	P01100	101
P06400	SNK	102
P01100	Q9Y6K9	103
P01100	P24928	104
P01100	P16220	105
P01100	P15336	106
P01100	Q8WX92	107
P01100	P17275	108
P01100	Q13469	109
P01100	P05412	110
P01100	P06400	111
P01100	P53539	112
P01100	SNK	113
Q9Y6K9	P25963	114
Q9Y6K9	Q9UHB6	115
Q9Y6K9	P14317	116
Q9Y6K9	P42858	117
Q9Y6K9	P01100	118
Q9Y6K9	O14920	119
Q9Y6K9	P05412	120
Q9Y6K9	SNK	121
P24928	P62993	122
P24928	P25963	123
P24928	P16220	124
P24928	Q8WX92	125
P24928	P78347	126
P24928	P01100	127
Q8WX92	P01100	128
Q8WX92	P24928	129
Q8WX92	P62993	130
Q8WX92	P05412	131
Q13469	P16220	132
Q13469	P17275	133
Q13469	P05412	134
Q13469	P06400	135
Q13469	P45984	136
Q13469	P01100	137
Q13469	SNK	138
P78347	P24928	139
P78347	P05412	140
P78347	SNK	141
O14920	P25963	142
O14920	Q9Y6K9	143
O14920	Q12778	144
O14920	P05412	145
O14920	P01100	146
O14920	P42858	147
O14920	SNK	148
P68366	P62993	149
P68366	P43403	150
P68366	P05412	151
P16298	P62993	152
P16298	Q12968	153
P16298	Q13469	154
P16298	P05412	155
Q12968	P05412	156
Q12968	SNK	157
P41182	O15156	158
P41182	P17275	159
P41182	P05412	160
P41182	SNK	161
P06748	P17275	162
P06748	P06400	163
P06748	P62993	164
P06748	P05412	165
P45984	P62993	166
P45984	P15336	167
P45984	P46108	168
P45984	P06400	169
P45984	P17275	170
P45984	Q13469	171
P45984	P05412	172
P45984	P19419	173
P45984	P53539	174
P45984	P01100	175
P45984	Q12968	176
P45984	Q12778	177
P46108	P18031	178
P46108	P10275	179
P46108	P62993	180
P46108	P43403	181
P46108	P45984	182
P46108	P19419	183
P19419	P45984	184
P19419	P46108	185
P19419	SNK	186
Q12778	P10275	187
Q12778	P06400	188
Q12778	SNK	189
Q9UHB6	P62993	190
Q9UHB6	Q9Y6K9	191
P42858	Q9Y6K9	192
P42858	P62993	193
P42858	O14920	194
P42858	P16220	195
O15156	P62993	196
O15156	P41182	197
P43403	Q9H6Q3	198
P43403	P68366	199
P43403	P62993	200
P43403	P46108	201
P14317	P62993	202
P14317	Q9Y6K9	203
P14317	SNK	204
Q9H6Q3	P43403	205
Q9H6Q3	SNK	206
