#tail	head	KSP index
SRC	P08138	1
SRC	P04629	2
SRC	Q16288	3
SRC	P10586	4
SRC	Q99523	5
P08138	P05067	6
P08138	Q9Y4K3	7
P08138	P04629	8
P08138	Q99523	9
P04629	Q9NQT8	10
P04629	P62805	11
P04629	Q99523	12
P04629	Q9Y4K3	13
P04629	P10586	14
P04629	P78362	15
P04629	P28482	16
P04629	O75400	17
P04629	P67809	18
P04629	Q8TDN6	19
P04629	P08138	20
P04629	P35222	21
P04629	Q04917	22
P04629	Q16288	23
Q16288	P05067	24
Q16288	P04629	25
Q16288	P35222	26
P10586	O75400	27
P10586	O14654	28
P10586	P04629	29
P10586	P28482	30
P10586	P35222	31
Q99523	Q14653	32
Q99523	Q8TDN6	33
Q99523	P67809	34
Q99523	P78368	35
Q99523	P08138	36
Q99523	P04629	37
Q14653	Q9Y4K3	38
Q14653	Q99523	39
Q14653	Q92793	40
Q8TDN6	Q99523	41
Q8TDN6	P35222	42
Q8TDN6	P04629	43
P67809	Q99523	44
P67809	Q9Y4K3	45
P67809	P78362	46
P67809	P28482	47
P67809	O75400	48
P67809	P04629	49
P67809	SNK	50
P78368	P05067	51
P78368	Q99523	52
P78368	P16220	53
Q9NQT8	P04629	54
Q9NQT8	Q6UUV9	55
P62805	P16220	56
P62805	P05067	57
P62805	P28482	58
P62805	Q92793	59
P62805	P04629	60
Q9Y4K3	P67809	61
Q9Y4K3	P04629	62
Q9Y4K3	P08138	63
Q9Y4K3	P28482	64
Q9Y4K3	Q14653	65
Q9Y4K3	P05067	66
P78362	P67809	67
P78362	P04629	68
P78362	P05067	69
P78362	Q6UUV9	70
P28482	P67809	71
P28482	P62805	72
P28482	P04629	73
P28482	P16220	74
P28482	Q92793	75
P28482	P10586	76
O75400	P67809	77
O75400	P10586	78
O75400	P04629	79
P35222	Q8TDN6	80
P35222	P05067	81
P35222	P16220	82
P35222	Q92793	83
P35222	Q16288	84
P35222	SNK	85
Q04917	O14654	86
Q04917	P04629	87
Q04917	Q6UUV9	88
P05067	P78362	89
P05067	P62805	90
P05067	Q9Y4K3	91
P05067	P35222	92
P05067	P08138	93
P05067	P16220	94
P05067	P78368	95
P05067	Q16288	96
P16220	P05067	97
P16220	Q6UUV9	98
P16220	P35222	99
P16220	Q92793	100
P16220	P62805	101
P16220	SNK	102
Q92793	P62805	103
Q92793	Q6UUV9	104
Q92793	P35222	105
Q92793	P16220	106
Q6UUV9	Q04917	107
Q6UUV9	P16220	108
Q6UUV9	Q92793	109
Q6UUV9	P78362	110
Q6UUV9	Q9NQT8	111
Q6UUV9	SNK	112
O14654	Q04917	113
