#tail	head	KSP index
SRC	P34998	1
SRC	Q13324	2
P34998	O95467	3
P34998	P04899	4
P34998	Q5JWF2	5
P34998	P0DP23	6
P34998	P32121	7
Q13324	P05067	8
P05067	P31749	9
P05067	O60573	10
P05067	P60520	11
P05067	P37231	12
P05067	Q7Z3K3	13
P05067	O14964	14
P05067	Q13324	15
P05067	P35222	16
P05067	O96017	17
P05067	O95467	18
P31749	P22736	19
P31749	P0DP23	20
P31749	Q04206	21
P31749	P37231	22
P31749	P05067	23
P31749	P35222	24
P31749	P19838	25
P31749	P03372	26
P31749	P32121	27
O60573	P05067	28
O60573	P15884	29
P60520	P05067	30
P60520	Q13263	31
P60520	P19838	32
P37231	P31749	33
P37231	P05067	34
P37231	Q15596	35
P37231	P19838	36
P37231	Q04206	37
P37231	P35222	38
P37231	P15884	39
Q7Z3K3	P05067	40
Q7Z3K3	O60806	41
Q7Z3K3	O14964	42
O14964	P05067	43
O14964	O60806	44
O14964	Q7Z3K3	45
O14964	P32121	46
P35222	P03372	47
P35222	P22736	48
P35222	Q04206	49
P35222	P15884	50
P35222	P37231	51
P35222	P05067	52
P35222	P19838	53
P35222	Q15596	54
P35222	SNK	55
O96017	P05067	56
O96017	P22736	57
O96017	Q9Y265	58
O96017	Q13263	59
O96017	Q5JWF2	60
O96017	O95467	61
O95467	Q9Y265	62
O95467	O96017	63
O95467	P0DP23	64
O95467	Q5JWF2	65
Q9Y265	Q5JWF2	66
Q9Y265	P19838	67
Q9Y265	P03372	68
Q9Y265	O96017	69
Q9Y265	O95467	70
Q9Y265	P35222	71
Q9Y265	Q04206	72
P0DP23	P31749	73
P0DP23	P34998	74
P0DP23	Q04206	75
P0DP23	P15884	76
P0DP23	P03372	77
P0DP23	O95467	78
P0DP23	P32121	79
P0DP23	Q5JWF2	80
Q5JWF2	O96017	81
Q5JWF2	P34998	82
Q5JWF2	P19838	83
Q5JWF2	O95467	84
Q5JWF2	P0DP23	85
Q5JWF2	Q9Y265	86
P19838	P22736	87
P19838	P60520	88
P19838	Q04206	89
P19838	P35222	90
P19838	P03372	91
P19838	P37231	92
P19838	Q9Y265	93
P19838	Q5JWF2	94
P19838	SNK	95
P03372	P0DP23	96
P03372	Q04206	97
P03372	P35222	98
P03372	P04899	99
P03372	Q9Y265	100
P03372	Q15596	101
P03372	P19838	102
Q04206	P22736	103
Q04206	P0DP23	104
Q04206	P15884	105
Q04206	Q13263	106
Q04206	P35222	107
Q04206	P03372	108
Q04206	P37231	109
Q04206	Q9Y265	110
Q04206	SNK	111
P22736	Q15596	112
P22736	P19838	113
P22736	O96017	114
P22736	Q13263	115
P22736	O60806	116
P22736	Q04206	117
P22736	P35222	118
P22736	P15884	119
P22736	SNK	120
P15884	P37231	121
P15884	O60573	122
P15884	P0DP23	123
P15884	P22736	124
P15884	P35222	125
P15884	Q04206	126
P15884	SNK	127
Q13263	Q15596	128
Q13263	P22736	129
Q13263	P60520	130
Q13263	P32121	131
Q13263	Q04206	132
Q13263	SNK	133
Q15596	P22736	134
Q15596	P03372	135
Q15596	P35222	136
Q15596	Q13263	137
Q15596	P37231	138
Q15596	SNK	139
P32121	P31749	140
P32121	P34998	141
P32121	P0DP23	142
P32121	Q13263	143
P32121	O14964	144
O60806	O14964	145
O60806	P22736	146
O60806	Q7Z3K3	147
O60806	SNK	148
P04899	P03372	149
