negatives
"('Q8IYW5', 'P33176')"
"('P05067', 'Q6PEW1')"
"('Q93034', 'P61353')"
"('P22087', 'Q9UKV8')"
"('P54253', 'O15014')"
"('Q9NVV0', 'Q6NUS6')"
"('Q5S007', 'P20339')"
"('P46060', 'Q8TCS8')"
"('P20594', 'P08238')"
"('P02766', 'Q9HB58')"
"('P32298', 'O00574')"
"('P04899', 'P35414')"
"('P05412', 'P17482')"
"('Q6S5L8', 'P62993')"
"('P55072', 'Q96PD7')"
"('O75081', 'O00339')"
"('O43711', 'O60828')"
"('P35030', 'O00254')"
"('P48431', 'Q9H0H0')"
"('Q02978', 'Q9Y4G8')"
"('Q8TCQ1', 'P01911')"
"('P10768', 'Q8WUM4')"
"('Q86YD7', 'Q9Y5X3')"
"('Q8TCT0', 'P04629')"
"('Q9UI26', 'P43115')"
"('Q14653', 'P01569')"
"('Q6NSJ5', 'Q92731')"
"('Q9NRD1', 'P25788')"
"('P21912', 'Q1KMD3')"
"('Q96SB3', 'P31749')"
"('P62736', 'P24844')"
"('P08397', 'Q8IUH5')"
"('P06493', 'O95251')"
"('P18754', 'P17542')"
"('P54652', 'P25788')"
"('Q14204', 'P01106')"
"('Q5T653', 'Q13084')"
"('Q96GM8', 'Q02539')"
"('Q7L5N1', 'O94889')"
"('Q96CW5', 'P05109')"
"('Q13616', 'O76021')"
"('P50150', 'P45984')"
"('P13804', 'Q14999')"
"('P78524', 'P00519')"
"('P62191', 'Q5THJ4')"
"('O95819', 'P36873')"
"('P31321', 'Q9HC52')"
"('Q9Y4R8', 'Q9Y265')"
"('Q86WP2', 'Q3B820')"
"('Q86V42', 'Q8N5F7')"
"('P32969', 'Q08211')"
"('O95471', 'Q96AP7')"
"('Q96PY6', 'Q9BRX9')"
"('Q9UJ70', 'Q6UXN9')"
"('P04040', 'P00338')"
"('Q53SF7', 'Q9C073')"
"('Q96SR6', 'Q7Z569')"
"('Q2VPK5', 'P25963')"
"('P05109', 'P35240')"
"('P56134', 'Q9NVJ2')"
"('Q9BWJ5', 'Q96ES7')"
"('Q6FI13', 'P56524')"
"('Q8WZ82', 'P15924')"
"('P08631', 'P12318')"
"('A3KN83', 'Q9Y4E8')"
"('Q9BQY4', 'Q6ZRY4')"
"('O95602', 'Q13428')"
"('Q8N201', 'Q9UL03')"
"('Q16635', 'Q9H4F8')"
"('P14625', 'P27482')"
"('P02746', 'P02751')"
"('Q9NUT2', 'Q9BYZ2')"
"('Q9P244', 'P30305')"
"('Q7L190', 'P46459')"
"('Q96G25', 'Q9Y5B0')"
"('Q9H9S0', 'Q8NFD5')"
"('Q9H0B6', 'Q9HC77')"
"('Q96H55', 'Q9NYZ3')"
"('Q14999', 'P84077')"
"('P63279', 'Q9UHY7')"
"('P30566', 'P19838')"
