#tail	head	KSP index
SRC	Q9BWV1	1
SRC	Q4KMG0	2
SRC	Q13635	3
SRC	Q9Y6C5	4
SRC	P34741	5
SRC	Q99835	6
Q9BWV1	Q4KMG0	7
Q9BWV1	O75386	8
Q9BWV1	Q13635	9
Q9BWV1	P19022	10
Q9BWV1	Q9Y6C5	11
Q9BWV1	Q99835	12
Q9BWV1	P35222	13
Q4KMG0	P00519	14
Q4KMG0	Q9BWV1	15
Q4KMG0	Q13635	16
Q4KMG0	P19022	17
Q4KMG0	Q9Y6C5	18
Q4KMG0	P35222	19
Q13635	Q96MM7	20
Q13635	Q8IZ52	21
Q13635	P13612	22
Q13635	Q9H0M0	23
Q13635	Q9BWV1	24
Q13635	Q9UMR2	25
Q13635	P46934	26
Q13635	Q4KMG0	27
Q13635	Q14192	28
Q13635	P06493	29
Q13635	P98164	30
Q13635	Q99835	31
Q13635	P11021	32
Q9Y6C5	P49407	33
Q9Y6C5	P98164	34
Q9Y6C5	Q9BWV1	35
Q9Y6C5	Q99835	36
Q9Y6C5	Q4KMG0	37
P34741	P54252	38
P34741	Q15717	39
P34741	P10242	40
P34741	P17252	41
P34741	P19784	42
Q99835	P32121	43
Q99835	P49407	44
Q99835	Q9UMX1	45
Q99835	P22694	46
Q99835	P17252	47
Q99835	P41182	48
Q99835	P46934	49
P32121	P68366	50
P32121	P31749	51
P32121	P08151	52
P32121	O14980	53
P32121	Q9NPJ6	54
P32121	O00159	55
P32121	P61981	56
P32121	P11021	57
P32121	O00505	58
P32121	P10070	59
P32121	P10071	60
P32121	Q9Y496	61
P32121	P49407	62
P32121	P46934	63
P32121	P19784	64
P32121	Q99835	65
P49407	P68366	66
P49407	P31749	67
P49407	P08151	68
P49407	Q9Y496	69
P49407	O00159	70
P49407	P32121	71
P49407	P18146	72
P49407	P61981	73
P49407	O00505	74
P49407	P63104	75
P49407	P10071	76
P49407	P10070	77
P49407	Q9Y6C5	78
P49407	P46934	79
P49407	P11021	80
P49407	Q99835	81
Q9UMX1	Q9Y297	82
Q9UMX1	O00422	83
Q9UMX1	Q9Y466	84
Q9UMX1	Q96ST3	85
Q9UMX1	P08151	86
Q9UMX1	O95157	87
Q9UMX1	P10070	88
Q9UMX1	P10071	89
Q9UMX1	SNK	90
P22694	P08151	91
P22694	O14980	92
P22694	P04629	93
P22694	P10070	94
P22694	P10071	95
P22694	P16220	96
P22694	Q92793	97
P22694	P08047	98
P17252	P10275	99
P17252	P04629	100
P17252	P61981	101
P17252	P34741	102
P17252	P63104	103
P17252	P10071	104
P17252	P35222	105
P17252	O75376	106
P17252	P16220	107
P17252	Q14160	108
P17252	Q15717	109
P41182	O75586	110
P41182	Q92793	111
P41182	Q93009	112
P41182	Q96ST3	113
P41182	P35222	114
P41182	Q99835	115
P41182	O75376	116
P46934	P31749	117
P46934	P49407	118
P46934	P32121	119
P46934	Q13635	120
P46934	P12757	121
P46934	Q99835	122
P46934	Q9Y297	123
P46934	P04629	124
