#tail	head	KSP index
SRC	P04626	1
SRC	P21860	2
SRC	P08887	3
SRC	P40189	4
P04626	P49005	5
P04626	P19022	6
P04626	P15498	7
P04626	P35354	8
P04626	Q15303	9
P04626	P42684	10
P04626	P43405	11
P04626	P23458	12
P04626	Q9UNE7	13
P04626	P42224	14
P04626	P07355	15
P04626	P29353	16
P04626	P12830	17
P04626	P40189	18
P04626	P21860	19
P04626	P40763	20
P04626	P12931	21
P21860	P0DMV8	22
P21860	P31749	23
P21860	P30450	24
P21860	P15498	25
P21860	P40189	26
P21860	Q15303	27
P21860	P42684	28
P21860	P43405	29
P21860	P69905	30
P21860	P10275	31
P21860	P07355	32
P21860	P08631	33
P21860	P12830	34
P21860	P29353	35
P21860	P23458	36
P21860	P04626	37
P21860	P12931	38
P08887	Q96JP5	39
P08887	P23458	40
P08887	P29353	41
P08887	P12931	42
P08887	P40763	43
P08887	P40189	44
P40189	P08631	45
P40189	P15498	46
P40189	P10275	47
P40189	P21860	48
P40189	P12830	49
P40189	P29353	50
P40189	P01100	51
P40189	P40763	52
P40189	P42224	53
P40189	P12931	54
P40189	P23458	55
P40189	P08887	56
P40189	P04626	57
P08631	P42684	58
P08631	P10275	59
P08631	Q92793	60
P08631	P29353	61
P08631	P40189	62
P08631	P21860	63
P08631	P40763	64
P08631	P12931	65
P15498	P10275	66
P15498	P43405	67
P15498	P40189	68
P15498	P05412	69
P15498	P04626	70
P15498	P21860	71
P10275	P42684	72
P10275	P40763	73
P10275	P15498	74
P10275	P43405	75
P10275	Q9UNE7	76
P10275	P08631	77
P10275	Q9UER7	78
P10275	Q15788	79
P10275	P0DMV8	80
P10275	Q9Y6X2	81
P10275	Q92793	82
P10275	P19838	83
P10275	P40189	84
P10275	P05412	85
P10275	P29353	86
P10275	P21860	87
P10275	P17676	88
P10275	SNK	89
P12830	P31749	90
P12830	P07355	91
P12830	P04626	92
P12830	Q09472	93
P12830	P12931	94
P12830	P0DMV8	95
P12830	P42224	96
P12830	Q92793	97
P12830	P40189	98
P12830	Q13547	99
P12830	P01100	100
P12830	P21860	101
P29353	P0DMV8	102
P29353	P10275	103
P29353	P07355	104
P29353	P40189	105
P29353	P12931	106
P01100	P0DMV8	107
P01100	P20823	108
P01100	P35354	109
P01100	Q13547	110
P01100	Q96JP5	111
P01100	P42224	112
P01100	Q92793	113
P01100	P12830	114
P01100	P05412	115
P01100	Q09472	116
P01100	P40189	117
P01100	Q15788	118
P01100	P40763	119
P01100	SNK	120
P40763	P20823	121
P40763	P30450	122
P40763	P42684	123
P40763	P43405	124
P40763	P42224	125
P40763	P10275	126
