#tail	head	KSP index
SRC	P46531	1
SRC	Q04721	2
SRC	Q9UM47	3
SRC	Q99466	4
P46531	P31749	5
P46531	Q96JC1	6
P46531	Q92585	7
P46531	Q8N9I9	8
P46531	Q9UKS7	9
P46531	Q9UJU2	10
P46531	Q14469	11
P46531	Q06587	12
P46531	Q9Y224	13
P46531	Q96JK9	14
P46531	Q9ULK4	15
P46531	Q13573	16
P46531	Q04721	17
P46531	Q5TA89	18
P46531	P51610	19
P46531	P25490	20
P46531	P19838	21
P46531	P84022	22
P46531	Q9UHF1	23
P46531	Q06413	24
P46531	Q06330	25
P46531	Q04206	26
P46531	Q969H0	27
P46531	Q86Y01	28
P46531	Q15797	29
P46531	Q13547	30
P46531	Q9UM47	31
Q04721	Q9UHF1	32
Q04721	Q06413	33
Q04721	Q96T58	34
Q04721	P46531	35
Q04721	Q86Y01	36
Q04721	Q15797	37
Q04721	Q92585	38
Q04721	Q06330	39
Q04721	Q8N9I9	40
Q04721	Q9H6Z9	41
Q04721	Q96JK9	42
Q04721	Q96ST3	43
Q9UM47	Q9UHF1	44
Q9UM47	Q04206	45
Q9UM47	P16333	46
Q9UM47	P46531	47
Q9UM47	P78545	48
Q9UM47	P04629	49
Q9UM47	Q86Y01	50
Q9UM47	P19838	51
Q9UM47	P01106	52
Q9UM47	Q06330	53
Q9UM47	Q8N9I9	54
Q9UM47	Q92585	55
Q9UM47	Q96JK9	56
Q9UM47	Q9H6Z9	57
Q9UM47	Q13573	58
Q99466	Q8N9I9	59
Q99466	Q9UHF1	60
Q99466	Q86Y01	61
Q99466	Q15369	62
Q99466	Q96JK9	63
Q99466	Q15796	64
Q99466	Q969H0	65
Q99466	Q92585	66
Q99466	P04637	67
Q99466	Q13485	68
Q99466	Q06330	69
Q99466	P84022	70
Q8N9I9	Q9BUZ4	71
Q9UHF1	P46531	72
Q9UHF1	Q04721	73
Q9UHF1	Q96GM5	74
Q9UHF1	Q99466	75
Q9UHF1	Q9UM47	76
Q86Y01	Q09472	77
Q86Y01	SNK	78
Q15369	Q03164	79
Q15369	Q04206	80
Q15369	Q99466	81
