#tail	head	KSP index
SRC	P04626	1
SRC	P21860	2
SRC	P40189	3
SRC	P42702	4
SRC	Q99650	5
P04626	P49005	6
P04626	P15498	7
P04626	P35354	8
P04626	Q13882	9
P04626	P15941	10
P04626	Q15303	11
P04626	P42684	12
P04626	P23458	13
P04626	P62993	14
P04626	P42224	15
P04626	Q99650	16
P04626	P00533	17
P04626	P29353	18
P04626	P12830	19
P04626	P04406	20
P04626	P52333	21
P04626	P40189	22
P04626	P21860	23
P04626	P00519	24
P04626	P40763	25
P04626	Q92569	26
P04626	P24385	27
P21860	P0DMV8	28
P21860	P31749	29
P21860	P30450	30
P21860	P15498	31
P21860	Q13882	32
P21860	P15941	33
P21860	P40189	34
P21860	Q15303	35
P21860	P42684	36
P21860	Q92569	37
P21860	P18146	38
P21860	P62993	39
P21860	P10275	40
P21860	P52333	41
P21860	P12830	42
P21860	P29353	43
P21860	P23458	44
P21860	P04626	45
P21860	P00519	46
P40189	P52333	47
P40189	P15498	48
P40189	P10275	49
P40189	P21860	50
P40189	P12830	51
P40189	P62993	52
P40189	P29353	53
P40189	P01100	54
P40189	Q92569	55
P40189	Q99650	56
P40189	P40763	57
P40189	P42224	58
P40189	P42702	59
P40189	P23458	60
P40189	P04626	61
P42702	O43172	62
P42702	Q92569	63
P42702	P23458	64
P42702	P62993	65
P42702	P52333	66
P42702	P40189	67
Q99650	P00533	68
Q99650	P23458	69
Q99650	P04406	70
Q99650	P29353	71
Q99650	P04626	72
Q99650	P52333	73
Q99650	P40189	74
P00533	Q13882	75
P00533	P42684	76
P00533	P61978	77
P00533	Q99933	78
P00533	P06748	79
P00533	P10275	80
P00533	P23458	81
P00533	P52333	82
P00533	P04626	83
P00533	P40763	84
P00533	P24385	85
P00533	P15498	86
P00533	P15941	87
P00533	Q92569	88
P00533	P63104	89
P00533	P04406	90
P00533	P0DMV8	91
P00533	P30450	92
P00533	P35354	93
P00533	P42224	94
P00533	P01100	95
P00533	Q15303	96
P00533	P62993	97
P00533	Q99650	98
P00533	P12830	99
P00533	P51692	100
P00533	P29353	101
P00533	P21860	102
P00533	P17676	103
P23458	P62993	104
P23458	P42684	105
P23458	P06748	106
P23458	Q92569	107
P23458	P42224	108
P23458	Q99650	109
P23458	P51692	110
P23458	P29353	111
P23458	P00519	112
P23458	P40763	113
P04406	P31749	114
P04406	P62993	115
P04406	Q99650	116
P04406	P10275	117
P04406	Q15303	118
P04406	P63104	119
P04406	P05412	120
P04406	P00533	121
P04406	Q09472	122
P04406	P06748	123
P04406	P04626	124
P29353	P0DMV8	125
P29353	P62993	126
P29353	P18146	127
