#tail	head	KSP index
SRC	Q9Y6Q6	1
SRC	Q9NZC2	2
Q9Y6Q6	Q9BYM8	3
Q9Y6Q6	Q13114	4
Q9Y6Q6	Q9UBU9	5
Q9Y6Q6	P08047	6
Q9Y6Q6	Q9Y4K3	7
Q9Y6Q6	Q14192	8
Q9Y6Q6	Q13546	9
Q9Y6Q6	Q9Y6K9	10
Q9Y6Q6	O14920	11
Q9NZC2	P43405	12
P43405	Q13114	13
P43405	P31749	14
P43405	P54274	15
P43405	Q9Y4K3	16
P43405	Q9UKV0	17
P43405	O15379	18
P43405	P05067	19
P43405	Q9NZC2	20
P43405	P08047	21
Q13114	Q9Y4K3	22
Q13114	P43405	23
Q13114	Q9Y6K9	24
Q13114	Q13546	25
Q13114	Q9Y6Q6	26
P31749	P54274	27
P31749	P43405	28
P31749	P25963	29
P31749	P15336	30
P31749	P05067	31
P31749	O75030	32
P31749	O15379	33
P31749	Q9Y6K9	34
P31749	P08047	35
P31749	O14920	36
P54274	P07900	37
P54274	P43405	38
P54274	P00519	39
Q9Y4K3	Q13114	40
Q9Y4K3	P31749	41
Q9Y4K3	Q14192	42
Q9Y4K3	Q9Y6K9	43
Q9Y4K3	P43405	44
Q9Y4K3	Q9BYM8	45
Q9Y4K3	P07900	46
Q9Y4K3	O14920	47
Q9Y4K3	Q01196	48
Q9Y4K3	P05067	49
Q9UKV0	O15379	50
Q9UKV0	P43405	51
Q9UKV0	P05412	52
Q9UKV0	P51532	53
O15379	P31749	54
O15379	Q9UKV0	55
O15379	P43405	56
O15379	P25963	57
O15379	P17947	58
O15379	P05412	59
O15379	Q01196	60
O15379	P29590	61
O15379	P08047	62
O15379	P51532	63
O15379	O95644	64
P05067	P31749	65
P05067	P07900	66
P05067	Q9BYM8	67
P05067	Q9Y4K3	68
P05067	O75030	69
P05067	P05412	70
P05067	Q14192	71
P05067	P15336	72
P05067	P43405	73
P08047	P07900	74
P08047	O15379	75
P08047	P01375	76
P08047	P05412	77
P08047	Q01196	78
P08047	Q14192	79
P08047	P29590	80
P08047	P43405	81
P08047	Q9UBU9	82
P08047	P00519	83
P08047	P51532	84
P08047	Q9Y6Q6	85
P07900	P31749	86
P07900	P54274	87
P07900	Q9Y4K3	88
P07900	P15336	89
P07900	P05067	90
P07900	Q9BYM8	91
P07900	P08047	92
P07900	Q13546	93
P07900	Q9Y6K9	94
P07900	O14920	95
P07900	P05412	96
P07900	P00519	97
P07900	Q9UBU9	98
P01375	Q9Y6K9	99
P01375	P25963	100
P01375	O14920	101
P01375	Q9BYM8	102
P01375	P08047	103
P01375	Q13546	104
P01375	O95644	105
P05412	P05067	106
P05412	P07900	107
P05412	P08047	108
