#tail	head	KSP index
SRC	P05556	1
SRC	P05106	2
SRC	P34741	3
SRC	P36897	4
SRC	P37173	5
P05556	P05162	6
P05556	P21926	7
P05556	P31749	8
P05556	P30101	9
P05556	Q9NVD7	10
P05556	P29317	11
P05556	P31946	12
P05556	P60033	13
P05556	Q15027	14
P05556	P27824	15
P05556	P55072	16
P05556	Q92569	17
P05556	O00716	18
P05556	Q96S59	19
P05556	P15336	20
P05556	P49023	21
P05556	P19320	22
P05556	P21333	23
P05556	P07948	24
P05556	P46109	25
P05556	P27986	26
P05556	P17931	27
P05556	P29353	28
P05556	P17301	29
P05556	Q15717	30
P05556	P56539	31
P05556	Q14192	32
P05556	P05129	33
P05556	P16070	34
P05556	P17612	35
P05556	P05771	36
P05556	P12830	37
P05556	P37173	38
P05556	Q02078	39
P05556	P08514	40
P05556	Q63HR2	41
P05556	P04629	42
P05556	O75369	43
P05556	Q13418	44
P05556	P67775	45
P05556	P12931	46
P05556	O43707	47
P05106	P08514	48
P05106	P17301	49
P05106	P56539	50
P05106	Q63HR2	51
P05106	P49023	52
P05106	P35968	53
P05106	P07237	54
P05106	P16234	55
P05106	P05129	56
P05106	O96013	57
P05106	P05771	58
P05106	P21333	59
P05106	P18031	60
P05106	P29353	61
P05106	P43405	62
P05106	O75369	63
P05106	P02671	64
P05106	P27361	65
P05106	P37173	66
P05106	P46109	67
P05106	P29317	68
P05106	Q13418	69
P05106	P17252	70
P05106	P12931	71
P05106	P35222	72
P05106	Q9NVD7	73
P05106	O43707	74
P34741	P54252	75
P34741	Q15717	76
P34741	P10242	77
P34741	P01137	78
P34741	O00257	79
P34741	P05129	80
P34741	P05771	81
P34741	P46379	82
P34741	P01009	83
P34741	P17252	84
P34741	O60506	85
P34741	P15311	86
P36897	Q9H0E2	87
P36897	Q9NYL2	88
P36897	P07900	89
P36897	P29317	90
P36897	Q96B97	91
P36897	O43318	92
P36897	P63151	93
P36897	Q9Y4K3	94
P36897	Q12931	95
P36897	Q9NPB6	96
P36897	Q96S59	97
P36897	Q9H0M0	98
P36897	P51784	99
P36897	P46531	100
P36897	Q13501	101
P36897	P12755	102
P36897	P12757	103
P36897	P09493	104
P36897	P63104	105
P36897	P27986	106
P36897	P68104	107
P36897	P84022	108
P36897	P16070	109
P36897	Q09472	110
P36897	P29353	111
P36897	Q13107	112
P36897	Q9UER7	113
P36897	Q13485	114
P36897	P98082	115
P36897	Q15717	116
P36897	O43541	117
P36897	Q15796	118
P37173	Q02447	119
P37173	Q93074	120
P37173	Q9Y4K3	121
P37173	P07900	122
P37173	P62993	123
P37173	P25208	124
P37173	Q96B97	125
P37173	O43318	126
P37173	Q92569	127
P37173	Q9NPB6	128
