#tail	head	KSP index
SRC	Q93038	1
Q93038	Q12933	2
Q93038	Q13546	3
Q12933	Q15311	4
Q12933	Q93009	5
Q12933	Q00653	6
Q12933	Q93038	7
Q12933	Q13546	8
Q13546	Q93038	9
Q13546	Q04206	10
Q13546	Q00653	11
Q04206	Q12933	12
Q04206	Q01201	13
Q04206	Q00653	14
Q04206	Q13547	15
Q04206	Q93009	16
Q04206	Q13546	17
Q04206	SNK	18
Q00653	Q13546	19
Q00653	Q01201	20
Q00653	Q13547	21
Q00653	Q04206	22
Q00653	Q12933	23
Q00653	SNK	24
Q01201	Q93009	25
Q01201	Q04206	26
Q01201	Q00653	27
Q01201	SNK	28
Q13547	Q15311	29
Q13547	Q04206	30
Q13547	Q00653	31
Q13547	Q93009	32
Q13547	SNK	33
Q15311	Q13547	34
Q15311	Q12933	35
Q93009	Q12933	36
Q93009	Q01201	37
Q93009	Q04206	38
Q93009	Q13547	39
