#tail	head	KSP index
SRC	Q9UP38	1
SRC	Q9ULW2	2
SRC	Q14332	3
SRC	Q9NPG1	4
SRC	Q13467	5
SRC	O75084	6
SRC	Q9H461	7
SRC	O00144	8
SRC	Q07954	9
SRC	O75197	10
SRC	O75581	11
SRC	Q01973	12
SRC	Q01974	13
SRC	P34925	14
Q9UP38	Q07954	15
Q9UP38	P06576	16
Q9UP38	P09471	17
Q9UP38	O75581	18
Q9UP38	Q08379	19
Q9UP38	O75487	20
Q9UP38	O14641	21
Q9UP38	O14640	22
Q9UP38	O75197	23
Q9UP38	Q92997	24
Q9UP38	P49841	25
Q9ULW2	P60410	26
Q9ULW2	A8MQ03	27
Q9ULW2	P09471	28
Q9ULW2	O75581	29
Q9ULW2	Q13467	30
Q9ULW2	O75487	31
Q9ULW2	O14641	32
Q9ULW2	O14640	33
Q9ULW2	O75197	34
Q9ULW2	Q92997	35
Q14332	Q6P5W5	36
Q14332	Q15884	37
Q14332	P40763	38
Q14332	P09471	39
Q14332	O75581	40
Q14332	O75487	41
Q14332	O14641	42
Q14332	O14640	43
Q14332	O75197	44
Q14332	Q92997	45
Q14332	Q01974	46
Q9NPG1	P27986	47
Q9NPG1	Q92997	48
Q9NPG1	P42336	49
Q9NPG1	P09471	50
Q9NPG1	O75581	51
Q9NPG1	O75487	52
Q9NPG1	O14641	53
Q9NPG1	O14640	54
Q9NPG1	O75197	55
Q9NPG1	P34925	56
Q13467	Q9HAC8	57
Q13467	P41220	58
Q13467	Q9NQ48	59
Q13467	Q9ULW2	60
Q13467	Q68DV7	61
Q13467	P09471	62
Q13467	Q5S007	63
Q13467	O75581	64
Q13467	O75487	65
Q13467	O14641	66
Q13467	O14640	67
Q13467	O75197	68
Q13467	Q92997	69
Q13467	P49841	70
Q13467	Q01974	71
O75084	Q9UHD9	72
O75084	Q96EQ0	73
O75084	P09471	74
O75084	O75581	75
O75084	O75487	76
O75084	O14641	77
O75084	O14640	78
O75084	O75197	79
O75084	Q92997	80
Q9H461	Q92997	81
Q9H461	Q9BXY4	82
Q9H461	P09471	83
Q9H461	O75581	84
Q9H461	O75487	85
Q9H461	O14641	86
Q9H461	O14640	87
Q9H461	O75197	88
Q9H461	P34925	89
O00144	P60369	90
O00144	P09471	91
O00144	O75581	92
O00144	Q8IUQ4	93
O00144	O75487	94
O00144	O14641	95
O00144	O14640	96
O00144	O75197	97
O00144	Q92997	98
Q07954	Q9NVN3	99
Q07954	Q13387	100
Q07954	Q15691	101
Q07954	Q13087	102
Q07954	P00533	103
Q07954	Q9UQF2	104
Q07954	Q92905	105
Q07954	P27824	106
Q07954	Q9UP38	107
Q07954	Q96S59	108
Q07954	P98082	109
Q07954	P61981	110
O75197	Q9NPG1	111
O75197	O75084	112
O75197	Q9ULV1	113
O75197	Q00604	114
O75197	Q9H461	115
O75197	P19022	116
O75197	O15198	117
O75197	O00144	118
O75197	Q9ULW2	119
O75197	P41212	120
O75197	Q13467	121
O75197	O14641	122
O75197	Q92997	123
O75197	Q9UP38	124
O75197	Q14332	125
O75197	P05412	126
O75197	P49841	127
O75197	O14640	128
O75581	Q9NPG1	129
O75581	O75084	130
O75581	Q9ULV1	131
O75581	P62979	132
O75581	P19022	133
O75581	O00144	134
O75581	Q9BXY4	135
O75581	P46940	136
O75581	Q13467	137
O75581	Q14332	138
O75581	Q9H461	139
O75581	Q9ULW2	140
O75581	Q5S007	141
O75581	P41212	142
O75581	O14640	143
O75581	O14641	144
O75581	Q92997	145
O75581	Q9UP38	146
O75581	P98082	147
O75581	P49841	148
O75581	P35222	149
Q01973	P05067	150
Q01973	P00533	151
Q01973	P40763	152
Q01973	P21860	153
Q01973	P19474	154
Q01974	O95416	155
Q01974	Q9UBU9	156
Q01974	O43741	157
Q01974	O14503	158
Q01974	P35548	159
Q01974	P04628	160
Q01974	P04629	161
Q01974	P31946	162
Q01974	P21333	163
Q01974	O14640	164
Q01974	O14641	165
Q01974	Q92997	166
Q01974	Q14332	167
Q01974	Q15038	168
Q01974	Q13467	169
P34925	Q15717	170
P34925	Q9UBU9	171
P34925	Q9Y6W5	172
P34925	P19022	173
P34925	P06493	174
P34925	P04628	175
P34925	P78527	176
P34925	P12004	177
P34925	Q9NPG1	178
P34925	P28482	179
P34925	Q9H461	180
P34925	P35222	181
P34925	P09874	182
P34925	O14640	183
Q15717	Q15365	184
Q15717	P41212	185
Q15717	P54760	186
Q15717	P04629	187
Q15717	P40763	188
Q15717	Q9H6Z4	189
Q15717	P31946	190
Q15717	Q6ZW49	191
Q15717	Q9UHD9	192
Q15717	P23769	193
Q15717	Q13363	194
Q15717	Q9NQ48	195
Q15717	Q15038	196
Q15717	P78527	197
Q15717	P61981	198
Q15717	P34925	199
Q15717	P49841	200
Q15717	P25490	201
Q15717	Q9NQB0	202
Q15717	P05412	203
Q15717	P09874	204
Q15717	P06576	205
Q15717	Q9UBE8	206
Q15717	Q13330	207
Q15717	Q13526	208
Q15717	P35222	209
Q15717	P15923	210
Q15717	Q92905	211
Q15717	P49137	212
Q15717	O14641	213
Q15717	Q504Q3	214
Q15717	O14503	215
Q15717	P46937	216
Q15717	P27824	217
Q15717	P41220	218
Q15717	P38398	219
Q9UBU9	Q01974	220
Q9UBU9	P46940	221
Q9UBU9	P40763	222
Q9UBU9	P49137	223
Q9UBU9	Q14498	224
Q9UBU9	P35222	225
Q9UBU9	P26373	226
Q9UBU9	P34925	227
Q9UBU9	O96019	228
Q9UBU9	P46937	229
Q9UBU9	O95817	230
Q9UBU9	Q9H6Z4	231
Q9UBU9	P05412	232
Q9UBU9	P09874	233
Q9UBU9	Q92997	234
Q9UBU9	Q92905	235
Q9Y6W5	P04629	236
Q9Y6W5	P34925	237
Q9Y6W5	Q5S007	238
Q9Y6W5	P15884	239
P19022	P04629	240
P19022	P00533	241
P19022	P46940	242
P19022	O75581	243
P19022	P34925	244
P19022	P14923	245
P19022	P35222	246
P19022	O75197	247
P06493	Q15365	248
P06493	P04629	249
P06493	Q13526	250
P06493	P05067	251
P06493	P00533	252
P06493	Q09472	253
P06493	P34925	254
P06493	P98082	255
P06493	P21333	256
P06493	P46937	257
P06493	P48431	258
P06493	P38398	259
P06493	P27824	260
P06493	P23769	261
P06493	O95817	262
P06493	O14745	263
P06493	P05412	264
P06493	Q15717	265
P06493	P12004	266
P04628	Q9NPG1	267
P04628	O75084	268
P04628	Q9ULV1	269
P04628	Q9H461	270
P04628	P46531	271
P04628	O00144	272
P04628	O75581	273
P04628	P34925	274
P04628	Q02962	275
P04628	Q9ULW2	276
P04628	Q9BXY4	277
P04628	Q13467	278
P04628	O75197	279
P04628	Q9UP38	280
P04628	Q14332	281
P04628	Q01974	282
P78527	P31749	283
P78527	P61981	284
P78527	O43741	285
P78527	O95817	286
P78527	P25490	287
P78527	Q13469	288
P78527	P05412	289
P78527	Q504Q3	290
P78527	Q09472	291
P78527	Q5S007	292
P78527	P09874	293
P78527	P46531	294
P78527	P31946	295
P78527	Q15717	296
P78527	P04629	297
P78527	P45983	298
P78527	Q92905	299
P78527	P34925	300
P78527	P49841	301
P78527	P12004	302
P12004	Q14258	303
P12004	P62979	304
P12004	P25054	305
P12004	P78527	306
P12004	P05412	307
P12004	Q09472	308
P12004	P04629	309
P12004	P38398	310
P12004	P06493	311
P12004	Q5S007	312
P12004	P09874	313
P12004	P45983	314
P12004	P34925	315
P28482	O75581	316
P28482	Q9Y6W5	317
P28482	P04629	318
