#tail	head	KSP index
SRC	P01133	1
SRC	P00533	2
SRC	P04626	3
SRC	P21860	4
SRC	Q8NFM7	5
SRC	P10586	6
P00533	P04626	7
P00533	P42224	8
P00533	Q92625	9
P00533	P16333	10
P00533	P42229	11
P00533	P51692	12
P00533	P28482	13
P00533	P21860	14
P00533	P22681	15
P00533	P01100	16
P00533	P27361	17
P00533	P40763	18
P00533	P12931	19
P04626	P42224	20
P04626	P00533	21
P04626	Q92625	22
P04626	P28482	23
P04626	P21860	24
P04626	P01106	25
P04626	P27361	26
P04626	P40763	27
P04626	P12931	28
P21860	P22681	29
P21860	P01106	30
P21860	P12931	31
P21860	P16333	32
P21860	P04626	33
P22681	P16333	34
P22681	P00533	35
P22681	P21860	36
P22681	Q07666	37
P22681	P01106	38
P22681	P12931	39
P01106	Q04206	40
P01106	P40763	41
P01106	P49715	42
P01106	P08047	43
P01106	Q15796	44
P01106	P84022	45
P01106	Q9Y6Q9	46
P01106	P05412	47
P01106	SNK	48
P12931	Q12778	49
P12931	P42229	50
P12931	Q07666	51
P12931	P42224	52
P12931	P04626	53
P12931	P21860	54
P12931	P40763	55
P12931	P08047	56
P12931	P22681	57
P12931	P00533	58
P16333	P08047	59
P16333	P21860	60
P16333	P22681	61
P42224	P42229	62
P42224	P51692	63
P42224	Q04206	64
P42224	P04626	65
P42224	Q13547	66
P42224	P01106	67
P42224	P01100	68
P42224	P40763	69
P42224	P12931	70
P42224	P00533	71
P42224	SNK	72
Q92625	P00533	73
Q92625	P04626	74
Q92625	SNK	75
P28482	Q15583	76
P28482	P01100	77
P28482	Q12778	78
P28482	P16220	79
P28482	P42224	80
P28482	P17535	81
P28482	P19838	82
P28482	O14901	83
P28482	P84022	84
P28482	P19419	85
P28482	P05412	86
P28482	Q04206	87
P28482	P28324	88
P28482	P98177	89
P28482	P01106	90
P28482	P27361	91
P28482	P40763	92
P28482	Q15796	93
P27361	P19419	94
P27361	Q15583	95
P27361	P01100	96
P27361	Q12778	97
P27361	P16220	98
P27361	P42224	99
P27361	P17535	100
P27361	P19838	101
P27361	P84022	102
P27361	Q15796	103
P27361	P28482	104
P27361	P05412	105
P27361	P28324	106
P27361	P98177	107
P27361	P01106	108
P27361	Q04206	109
P27361	P40763	110
P40763	Q12778	111
P40763	P42229	112
P40763	P42224	113
P40763	P19838	114
P40763	P05412	115
P40763	P00533	116
P40763	Q07666	117
P40763	P04626	118
P40763	P08047	119
P40763	P98177	120
P40763	Q04206	121
P40763	Q13547	122
P40763	P01106	123
P40763	P01100	124
P40763	P51692	125
P40763	SNK	126
Q12778	P49715	127
Q12778	P12931	128
Q12778	P84022	129
Q12778	SNK	130
P42229	P42224	131
P42229	P40763	132
P42229	P51692	133
P42229	P12931	134
P42229	P01106	135
P42229	SNK	136
Q07666	P22681	137
Q07666	Q15796	138
Q07666	P40763	139
Q07666	P12931	140
Q07666	SNK	141
P08047	P16333	142
P08047	P05412	143
P08047	Q04206	144
P08047	Q13547	145
P08047	P01106	146
P08047	P40763	147
P08047	P12931	148
P08047	SNK	149
P51692	P42229	150
P51692	P42224	151
P51692	P01106	152
P51692	P40763	153
P51692	SNK	154
P01100	P42224	155
P01100	Q04206	156
P01100	P17535	157
P01100	P00533	158
P01100	P40763	159
P01100	P05412	160
P01100	P16220	161
P01100	P84022	162
P01100	SNK	163
P19838	P05412	164
P19838	Q04206	165
P19838	Q13547	166
P19838	P40763	167
P19838	SNK	168
P05412	P01100	169
P05412	Q15583	170
P05412	P16220	171
P05412	P19838	172
P05412	P84022	173
P05412	P08047	174
P05412	Q04206	175
P05412	Q15796	176
P05412	P40763	177
P05412	SNK	178
P98177	P84022	179
P98177	SNK	180
Q04206	Q13547	181
Q04206	P42224	182
Q04206	P19838	183
Q04206	P05412	184
Q04206	Q9Y6X2	185
Q04206	P08047	186
Q04206	P01100	187
Q04206	P01106	188
Q04206	Q9Y6Q9	189
Q04206	P40763	190
Q04206	SNK	191
Q13547	Q9Y6X2	192
Q13547	Q15583	193
Q13547	P42224	194
Q13547	P19838	195
Q13547	O94776	196
Q13547	P84022	197
Q13547	P08047	198
Q13547	Q04206	199
Q13547	O14901	200
Q13547	Q15796	201
Q13547	P01106	202
Q13547	P40763	203
Q13547	SNK	204
P49715	P01106	205
P49715	Q12778	206
P49715	SNK	207
Q15796	P05412	208
Q15796	P84022	209
Q15796	Q07666	210
Q15796	P08047	211
Q15796	Q15583	212
Q15796	P01106	213
Q15796	Q13547	214
Q15796	SNK	215
P84022	Q9Y6X2	216
P84022	P01100	217
P84022	Q12778	218
P84022	P17535	219
P84022	P98177	220
P84022	P05412	221
P84022	P08047	222
P84022	Q13547	223
P84022	P01106	224
P84022	Q15796	225
P84022	SNK	226
Q9Y6Q9	Q04206	227
Q9Y6Q9	SNK	228
Q15583	Q15796	229
Q15583	Q13547	230
Q15583	P05412	231
Q15583	SNK	232
P16220	P05412	233
P16220	P01106	234
P16220	P01100	235
P16220	SNK	236
Q9Y6X2	P42229	237
Q9Y6X2	P42224	238
Q9Y6X2	P51692	239
Q9Y6X2	Q13547	240
Q9Y6X2	P40763	241
Q9Y6X2	Q04206	242
Q9Y6X2	P84022	243
Q9Y6X2	SNK	244
O94776	Q13547	245
O94776	SNK	246
O14901	Q13547	247
O14901	SNK	248
P17535	P01100	249
P17535	P84022	250
P17535	SNK	251
P19419	P28324	252
P19419	SNK	253
P28324	P19419	254
P28324	SNK	255
