negatives
"('P51681', 'Q92561')"
"('P01019', 'P62993')"
"('P40225', 'P16871')"
"('Q5T3J3', 'O15182')"
"('P61353', 'Q02543')"
"('O43504', 'Q9Y2X7')"
"('O43561', 'P48736')"
"('P33076', 'P01903')"
"('P31946', 'P04049')"
"('P00519', 'Q13177')"
"('Q13237', 'P26678')"
"('Q9Y466', 'P15170')"
"('P35222', 'Q96RT1')"
"('Q92793', 'Q92985')"
"('Q9UMN6', 'P05026')"
"('Q8WVD3', 'P61086')"
"('Q8TDF6', 'P01111')"
"('P54652', 'P50222')"
"('P62158', 'Q04206')"
"('A0JLT2', 'Q9BWU1')"
"('P45983', 'Q02962')"
"('P15121', 'P30480')"
"('P10275', 'P08047')"
"('P42336', 'Q06124')"
"('P50151', 'P04899')"
"('P12755', 'Q15796')"
"('O14788', 'O95248')"
"('P55854', 'Q09472')"
"('Q13164', 'P01229')"
"('Q14247', 'P63261')"
"('P09936', 'P05067')"
"('O00422', 'O43665')"
"('O00238', 'P48454')"
"('Q9P212', 'P17252')"
"('P08138', 'Q01970')"
"('O60383', 'Q9BRR6')"
"('Q8IUC6', 'Q9BUZ4')"
"('Q9HCK5', 'P31689')"
"('P42261', 'Q12840')"
"('Q9H9Y6', 'Q15653')"
"('Q9UJY5', 'P84077')"
"('Q9UBQ7', 'O15116')"
"('Q13315', 'Q9H0W5')"
"('Q16659', 'O15162')"
"('P04183', 'P16278')"
"('P08238', 'P00540')"
"('P08754', 'P62879')"
"('P61981', 'O14757')"
"('P63098', 'Q12834')"
"('P20749', 'P06241')"
"('Q13547', 'Q9UIS9')"
"('Q9UNS2', 'Q15843')"
"('P20936', 'P01112')"
"('Q14197', 'Q96CW1')"
"('P84022', 'P62070')"
"('Q6IE81', 'Q8WYH8')"
"('P30101', 'Q13162')"
"('O95990', 'P27824')"
"('Q9NYJ8', 'P17858')"
"('P10828', 'Q9BT22')"
"('P01857', 'P08729')"
"('P47898', 'P63096')"
"('P04899', 'Q8WYR1')"
"('Q07325', 'P51684')"
"('P51553', 'O43837')"
"('P62906', 'P62891')"
"('O95166', 'P47870')"
"('Q8TAT6', 'P0CG48')"
"('Q8TCT9', 'O95870')"
"('Q5T3J3', 'O00231')"
"('P06213', 'O14512')"
"('Q9BXR0', 'Q9NRX3')"
"('P10721', 'P52333')"
"('Q92664', 'P25025')"
"('P07910', 'Q9BUJ2')"
"('Q15834', 'Q6ZU52')"
"('P46821', 'P39687')"
"('P12830', 'O60346')"
"('Q99835', 'P41182')"
"('Q9NYG5', 'Q9UM13')"
"('P26038', 'Q6V0I7')"
"('P63096', 'P28482')"
"('O43426', 'Q12965')"
"('P31749', 'P0CG48')"
"('Q8ND90', 'Q92831')"
"('Q9UHD2', 'O75143')"
"('P63215', 'Q01970')"
"('O95405', 'Q9Y3C5')"
"('O43187', 'Q7L8L6')"
"('Q13501', 'P29401')"
"('P04637', 'Q99873')"
"('P22301', 'Q01892')"
"('Q9NYL9', 'Q99759')"
"('P62258', 'P04049')"
"('Q07890', 'P11234')"
"('P84077', 'O60271')"
"('P43246', 'P04183')"
"('Q00535', 'P46527')"
"('P09871', 'P0C0L5')"
"('P20809', 'P17535')"
"('P39656', 'Q9UL18')"
"('P27797', 'O60739')"
"('P50542', 'Q5T2W1')"
"('Q05397', 'P56199')"
"('Q96JH8', 'P51946')"
"('P68363', 'Q9Y375')"
"('Q8TCG1', 'O95990')"
"('Q96EB6', 'Q14526')"
"('P01106', 'Q13488')"
"('Q86TM6', 'P55072')"
"('P06241', 'O43708')"
"('Q99704', 'P19174')"
"('Q8IY92', 'Q96IX5')"
"('P04637', 'P17931')"
"('Q92974', 'P61981')"
"('O43915', 'P06213')"
"('P13533', 'P08590')"
"('Q9HC52', 'P51784')"
"('Q16637', 'Q9BZE1')"
"('O00487', 'P54727')"
"('Q99459', 'P53992')"
