#tail	head	KSP index
SRC	P01589	1
SRC	P14784	2
SRC	P31785	3
P01589	P42229	4
P01589	P52333	5
P01589	P31785	6
P01589	P51692	7
P01589	P48736	8
P01589	P42338	9
P01589	P42336	10
P01589	P23458	11
P01589	P14784	12
P01589	O00459	13
P01589	O00329	14
P01589	Q92569	15
P01589	P27986	16
P01589	O60674	17
P14784	P42229	18
P14784	P52333	19
P14784	P42224	20
P14784	P31785	21
P14784	P48736	22
P14784	P29353	23
P14784	P42336	24
P14784	P06239	25
P14784	P42338	26
P14784	P01589	27
P14784	P40763	28
P14784	P27986	29
P14784	Q92569	30
P14784	P51692	31
P14784	O00459	32
P14784	O00329	33
P14784	P23458	34
P14784	O60674	35
P14784	Q9NSE2	36
P14784	P06241	37
P31785	P42229	38
P31785	P52333	39
P31785	P42224	40
P31785	P48736	41
P31785	P29353	42
P31785	O00459	43
P31785	P42338	44
P31785	P42336	45
P31785	P27986	46
P31785	Q92569	47
P31785	P14784	48
P31785	O00329	49
P31785	P01589	50
P31785	P23458	51
P31785	O60674	52
P42229	P42224	53
P42229	P31785	54
P42229	P04150	55
P42229	P01589	56
P42229	P40763	57
P42229	P51692	58
P42229	P14784	59
P42229	O00459	60
P42229	P27986	61
P42229	SNK	62
P52333	P42229	63
P52333	P42224	64
P52333	P31785	65
P52333	P51692	66
P52333	P06239	67
P52333	O00329	68
P52333	P42338	69
P52333	P40763	70
P52333	P27986	71
P52333	Q92569	72
P52333	P14784	73
P52333	O00459	74
P52333	P23458	75
P52333	P48736	76
P52333	O60674	77
P52333	P42336	78
P42224	O43524	79
P42224	P42229	80
P42224	P14784	81
P42224	P31785	82
P42224	P51692	83
P42224	P40763	84
P42224	SNK	85
P48736	O00329	86
P48736	P42338	87
P48736	P40763	88
P48736	Q92569	89
P48736	O00459	90
P48736	P27986	91
P48736	P42336	92
P29353	O43524	93
P29353	O00459	94
P29353	P14784	95
P29353	P27986	96
P29353	P31785	97
O00459	P48736	98
O00459	Q92569	99
O00459	P42229	100
O00459	P42338	101
O00459	P42336	102
O00459	P27986	103
O00459	P29353	104
O00459	O00329	105
O00459	P40763	106
P42338	P48736	107
P42338	O00459	108
P42338	O00329	109
P42338	P40763	110
P42338	Q92569	111
P42338	P27986	112
P42338	P42336	113
P42336	P27986	114
P42336	P40763	115
P42336	O00329	116
P42336	P48736	117
P42336	P42338	118
P42336	Q92569	119
P42336	O00459	120
P27986	O00459	121
P27986	Q92569	122
P27986	O00329	123
P27986	P42336	124
P27986	P42229	125
P27986	P42338	126
P27986	P40763	127
P27986	P48736	128
P27986	P29353	129
Q92569	P27986	130
Q92569	P48736	131
Q92569	P40763	132
Q92569	O00459	133
Q92569	P42338	134
Q92569	P42336	135
Q92569	O00329	136
O00329	P42336	137
O00329	P42338	138
O00329	P40763	139
O00329	Q92569	140
O00329	O00459	141
O00329	P27986	142
O00329	P48736	143
P23458	P42229	144
P23458	P48736	145
P23458	P42224	146
P23458	P31785	147
P23458	P29353	148
P23458	P42338	149
P23458	P40763	150
P23458	Q92569	151
P23458	P51692	152
P23458	P14784	153
P23458	O00459	154
P23458	O00329	155
P23458	P27986	156
P23458	O60674	157
P23458	P42336	158
O60674	P42229	159
O60674	P52333	160
O60674	P42224	161
O60674	P51692	162
O60674	P42338	163
O60674	P48736	164
O60674	P29353	165
O60674	O00329	166
O60674	P40763	167
O60674	P23458	168
O60674	Q92569	169
O60674	O00459	170
O60674	P06241	171
O60674	P27986	172
O60674	P42336	173
P51692	P42229	174
P51692	P42224	175
P51692	P04150	176
P51692	P40763	177
P51692	P14784	178
P51692	P01589	179
P51692	SNK	180
P40763	O43524	181
P40763	P42229	182
P40763	P42224	183
P40763	P04150	184
P40763	P14784	185
P40763	P27986	186
P40763	O00459	187
P40763	P06239	188
P40763	P51692	189
P40763	SNK	190
P06241	Q92569	191
P06241	P04150	192
P06241	P42338	193
P06241	P42336	194
P06241	P27986	195
P06241	P48736	196
P06241	P14784	197
P06241	P29353	198
P06241	O00459	199
P06241	O00329	200
P06241	O60674	201
P06241	P40763	202
O43524	P42224	203
O43524	P42336	204
O43524	SNK	205
P04150	P42229	206
P04150	P06241	207
P04150	P06239	208
P04150	P40763	209
P04150	P51692	210
P04150	SNK	211
P06239	P48736	212
P06239	Q92569	213
P06239	P04150	214
P06239	P42338	215
P06239	P42336	216
P06239	P14784	217
P06239	P27986	218
P06239	O00459	219
P06239	O00329	220
P06239	P52333	221
P06239	P40763	222
Q9NSE2	P42229	223
Q9NSE2	P52333	224
Q9NSE2	P42224	225
Q9NSE2	P51692	226
Q9NSE2	P40763	227
Q9NSE2	P14784	228
Q9NSE2	P23458	229
Q9NSE2	O60674	230
